frame,input_points,output_points,has_color
0000,502941,50519,True
0010,564767,55209,True
0020,579826,51938,True
0030,568123,47565,True
0040,533099,51133,True
0050,590573,50041,True
0060,599608,49297,True
0070,504510,49024,True
0080,574138,59853,True
0090,584096,50485,True
