frame,metric,baseline,upsample_clean_ounet_selected10,delta_for_better,upsample_clean_ounet_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,21.6498908150125,1.9678683980210039,True
0000,CD_Comp,26.488399366804423,25.993393805756085,0.4950055610483375,True
0000,chamferL2_old,25.053079289918962,23.82164231038429,1.2314369795346707,True
0000,chamfer-L1,50.106158579837924,47.64328462076858,2.4628739590693414,True
0000,chamfer-L2,2098.367986300955,1970.7031087588066,127.66487754214859,True
0000,P_5,0.12523735388445165,0.14091727864763753,0.015679924763185887,True
0000,R_5,0.14140646620888223,0.14686529706784182,0.005458830858959596,True
0000,F_5,0.1328316676827739,0.14382981971110304,0.010998152028329128,True
0000,P_10,0.2417838275264892,0.26896811100773965,0.02718428348125046,True
0000,R_10,0.27432219993479495,0.31543832339492023,0.041116123460125276,True
0000,F_10,0.25702730813659047,0.29035563261619707,0.0333283244796066,True
0000,P_20,0.47341338248422776,0.5214869653001841,0.04807358281595636,True
0000,R_20,0.5004960773590293,0.5177582495134923,0.017262172154462907,True
0000,F_20,0.4865781690646267,0.5196159182630155,0.033037749198388755,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,22.128964445935903,1.813186113067026,True
0010,CD_Comp,27.307251467895746,26.647036958228668,0.6602145096670782,True
0010,chamferL2_old,25.62470101344934,24.388000702082287,1.236700311367052,True
0010,chamfer-L1,51.24940202689868,48.776001404164575,2.473400622734104,True
0010,chamfer-L2,2158.955502050578,2040.1787202420421,118.77678180853604,True
0010,P_5,0.13069106374841305,0.14919668894564292,0.01850562519722987,True
0010,R_5,0.1471705319619715,0.1611113363005407,0.013940804338569202,True
0010,F_5,0.13844211414215993,0.15492527406327056,0.01648315992111063,True
0010,P_10,0.2517586898667946,0.2850078791501386,0.03324918928334397,True
0010,R_10,0.27569705066386074,0.32160463208620643,0.04590758142234569,True
0010,F_10,0.2631846539595633,0.30220231999151204,0.03901766603194873,True
0010,P_20,0.47687453409990316,0.5237914108206996,0.04691687672079642,True
0010,R_20,0.4680568329832218,0.48586759892304665,0.017810765939824835,True
0010,F_20,0.47242454200700684,0.5041172765378666,0.0316927345308598,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,24.73370066358967,2.725873304962793,True
0020,CD_Comp,27.123948322714178,26.431149474632168,0.6927988480820098,True
0020,chamferL2_old,27.29176114563332,25.58242506911092,1.7093360765224013,True
0020,chamfer-L1,54.58352229126664,51.16485013822184,3.4186721530448025,True
0020,chamfer-L2,2378.607453328108,2224.4857348585706,154.12171846953743,True
0020,P_5,0.1152224977838179,0.13186876660633834,0.016646268822520432,True
0020,R_5,0.13822788838150532,0.13972241638702101,0.001494528005515694,True
0020,F_5,0.12568110708902866,0.1356820388139346,0.010000931724905932,True
0020,P_10,0.21604412358190217,0.25328276021410145,0.037238636632199285,True
0020,R_10,0.26252066007836844,0.3115318145525677,0.04901115447419924,True
0020,F_10,0.23702557256714418,0.2794036889610318,0.04237811639388761,True
0020,P_20,0.4040763953323928,0.4711964265085294,0.06712003117613657,True
0020,R_20,0.4624890872937773,0.4880315528962229,0.025542465602445608,True
0020,F_20,0.43131402535878965,0.47946625554189776,0.0481522301831081,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,23.653619572072827,1.8252136953528577,True
0030,CD_Comp,28.288345625250475,28.033524785960463,0.2548208392900122,True
0030,chamferL2_old,26.88358944633808,25.843572179016647,1.0400172673214314,True
0030,chamfer-L1,53.76717889267616,51.687144358033294,2.080034534642863,True
0030,chamfer-L2,2324.984719629893,2266.719760551242,58.26495907865092,True
0030,P_5,0.11335397440343024,0.1319247345737412,0.018570760170310965,True
0030,R_5,0.13338799271839993,0.12662776122573044,-0.006760231492669494,False
0030,F_5,0.12255766044744903,0.12922198826754241,0.00666432782009338,True
0030,P_10,0.21653937615621968,0.25321139493324923,0.03667201877702955,True
0030,R_10,0.2512871156317758,0.29037930714421295,0.03909219151243715,True
0030,F_10,0.2326228044377577,0.27052467652862416,0.037901872090866456,True
0030,P_20,0.4288789575496855,0.4850204982655314,0.05614154071584587,True
0030,R_20,0.4526779614530087,0.47415734377129687,0.021479382318288165,True
0030,F_20,0.4404572138877167,0.4795274057704623,0.03907019188274563,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,22.042195007368456,1.510239634427876,True
0040,CD_Comp,26.352273215747406,25.8211764056507,0.531096810096706,True
0040,chamferL2_old,24.95235392877187,23.931685706509576,1.0206682222622945,True
0040,chamfer-L1,49.90470785754374,47.86337141301915,2.041336444524589,True
0040,chamfer-L2,2073.5311704947126,1982.229072906277,91.30209758843557,True
0040,P_5,0.13154029551734292,0.14581581366240978,0.014275518145066862,True
0040,R_5,0.14466363027967347,0.1469398715654456,0.0022762412857721404,True
0040,F_5,0.13779019702699274,0.14637568466066986,0.008585487633677114,True
0040,P_10,0.2550107953682149,0.27899790741791014,0.023987112049695225,True
0040,R_10,0.2812834224598931,0.323525425720058,0.04224200326016492,True
0040,F_10,0.2675035713638136,0.29961633619163414,0.03211276482782055,True
0040,P_20,0.47673321465618956,0.5229890677253437,0.04625585306915414,True
0040,R_20,0.49730774152808166,0.5227643009841334,0.02545655945605174,True
0040,F_20,0.48680318170777176,0.5228766601998616,0.036073478492089806,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,23.58014692214977,3.159312230079461,True
0050,CD_Comp,26.700826260374676,25.829955384511816,0.8708708758628596,True
0050,chamferL2_old,26.720142706301953,24.705051153330793,2.0150915529711604,True
0050,chamfer-L1,53.440285412603906,49.410102306661585,4.030183105942321,True
0050,chamfer-L2,2280.1556313208107,2032.727147960201,247.4284833606098,True
0050,P_5,0.11424836557038673,0.13450970204432366,0.020261336473936936,True
0050,R_5,0.13701728274089003,0.13388051496439485,-0.0031367677764951862,False
0050,F_5,0.12460119967254353,0.13419437100284753,0.009593171330304004,True
0050,P_10,0.22192345400145283,0.2590875482104674,0.03716409420901459,True
0050,R_10,0.26601819787206227,0.315122676653515,0.04910447878145274,True
0050,F_10,0.24197842947956938,0.2843709782389153,0.042392548759345894,True
0050,P_20,0.4191945788242944,0.48825962710577325,0.06906504828147886,True
0050,R_20,0.4789822949543239,0.5036533075661429,0.024671012611819032,True
0050,F_20,0.44709853317190057,0.4958370186475536,0.048738485475653015,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,24.89214054468095,2.3702116203429853,True
0060,CD_Comp,29.178067226868468,29.185778536521703,-0.007711309653235077,False
0060,chamferL2_old,28.220209695946203,27.038959540601326,1.1812501553448769,True
0060,chamfer-L1,56.440419391892405,54.07791908120265,2.3625003106897537,True
0060,chamfer-L2,2529.5578434992453,2434.9155915467963,94.64225195244899,True
0060,P_5,0.1111009192672546,0.12946021056048035,0.01835929129322575,True
0060,R_5,0.1317061193835844,0.1265698728833667,-0.005136246500217684,False
