frame,metric,baseline,gradpu_chunked_4x_selected10,delta_for_better,gradpu_chunked_4x_selected10_improved
0060,R_5,0.1317061193835844,0.13701279006670478,0.005306670683120379,True
0060,F_5,0.12052921544569437,0.12291050197139416,0.0023812865256997995,True
0060,P_10,0.21556250083387812,0.21626671091779964,0.0007042100839215193,True
0060,R_10,0.24738865173013558,0.2518857043821298,0.004497052651994238,True
0060,F_10,0.23038161218313652,0.2327211866632641,0.0023395744801275875,True
0060,P_20,0.41687402436258353,0.4190746287574549,0.0022006043948713527,True
0060,R_20,0.4326343741037772,0.43854268754397296,0.005908313440195767,True
0060,F_20,0.4246080037250411,0.4285876940297061,0.003979690304664996,True
0070,N_Acc,nan,nan,nan,False
0070,N_Comp,nan,nan,nan,False
0070,normals,nan,nan,nan,False
0070,CD_Acc,23.397878436684735,23.317446943712763,0.08043149297197161,True
0070,CD_Comp,27.06073662518216,26.791796917240443,0.2689397079417155,True
0070,chamferL2_old,25.229307530933447,25.054621930476603,0.17468560045684356,True
0070,chamfer-L1,50.458615061866894,50.10924386095321,0.3493712009136871,True
0070,chamfer-L2,2160.3062330937587,2141.0808448009984,19.22538829276027,True
0070,P_5,0.12388456125745773,0.1246823650670948,0.0007978038096370793,True
0070,R_5,0.14683563383478315,0.15274526891351767,0.005909635078734515,True
0070,F_5,0.13438722640093273,0.1372944800608989,0.0029072536599661636,True
0070,P_10,0.2449921706209986,0.2467919367306892,0.0017997661096905981,True
0070,R_10,0.2857228864521919,0.2899606370832633,0.004237750631071402,True
0070,F_10,0.2637945512006304,0.2666403504801709,0.002845799279540484,True
0070,P_20,0.4868030366097798,0.4902692711740104,0.003466234564230619,True
0070,R_20,0.5030254178411727,0.5067650681834326,0.0037396503422598704,True
0070,F_20,0.4947812922448575,0.4983807093241306,0.0035994170792730817,True
0080,N_Acc,nan,nan,nan,False
0080,N_Comp,nan,nan,nan,False
0080,normals,nan,nan,nan,False
0080,CD_Acc,26.093910514541996,25.908827874577142,0.18508263996485397,True
0080,CD_Comp,27.253817528725445,26.890033530936922,0.36378399778852355,True
0080,chamferL2_old,26.67386402163372,26.39943070275703,0.27443331887668876,True
0080,chamfer-L1,53.34772804326744,52.79886140551406,0.5488666377533775,True
0080,chamfer-L2,2288.588814506137,2262.626114257194,25.962700248943293,True
0080,P_5,0.11336124764429457,0.11490747868979236,0.0015462310454977812,True
0080,R_5,0.1346827567376795,0.14124757489662296,0.0065648181589434695,True
0080,F_5,0.1231056189243324,0.12672326760825067,0.0036176486839182703,True
0080,P_10,0.22319721042676152,0.22583115905932025,0.0026339486325587247,True
0080,R_10,0.26665738699563923,0.2737954582050343,0.0071380712093950804,True
0080,F_10,0.24299939300475526,0.24751101536652217,0.004511622361766915,True
0080,P_20,0.43708307062065216,0.4408103975002525,0.003727326879600368,True
0080,R_20,0.4754133331576236,0.4848921876563628,0.009478854498739253,True
0080,F_20,0.45544315267465896,0.46180170912973245,0.006358556455073494,True
0090,N_Acc,nan,nan,nan,False
0090,N_Comp,nan,nan,nan,False
0090,normals,nan,nan,nan,False
0090,CD_Acc,27.632174683237725,27.47740655109481,0.15476813214291596,True
0090,CD_Comp,30.310992933854813,30.06858849937578,0.24240443447903104,True
0090,chamferL2_old,28.97158380854627,28.772997525235297,0.1985862833109735,True
0090,chamfer-L1,57.94316761709254,57.545995050470594,0.397172566621947,True
0090,chamfer-L2,2638.230044731804,2612.9156022360794,25.314442495724506,True
0090,P_5,0.1083400673861831,0.10867948077028433,0.00033941338410123367,True
0090,R_5,0.12571098793544921,0.13016310705847073,0.004452119123021514,True
0090,F_5,0.11638090574207656,0.11845507971722319,0.0020741739751466287,True
0090,P_10,0.2086814496247192,0.2097788719662521,0.0010974223415328999,True
0090,R_10,0.2373583379194664,0.24140841519718176,0.004050077277715364,True
0090,F_10,0.2220980433618444,0.22448498201981118,0.0023869386579667695,True
0090,P_20,0.4077138004711554,0.40998568728428203,0.0022718868131266223,True
0090,R_20,0.4170908153210897,0.42181068772223523,0.0047198724011455195,True
0090,F_20,0.41234900532857366,0.415814134098147,0.0034651287695733335,True
