frame,metric,baseline,iterativepfn,delta_for_better,iterativepfn_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.980892558281656,-0.36313334524815133,False
0000,CD_Comp,26.488399366804423,28.160481379036504,-1.6720820122320816,False
0000,chamferL2_old,25.053079289918962,26.070686968659082,-1.01760767874012,False
0000,chamfer-L1,50.106158579837924,52.141373937318164,-2.03521535748024,False
0000,chamfer-L2,2098.367986300955,2248.880221300752,-150.51223499979687,False
0000,P_5,0.12523735388445165,0.12361560827659773,-0.0016217456078539139,False
0000,R_5,0.14140646620888223,0.12828098525583292,-0.013125480953049301,False
0000,F_5,0.1328316676827739,0.12590509304112094,-0.006926574641652972,False
0000,P_10,0.2417838275264892,0.2373422067079687,-0.004441620818520481,False
0000,R_10,0.27432219993479495,0.2503727729866409,-0.02394942694815405,False
0000,F_10,0.25702730813659047,0.2436834172181955,-0.013343890918394968,False
0000,P_20,0.47341338248422776,0.46772887117221285,-0.005684511312014917,False
0000,R_20,0.5004960773590293,0.46716671851096714,-0.03332935884806221,False
0000,F_20,0.4865781690646267,0.46744762583040944,-0.019130543234217257,False
