frame,metric,baseline,pu_gaussian_pu1k_4x_selected10,delta_for_better,pu_gaussian_pu1k_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.356653510828625,0.2611057022048797,True
0000,CD_Comp,26.488399366804423,26.29887366594244,0.1895257008619815,True
0000,chamferL2_old,25.053079289918962,24.827763588385533,0.22531570153342884,True
0000,chamfer-L1,50.106158579837924,49.655527176771066,0.45063140306685767,True
0000,chamfer-L2,2098.367986300955,2065.4394748666136,32.928511434341544,True
0000,P_5,0.12523735388445165,0.1261783191268956,0.0009409652424439419,True
0000,R_5,0.14140646620888223,0.14499934223002062,0.0035928760211383914,True
0000,F_5,0.1328316676827739,0.1349356962925432,0.0021040286097692984,True
0000,P_10,0.2417838275264892,0.24329692747260612,0.0015130999461169248,True
0000,R_10,0.27432219993479495,0.2762875902343817,0.0019653902995867556,True
0000,F_10,0.25702730813659047,0.2587448990954853,0.0017175909588948435,True
0000,P_20,0.47341338248422776,0.4807288528873168,0.007315470403089053,True
0000,R_20,0.5004960773590293,0.5022564370162146,0.0017603596571852398,True
0000,F_20,0.4865781690646267,0.49125691564676655,0.004678746582139848,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.506352251595555,0.43579830740737435,True
0010,CD_Comp,27.307251467895746,27.16993599042758,0.1373154774681673,True
0010,chamferL2_old,25.62470101344934,25.338144121011567,0.2865568924377726,True
0010,chamfer-L1,51.24940202689868,50.67628824202313,0.5731137848755452,True
0010,chamfer-L2,2158.955502050578,2130.703375662642,28.252126387936187,True
0010,P_5,0.13069106374841305,0.13597952784068473,0.005288464092271683,True
0010,R_5,0.1471705319619715,0.1507910208199003,0.0036204888579288164,True
0010,F_5,0.13844211414215993,0.14300277284034174,0.004560658698181813,True
0010,P_10,0.2517586898667946,0.26040915988363345,0.00865047001683883,True
0010,R_10,0.27569705066386074,0.2776773711506711,0.0019803204868103497,True
0010,F_10,0.2631846539595633,0.26876618078898606,0.005581526829422756,True
0010,P_20,0.47687453409990316,0.4899595762500288,0.013085042150125625,True
0010,R_20,0.4680568329832218,0.4693317766011282,0.0012749436179063656,True
0010,F_20,0.47242454200700684,0.479423894942252,0.006999352935245173,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.092711929380478,0.3668620391719841,True
0020,CD_Comp,27.123948322714178,26.983018333255917,0.14092998945826096,True
0020,chamferL2_old,27.29176114563332,27.0378651313182,0.25389601431512077,True
0020,chamfer-L1,54.58352229126664,54.0757302626364,0.5077920286302415,True
0020,chamfer-L2,2378.607453328108,2390.0598249825443,-11.45237165443632,False
0020,P_5,0.1152224977838179,0.11932329698909673,0.004100799205278824,True
0020,R_5,0.13822788838150532,0.14192961092136594,0.003701722539860619,True
0020,F_5,0.12568110708902866,0.12964838746461937,0.003967280375590715,True
0020,P_10,0.21604412358190217,0.2216354561540876,0.005591332572185442,True
0020,R_10,0.26252066007836844,0.26474359957090843,0.002222939492539988,True
0020,F_10,0.23702557256714418,0.24127917419186637,0.004253601624722186,True
0020,P_20,0.4040763953323928,0.41390434371690815,0.00982794838451534,True
0020,R_20,0.4624890872937773,0.4642678532288144,0.0017787659350371188,True
0020,F_20,0.43131402535878965,0.4376419152596044,0.006327889900814732,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.32839770503062,0.15043556239506373,True
0030,CD_Comp,28.288345625250475,28.112556838823135,0.17578878642733997,True
0030,chamferL2_old,26.88358944633808,26.720477271926878,0.16311217441120007,True
0030,chamfer-L1,53.76717889267616,53.440954543853756,0.32622434882240015,True
0030,chamfer-L2,2324.984719629893,2317.4657578735178,7.51896175637512,True
0030,P_5,0.11335397440343024,0.11606069460310531,0.002706720199675064,True
0030,R_5,0.13338799271839993,0.1371755452629044,0.003787552544504469,True
0030,F_5,0.12255766044744903,0.12573784126787083,0.0031801808204217907,True
0030,P_10,0.21653937615621968,0.22160958102382758,0.005070204867607897,True
0030,R_10,0.2512871156317758,0.2531940620006338,0.0019069463688580202,True
0030,F_10,0.2326228044377577,0.23635130362633186,0.0037284991885741525,True
0030,P_20,0.4288789575496855,0.43573530731901366,0.0068563497693281406,True
0030,R_20,0.4526779614530087,0.4541622104355664,0.0014842489825577232,True
0030,F_20,0.4404572138877167,0.4447579780560762,0.0043007641683595055,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.328122628640546,0.2243120131557852,True
0040,CD_Comp,26.352273215747406,26.193503068870534,0.15877014687687208,True
0040,chamferL2_old,24.95235392877187,24.760812848755542,0.19154108001632864,True
0040,chamfer-L1,49.90470785754374,49.521625697511084,0.38308216003265727,True
0040,chamfer-L2,2073.5311704947126,2055.1160963946977,18.415074100014863,True
0040,P_5,0.13154029551734292,0.1350795068083039,0.003539211290960992,True
0040,R_5,0.14466363027967347,0.14854393984848835,0.0038803095688148825,True
0040,F_5,0.13779019702699274,0.14149212535574862,0.003701928328755877,True
0040,P_10,0.2550107953682149,0.2607395624452494,0.005728767077034458,True
0040,R_10,0.2812834224598931,0.28382777769619205,0.0025443552362989785,True
0040,F_10,0.2675035713638136,0.27179423043288325,0.004290659069069669,True
0040,P_20,0.47673321465618956,0.4864678042915106,0.009734589635321034,True
0040,R_20,0.49730774152808166,0.4991069162070477,0.0017991746789660645,True
0040,F_20,0.48680318170777176,0.49270631761157196,0.005903135903800205,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.22250516857244,0.5169539836567907,True
0050,CD_Comp,26.700826260374676,26.52125269472446,0.17957356565021598,True
0050,chamferL2_old,26.720142706301953,26.37187893164845,0.34826377465350333,True
0050,chamfer-L1,53.440285412603906,52.7437578632969,0.6965275493070067,True
0050,chamfer-L2,2280.1556313208107,2233.092356883656,47.06327443715463,True
0050,P_5,0.11424836557038673,0.11802605266410757,0.0037776870937208384,True
0050,R_5,0.13701728274089003,0.1408106024895362,0.0037933197486461623,True
0050,F_5,0.12460119967254353,0.1284155026283244,0.0038143029557808766,True
0050,P_10,0.22192345400145283,0.22808949951995774,0.0061660455185049146,True
0050,R_10,0.26601819787206227,0.26832479032196205,0.0023065924498997803,True
0050,F_10,0.24197842947956938,0.2465765727768367,0.004598143297267321,True
0050,P_20,0.4191945788242944,0.429627666689808,0.010433087865513613,True
0050,R_20,0.4789822949543239,0.48076636771281955,0.0017840727584956806,True
0050,F_20,0.44709853317190057,0.4537607343152792,0.006662201143378621,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.89015303052542,0.3721991344985156,True
0060,CD_Comp,29.178067226868468,28.95601928686815,0.22204794000031924,True
0060,chamferL2_old,28.220209695946203,27.923086158696783,0.2971235372494192,True
0060,chamfer-L1,56.440419391892405,55.84617231739357,0.5942470744988384,True
0060,chamfer-L2,2529.5578434992453,2525.0032906200977,4.55455287914765,True
0060,P_5,0.1111009192672546,0.11392234593267601,0.0028214266654214143,True
