frame,metric,baseline,spupmd_pu1k_4x,delta_for_better,spupmd_pu1k_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.342709273830913,0.27504993920259224,True
0000,CD_Comp,26.488399366804423,26.3368023759574,0.15159699084702183,True
0000,chamferL2_old,25.053079289918962,24.839755824894155,0.21332346502480704,True
0000,chamfer-L1,50.106158579837924,49.67951164978831,0.42664693004961407,True
0000,chamfer-L2,2098.367986300955,2074.0283184529426,24.339667848012596,True
0000,P_5,0.12523735388445165,0.12573045347267373,0.000493099588222079,True
0000,R_5,0.14140646620888223,0.1442993341783881,0.0028928679695058857,True
0000,F_5,0.1328316676827739,0.13437643957634893,0.0015447718935750199,True
0000,P_10,0.2417838275264892,0.24361754162019003,0.001833714093700839,True
0000,R_10,0.27432219993479495,0.276463142222189,0.002140942287394032,True
0000,F_10,0.25702730813659047,0.25900316296759374,0.0019758548310032653,True
0000,P_20,0.47341338248422776,0.4812468062854291,0.007833423801201334,True
0000,R_20,0.5004960773590293,0.5030070427585684,0.0025109653995391,True
0000,F_20,0.4865781690646267,0.49188638297276993,0.005308213908143233,True
