frame,metric,baseline,score_denoise_selected10,delta_for_better,score_denoise_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.46951200075952,0.1482472122739864,True
0000,CD_Comp,26.488399366804423,26.618921244526586,-0.13052187772216328,False
0000,chamferL2_old,25.053079289918962,25.044216622643052,0.008862667275909786,True
0000,chamfer-L1,50.106158579837924,50.088433245286105,0.01772533455181957,True
0000,chamfer-L2,2098.367986300955,2094.0086002693715,4.359386031583654,True
0000,P_5,0.12523735388445165,0.12484168123099926,-0.0003956726534523891,False
0000,R_5,0.14140646620888223,0.13647297137358652,-0.004933494835295704,False
0000,F_5,0.1328316676827739,0.13039846804648406,-0.002433199636289851,False
0000,P_10,0.2417838275264892,0.2426547050250427,0.0008708774985534962,True
0000,R_10,0.27432219993479495,0.26797944941792856,-0.006342750516866391,False
0000,F_10,0.25702730813659047,0.2546890907531063,-0.0023382173834841646,False
0000,P_20,0.47341338248422776,0.47755899797391743,0.004145615489689669,True
0000,R_20,0.5004960773590293,0.49626347053520475,-0.004232606823824592,False
0000,F_20,0.4865781690646267,0.4867316033130346,0.0001534342484079132,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.39957307515982,0.5425774838431074,True
0010,CD_Comp,27.307251467895746,27.603249812637152,-0.29599834474140607,False
0010,chamferL2_old,25.62470101344934,25.501411443898487,0.12328956955085246,True
0010,chamfer-L1,51.24940202689868,51.002822887796974,0.24657913910170492,True
0010,chamfer-L2,2158.955502050578,2147.03840161842,11.91710043215835,True
0010,P_5,0.13069106374841305,0.13550012660088143,0.0048090628524683765,True
0010,R_5,0.1471705319619715,0.14225629500799608,-0.004914236953975415,False
0010,F_5,0.13844211414215993,0.13879604202634016,0.0003539278841802329,True
0010,P_10,0.2517586898667946,0.2602613113018289,0.008502621435034274,True
0010,R_10,0.27569705066386074,0.2701856670596106,-0.005511383604250131,False
0010,F_10,0.2631846539595633,0.26513064970644157,0.0019459957468782596,True
0010,P_20,0.47687453409990316,0.49032078715647337,0.013446253056570212,True
0010,R_20,0.4680568329832218,0.46234277889234937,-0.005714054090872445,False
0010,F_20,0.47242454200700684,0.4759209512395484,0.003496409232541575,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,26.961890173045276,0.4976837955071858,True
0020,CD_Comp,27.123948322714178,27.406754384311856,-0.28280606159767885,False
0020,chamferL2_old,27.29176114563332,27.184322278678565,0.10743886695475524,True
0020,chamfer-L1,54.58352229126664,54.36864455735713,0.21487773390951048,True
0020,chamfer-L2,2378.607453328108,2373.3695675952586,5.237885732849463,True
0020,P_5,0.1152224977838179,0.11918748038204564,0.003964982598227737,True
0020,R_5,0.13822788838150532,0.13530719863632087,-0.002920689745184446,False
0020,F_5,0.12568110708902866,0.12673682723128515,0.0010557201422564944,True
0020,P_10,0.21604412358190217,0.22379989859026672,0.007755775008364552,True
0020,R_10,0.26252066007836844,0.2589879886686022,-0.0035326714097662637,False
0020,F_10,0.23702557256714418,0.24011159819778827,0.0030860256306440847,True
0020,P_20,0.4040763953323928,0.4149210280325477,0.0108446327001549,True
0020,R_20,0.4624890872937773,0.4591192518990284,-0.003369835394748888,False
0020,F_20,0.43131402535878965,0.43590263826832376,0.004588612909534107,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.22777242509454,0.251060842331146,True
0030,CD_Comp,28.288345625250475,28.45694493543561,-0.16859931018513663,False
0030,chamferL2_old,26.88358944633808,26.842358680265075,0.04123076607300291,True
0030,chamfer-L1,53.76717889267616,53.68471736053015,0.08246153214600582,True
0030,chamfer-L2,2324.984719629893,2327.4023047078135,-2.4175850779206485,False
0030,P_5,0.11335397440343024,0.11716652907909027,0.0038125546756600237,True
0030,R_5,0.13338799271839993,0.12973799451622264,-0.0036499982021772903,False
0030,F_5,0.12255766044744903,0.12313221552848391,0.0005745550810348776,True
0030,P_10,0.21653937615621968,0.2246062912432695,0.00806691508704982,True
0030,R_10,0.2512871156317758,0.247370788809348,-0.00391632682242779,False
0030,F_10,0.2326228044377577,0.23543954901452252,0.0028167445767648125,True
0030,P_20,0.4288789575496855,0.4382976925771356,0.009418735027450054,True
0030,R_20,0.4526779614530087,0.44749939584794934,-0.00517856560505936,False
0030,F_20,0.4404572138877167,0.44285075034180693,0.0023935364540902393,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.242401056147557,0.3100335856487746,True
0040,CD_Comp,26.352273215747406,26.601902296108598,-0.24962908036119202,False
0040,chamferL2_old,24.95235392877187,24.922151676128077,0.03020225264379306,True
0040,chamfer-L1,49.90470785754374,49.844303352256155,0.06040450528758612,True
0040,chamfer-L2,2073.5311704947126,2080.465246684187,-6.934076189474581,False
0040,P_5,0.13154029551734292,0.13532758455746494,0.003787289040122016,True
0040,R_5,0.14466363027967347,0.1410174483859666,-0.003646181893706857,False
0040,F_5,0.13779019702699274,0.13811394015130563,0.00032374312431288077,True
0040,P_10,0.2550107953682149,0.2626960470756839,0.007685251707468976,True
0040,R_10,0.2812834224598931,0.2777547239873873,-0.0035286984725057535,False
0040,F_10,0.2675035713638136,0.27001559422169524,0.0025120228578816572,True
0040,P_20,0.47673321465618956,0.48742916418901555,0.010695949532825988,True
0040,R_20,0.49730774152808166,0.4950147168964237,-0.0022930246316579805,False
0040,F_20,0.48680318170777176,0.4911926561169195,0.00438947440914772,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.1089951557897,0.6304639964395307,True
0050,CD_Comp,26.700826260374676,26.8406376183079,-0.13981135793322252,False
0050,chamferL2_old,26.720142706301953,26.474816387048797,0.24532631925315584,True
0050,chamfer-L1,53.440285412603906,52.949632774097594,0.4906526385063117,True
0050,chamfer-L2,2280.1556313208107,2257.425532911763,22.730098409047514,True
0050,P_5,0.11424836557038673,0.11947718571624508,0.005228820145858348,True
0050,R_5,0.13701728274089003,0.13260576487273737,-0.0044115178681526646,False
0050,F_5,0.12460119967254353,0.12569960451293782,0.001098404840394293,True
0050,P_10,0.22192345400145283,0.2310417171120251,0.009118263110572261,True
0050,R_10,0.26601819787206227,0.26212012674092466,-0.0038980711311376037,False
0050,F_10,0.24197842947956938,0.2456016617129154,0.003623232233346013,True
0050,P_20,0.4191945788242944,0.4317738873941071,0.012579308569812708,True
0050,R_20,0.4789822949543239,0.4768043734939411,-0.002177921460382759,False
0050,F_20,0.44709853317190057,0.45317324160666334,0.0060747084347627656,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.840751784199675,0.421600380824259,True
0060,CD_Comp,29.178067226868468,29.297015633718406,-0.11894840684993824,False
0060,chamferL2_old,28.220209695946203,28.068883708959042,0.15132598698716038,True
0060,chamfer-L1,56.440419391892405,56.137767417918084,0.30265197397432075,True
0060,chamfer-L2,2529.5578434992453,2510.398241867828,19.159601631417445,True
0060,P_5,0.1111009192672546,0.11470660831743405,0.003605689050179453,True
