frame,input_points,output_points,mesh_vertices,mesh_triangles,has_color
0000,502941,502941,57618,114921,True
0010,564767,564767,67231,134110,True
0020,579826,579826,70451,140625,True
0030,568123,568123,66788,133307,True
0040,533099,533099,67569,134840,True
0050,590573,590573,69752,139166,True
0060,599608,599608,68013,135723,True
0070,504510,504510,72886,145418,True
0080,574138,574138,69078,137802,True
0090,584096,584096,65907,131487,True
