frame,metric,baseline,traditional_spsr,delta_for_better,traditional_spsr_improved
0060,R_5,0.1317061193835844,0.12915016928939718,-0.002555950094187215,False
0060,F_5,0.12052921544569437,0.1181870293644057,-0.0023421860812886663,False
0060,P_10,0.21556250083387812,0.21246714520153168,-0.003095355632346447,False
0060,R_10,0.24738865173013558,0.26202284839469087,0.014634196664555288,True
0060,F_10,0.23038161218313652,0.23465719963472337,0.004275587451586849,True
0060,P_20,0.41687402436258353,0.4118040453096023,-0.005069979052981233,False
0060,R_20,0.4326343741037772,0.4900603087029812,0.057425934599203976,True
0060,F_20,0.4246080037250411,0.4475369642267608,0.02292896050171972,True
0070,N_Acc,nan,nan,nan,False
0070,N_Comp,nan,nan,nan,False
0070,normals,nan,nan,nan,False
0070,CD_Acc,23.397878436684735,30.665040467370112,-7.267162030685377,False
0070,CD_Comp,27.06073662518216,25.1574823196234,1.9032543055587574,True
0070,chamferL2_old,25.229307530933447,27.91126139349676,-2.6819538625633115,False
0070,chamfer-L1,50.458615061866894,55.82252278699352,-5.363907725126623,False
0070,chamfer-L2,2160.3062330937587,3563.0297549364304,-1402.7235218426717,False
0070,P_5,0.12388456125745773,0.12760103863154348,0.003716477374085758,True
0070,R_5,0.14683563383478315,0.13999260212788445,-0.006843031706898706,False
0070,F_5,0.13438722640093273,0.1335099098884032,-0.0008773165125295357,False
0070,P_10,0.2449921706209986,0.25037561197994096,0.005383441358942365,True
0070,R_10,0.2857228864521919,0.2845685931742069,-0.0011542932779849968,False
0070,F_10,0.2637945512006304,0.2663793157483854,0.002584764547755025,True
0070,P_20,0.4868030366097798,0.4750986105329924,-0.0117044260767874,False
0070,R_20,0.5030254178411727,0.506813578820256,0.0037881609790832993,True
0070,F_20,0.4947812922448575,0.49044391078463856,-0.0043373814602189475,False
0080,N_Acc,nan,nan,nan,False
0080,N_Comp,nan,nan,nan,False
0080,normals,nan,nan,nan,False
0080,CD_Acc,26.093910514541996,29.01888784049942,-2.9249773259574248,False
0080,CD_Comp,27.253817528725445,25.567408293663323,1.686409235062122,True
0080,chamferL2_old,26.67386402163372,27.293148067081372,-0.6192840454476531,False
0080,chamfer-L1,53.34772804326744,54.586296134162744,-1.2385680908953063,False
0080,chamfer-L2,2288.588814506137,2510.055478909675,-221.46666440353783,False
0080,P_5,0.11336124764429457,0.11687608205692708,0.003514834412632506,True
0080,R_5,0.1346827567376795,0.13163117261135296,-0.0030515841263265286,False
0080,F_5,0.1231056189243324,0.12381558640539546,0.0007099674810630563,True
0080,P_10,0.22319721042676152,0.23098279507714173,0.007785584650380206,True
0080,R_10,0.26665738699563923,0.2684965738658382,0.001839186870198961,True
0080,F_10,0.24299939300475526,0.24833093399398234,0.005331540989227085,True
0080,P_20,0.43708307062065216,0.4477233696428385,0.010640299022186328,True
0080,R_20,0.4754133331576236,0.5002563577757947,0.024843024618171117,True
0080,F_20,0.45544315267465896,0.4725342867795798,0.017091134104920858,True
0090,N_Acc,nan,nan,nan,False
0090,N_Comp,nan,nan,nan,False
0090,normals,nan,nan,nan,False
0090,CD_Acc,27.632174683237725,32.776308689431005,-5.14413400619328,False
0090,CD_Comp,30.310992933854813,26.87182613407541,3.4391667997794038,True
0090,chamferL2_old,28.97158380854627,29.824067411753205,-0.8524836032069345,False
0090,chamfer-L1,57.94316761709254,59.64813482350641,-1.704967206413869,False
0090,chamfer-L2,2638.230044731804,4589.436958782404,-1951.2069140506,False
0090,P_5,0.1083400673861831,0.12041856133238371,0.012078493946200614,True
0090,R_5,0.12571098793544921,0.1304926495546233,0.0047816616191740935,True
0090,F_5,0.11638090574207656,0.12525336806010662,0.008872462318030058,True
0090,P_10,0.2086814496247192,0.23075658795814386,0.022075138333424643,True
0090,R_10,0.2373583379194664,0.26006422783250016,0.022705889913033767,True
0090,F_10,0.2220980433618444,0.24453540654312658,0.02243736318128217,True
0090,P_20,0.4077138004711554,0.4348565989152468,0.0271427984440914,True
0090,R_20,0.4170908153210897,0.4671458489179472,0.05005503359685748,True
0090,F_20,0.41234900532857366,0.45042328997182696,0.0380742846432533,True
