frame,metric,baseline,sapcu_4x_2048,delta_for_better,sapcu_4x_2048_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,32.27862495573987,-8.660865742706367,False
0000,CD_Comp,26.488399366804423,26.69872986660921,-0.2103304998047868,False
0000,chamferL2_old,25.053079289918962,29.488677411174542,-4.43559812125558,False
0000,chamfer-L1,50.106158579837924,58.977354822349085,-8.87119624251116,False
0000,chamfer-L2,2098.367986300955,4471.447196037188,-2373.079209736233,False
0000,P_5,0.12523735388445165,0.1231689453125,-0.0020684085719516465,False
0000,R_5,0.14140646620888223,0.022558650423194684,-0.11884781578568754,False
0000,F_5,0.1328316676827739,0.038133136915779034,-0.09469853076699487,False
0000,P_10,0.2417838275264892,0.232666015625,-0.009117811901489192,False
0000,R_10,0.27432219993479495,0.17097091688735327,-0.10335128304744168,False
0000,F_10,0.25702730813659047,0.197103479963227,-0.059923828173363475,False
0000,P_20,0.47341338248422776,0.44384765625,-0.029565726234227763,False
0000,R_20,0.5004960773590293,0.5239478870184365,0.023451809659407186,True
0000,F_20,0.4865781690646267,0.48058299765443296,-0.005995171410193734,False
