frame,metric,baseline,pudm_pu1k_4x,delta_for_better,pudm_pu1k_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.572971305818402,0.04478790721510251,True
0000,CD_Comp,26.488399366804423,27.209089763958872,-0.7206903971544492,False
0000,chamferL2_old,25.053079289918962,25.391030534888635,-0.3379512449696733,False
0000,chamfer-L1,50.106158579837924,50.78206106977727,-0.6759024899393467,False
0000,chamfer-L2,2098.367986300955,2169.328097799813,-70.96011149885771,False
0000,P_5,0.12523735388445165,0.12542226623003494,0.0001849123455832935,True
0000,R_5,0.14140646620888223,0.14084857167118892,-0.0005578945376933098,False
0000,F_5,0.1328316676827739,0.13268856021564965,-0.00014310746712425937,False
0000,P_10,0.2417838275264892,0.24256274592844887,0.0007789184019596773,True
0000,R_10,0.27432219993479495,0.26795789040188206,-0.006364309532912893,False
0000,F_10,0.25702730813659047,0.2546286949584502,-0.002398613178140274,False
0000,P_20,0.47341338248422776,0.47451241795757354,0.0010990354733457774,True
0000,R_20,0.5004960773590293,0.4879861283131038,-0.012509949045925561,False
0000,F_20,0.4865781690646267,0.4811549660470588,-0.005423203017567879,False
