name,frame,gt_path,rec_path,mean_d_gt_to_rec,mean_d_rec_to_gt,chamfer,max_d_gt_to_rec,max_d_rec_to_gt,hausdorff,precision,recall,fscore,mean_rec_to_gt,mean_gt_to_rec
OrangeKettlebell,0000,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0000.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0000.ply,23.617759213033505,26.488399366804423,25.053079289918962,444.78381316368194,135.94593002868547,444.78381316368194,0.0013819769265730711,0.006253218568380784,0.002263675837516395,26.488399366804423,23.617759213033505
OrangeKettlebell,0001,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0001.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0001.ply,23.871353212165424,26.45127709624402,25.161315154204722,244.37865296753816,135.53799540913735,244.37865296753816,0.0013973602386775762,0.006370638967075015,0.002291987254830865,26.45127709624402,23.871353212165424
OrangeKettlebell,0002,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0002.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0002.ply,24.11440904480958,26.505272247340894,25.309840646075237,558.5383710359702,135.1996185220771,558.5383710359702,0.0014389512736936259,0.006478082913932913,0.0023548327414489117,26.505272247340894,24.11440904480958
OrangeKettlebell,0003,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0003.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0003.ply,23.806497690173288,26.1369721704232,24.971734930298243,636.274759947415,129.28791219126987,636.274759947415,0.0013715707478053566,0.00621935433256188,0.002247495366497729,26.1369721704232,23.806497690173288
OrangeKettlebell,0004,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0004.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0004.ply,24.049694102457615,27.196804522570833,25.623249312514226,527.9309732040388,134.83780730437255,527.9309732040388,0.0013130550312978606,0.006024525598296349,0.002156169464392857,27.196804522570833,24.049694102457615
OrangeKettlebell,0005,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0005.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0005.ply,23.805058225122256,26.74608586562956,25.27557204537591,602.4635927264463,144.556761856509,602.4635927264463,0.0013554745994549108,0.00623037130120562,0.002226544054426866,26.74608586562956,23.805058225122256
OrangeKettlebell,0006,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0006.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0006.ply,23.67528553796832,27.12711758676322,25.40120156236577,557.5949740256362,152.52183591495236,557.5949740256362,0.0014142543904448665,0.0062981608764830195,0.002309834562329587,27.12711758676322,23.67528553796832
OrangeKettlebell,0007,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0007.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0007.ply,23.3755799140024,26.901882190635398,25.1387310523189,361.6605943703637,129.76948508717777,361.6605943703637,0.0015006744985323725,0.006500462356829605,0.002438423005107442,26.901882190635398,23.3755799140024
OrangeKettlebell,0008,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0008.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0008.ply,23.484496087816883,27.274392543012176,25.37944431541453,450.9825868867085,140.60719244139364,450.9825868867085,0.0015826818758945182,0.006739315414262322,0.0025633731879978815,27.274392543012176,23.484496087816883
OrangeKettlebell,0009,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0009.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0009.ply,23.727967423354112,27.397128139150034,25.56254778125207,525.9157338980889,135.5453575348267,525.9157338980889,0.0014931897362941264,0.006330395849619785,0.0024164066477012935,27.397128139150034,23.727967423354112
OrangeKettlebell,0010,UVG-CWI-DQPC/OrangeKettlebell/CG/15fps\OrangeKettlebell_UVG-CWI-DQPC_CG_15_0_169_0010.ply,UVG-CWI-DQPC/OrangeKettlebell/HE/15fps\OrangeKettlebell_UVG-CWI-DQPC_HE_15_0_169_0010.ply,23.94215055900293,27.307251467895746,25.62470101344934,406.40647174518074,129.4787707138533,406.40647174518074,0.0015390420664533543,0.006535438508269782,0.002491383735180077,27.307251467895746,23.94215055900293
