frame,metric,baseline,superpc_tartanair_novision_4x,delta_for_better,superpc_tartanair_novision_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,24.63295748202525,-1.015198268991746,False
0000,CD_Comp,26.488399366804423,62.12567876548884,-35.63727939868442,False
0000,chamferL2_old,25.053079289918962,43.379318123757045,-18.326238833838083,False
0000,chamfer-L1,50.106158579837924,86.75863624751409,-36.652477667676166,False
0000,chamfer-L2,2098.367986300955,6848.226857941814,-4749.858871640859,False
0000,P_5,0.12523735388445165,0.14596354166666667,0.020726187782215022,True
0000,R_5,0.14140646620888223,0.040611026512749955,-0.10079543969613228,False
0000,F_5,0.1328316676827739,0.0635427359512318,-0.0692889317315421,False
0000,P_10,0.2417838275264892,0.2708333333333333,0.029049505806844123,True
0000,R_10,0.27432219993479495,0.0974568720683588,-0.17686532786643616,False
0000,F_10,0.25702730813659047,0.14333571260590777,-0.1136915955306827,False
0000,P_20,0.47341338248422776,0.49626736111111114,0.022853978626883376,True
0000,R_20,0.5004960773590293,0.19977244238572953,-0.3007236349732998,False
0000,F_20,0.4865781690646267,0.2848703258273863,-0.2017078432372404,False
