frame,metric,baseline,gqenet_selected10,delta_for_better,gqenet_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.617759236609036,-2.3575530860853178e-08,False
0000,CD_Comp,26.488399366804423,26.488399352069486,1.4734936826243938e-08,True
0000,chamferL2_old,25.053079289918962,25.053079294339263,-4.4203005700182985e-09,False
0000,chamfer-L1,50.106158579837924,50.106158588678525,-8.840601140036597e-09,False
0000,chamfer-L2,2098.367986300955,2098.3679824878727,3.813082457782002e-06,True
0000,P_5,0.12523735388445165,0.12523735388445165,0.0,False
0000,R_5,0.14140646620888223,0.14140646620888223,0.0,False
0000,F_5,0.1328316676827739,0.1328316676827739,0.0,False
0000,P_10,0.2417838275264892,0.2417838275264892,0.0,False
0000,R_10,0.27432219993479495,0.27432219993479495,0.0,False
0000,F_10,0.25702730813659047,0.25702730813659047,0.0,False
0000,P_20,0.47341338248422776,0.47341338248422776,0.0,False
0000,R_20,0.5004960773590293,0.5004965173389486,4.3997991927557933e-07,True
0000,F_20,0.4865781690646267,0.48657837698954887,2.0792492216870073e-07,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.94215055041193,8.59099813510511e-09,True
0010,CD_Comp,27.307251467895746,27.307251814774723,-3.4687897709773097e-07,False
0010,chamferL2_old,25.62470101344934,25.624701182593327,-1.691439877049561e-07,False
0010,chamfer-L1,51.24940202689868,51.249402365186654,-3.382879754099122e-07,False
0010,chamfer-L2,2158.955502050578,2158.9555262461067,-2.419552856736118e-05,False
0010,P_5,0.13069106374841305,0.13069106374841305,0.0,False
0010,R_5,0.1471705319619715,0.1471705319619715,0.0,False
0010,F_5,0.13844211414215993,0.13844211414215993,0.0,False
0010,P_10,0.2517586898667946,0.2517586898667946,0.0,False
0010,R_10,0.27569705066386074,0.27569705066386074,0.0,False
0010,F_10,0.2631846539595633,0.2631846539595633,0.0,False
0010,P_20,0.47687453409990316,0.47687453409990316,0.0,False
0010,R_20,0.4680568329832218,0.4680568329832218,0.0,False
0010,F_20,0.47242454200700684,0.47242454200700684,0.0,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.4595739691767,-6.242366623609996e-10,False
0020,CD_Comp,27.123948322714178,27.1239484666972,-1.439830228378014e-07,False
0020,chamferL2_old,27.29176114563332,27.29176121793695,-7.230363152643804e-08,False
0020,chamfer-L1,54.58352229126664,54.5835224358739,-1.4460726305287608e-07,False
0020,chamfer-L2,2378.607453328108,2378.607472989762,-1.9661653823277447e-05,False
0020,P_5,0.1152224977838179,0.11522422243914554,1.7246553276339949e-06,True
0020,R_5,0.13822788838150532,0.13822788838150532,0.0,False
0020,F_5,0.12568110708902866,0.12568213305932527,1.0259702966086692e-06,True
0020,P_10,0.21604412358190217,0.21604412358190217,0.0,False
0020,R_10,0.26252066007836844,0.26252148876037873,8.286820102898496e-07,True
0020,F_10,0.23702557256714418,0.23702591033677314,3.3776962896081564e-07,True
0020,P_20,0.4040763953323928,0.4040763953323928,0.0,False
0020,R_20,0.4624890872937773,0.4624895016347824,4.143410051171692e-07,True
0020,F_20,0.43131402535878965,0.43131420554099315,1.801822034908085e-07,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.478833257904576,9.521109234356118e-09,True
0030,CD_Comp,28.288345625250475,28.288345749172237,-1.2392176174103042e-07,False
0030,chamferL2_old,26.88358944633808,26.883589503538406,-5.720032802969399e-08,False
0030,chamfer-L1,53.76717889267616,53.76717900707681,-1.1440065605938798e-07,False
0030,chamfer-L2,2324.984719629893,2324.984725621064,-5.991171292407671e-06,False
0030,P_5,0.11335397440343024,0.11335397440343024,0.0,False
0030,R_5,0.13338799271839993,0.13338799271839993,0.0,False
0030,F_5,0.12255766044744903,0.12255766044744903,0.0,False
0030,P_10,0.21653937615621968,0.21653937615621968,0.0,False
0030,R_10,0.2512871156317758,0.2512871156317758,0.0,False
0030,F_10,0.2326228044377577,0.2326228044377577,0.0,False
0030,P_20,0.4288789575496855,0.4288789575496855,0.0,False
0030,R_20,0.4526779614530087,0.4526779614530087,0.0,False
0030,F_20,0.4404572138877167,0.4404572138877167,0.0,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.552434624474678,1.7321653444923868e-08,True
0040,CD_Comp,26.352273215747406,26.352273139512594,7.623481224072748e-08,True
0040,chamferL2_old,24.95235392877187,24.952353881993638,4.677823284282567e-08,True
0040,chamfer-L1,49.90470785754374,49.904707763987275,9.355646568565135e-08,True
0040,chamfer-L2,2073.5311704947126,2073.5311691193874,1.3753251550951973e-06,True
0040,P_5,0.13154029551734292,0.13154029551734292,0.0,False
0040,R_5,0.14466363027967347,0.14466321069602633,-4.195836471321268e-07,False
0040,F_5,0.13779019702699274,0.13779000669703934,-1.9032995340895198e-07,False
0040,P_10,0.2550107953682149,0.2550107953682149,0.0,False
0040,R_10,0.2812834224598931,0.2812830028762459,-4.195836471598824e-07,False
0040,F_10,0.2675035713638136,0.26750338162342235,-1.8974039123209607e-07,False
0040,P_20,0.47673321465618956,0.47673321465618956,0.0,False
0040,R_20,0.49730774152808166,0.49730732194443455,-4.1958364710437124e-07,False
0040,F_20,0.48680318170777176,0.4868029806850627,-2.010227090343264e-07,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.73945914446571,7.76352138132097e-09,True
0050,CD_Comp,26.700826260374676,26.700826151986185,1.0838849107130955e-07,True
0050,chamferL2_old,26.720142706301953,26.720142648225945,5.80760080026721e-08,True
0050,chamfer-L1,53.440285412603906,53.44028529645189,1.161520160053442e-07,True
0050,chamfer-L2,2280.1556313208107,2280.1556212656124,1.0055198345071403e-05,True
0050,P_5,0.11424836557038673,0.11424836557038673,0.0,False
0050,R_5,0.13701728274089003,0.13701728274089003,0.0,False
0050,F_5,0.12460119967254353,0.12460119967254353,0.0,False
0050,P_10,0.22192345400145283,0.22192345400145283,0.0,False
0050,R_10,0.26601819787206227,0.26601819787206227,0.0,False
0050,F_10,0.24197842947956938,0.24197842947956938,0.0,False
0050,P_20,0.4191945788242944,0.4191945788242944,0.0,False
0050,R_20,0.4789822949543239,0.4789827073613415,4.124070176469985e-07,True
0050,F_20,0.44709853317190057,0.44709871283687536,1.7966497478649757e-07,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.262352184646186,-1.96222522674816e-08,False
0060,CD_Comp,29.178067226868468,29.1780674464953,-2.1962683405263306e-07,False
0060,chamferL2_old,28.220209695946203,28.220209815570744,-1.196245413837005e-07,False
0060,chamfer-L1,56.440419391892405,56.44041963114149,-2.39249082767401e-07,False
0060,chamfer-L2,2529.5578434992453,2529.557868651572,-2.515232654332067e-05,False
0060,P_5,0.1111009192672546,0.1111009192672546,0.0,False
0060,R_5,0.1317061193835844,0.13170570673423113,-4.1264935327078867e-07,False
0060,F_5,0.12052921544569437,0.12052904265328399,-1.7279241038004045e-07,False
