frame,metric,baseline,snowflakenet_pcn_cd1,delta_for_better,snowflakenet_pcn_cd1_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,33.524450626033726,-9.906691413000221,False
0000,CD_Comp,26.488399366804423,33.56248652494807,-7.074087158143648,False
0000,chamferL2_old,25.053079289918962,33.5434685754909,-8.490389285571936,False
0000,chamfer-L1,50.106158579837924,67.0869371509818,-16.980778571143873,False
0000,chamfer-L2,2098.367986300955,3703.1554511088943,-1604.7874648079392,False
0000,P_5,0.12523735388445165,0.0992431640625,-0.025994189821951647,False
0000,R_5,0.14140646620888223,0.03036081433243387,-0.11104565187644835,False
0000,F_5,0.1328316676827739,0.0464970800307256,-0.08633458765204831,False
0000,P_10,0.2417838275264892,0.1968994140625,-0.04488441346398919,False
0000,R_10,0.27432219993479495,0.1439741890180132,-0.13034801091678175,False
0000,F_10,0.25702730813659047,0.166328123982511,-0.09069918415407946,False
0000,P_20,0.47341338248422776,0.38031005859375,-0.09310332389047776,False
0000,R_20,0.5004960773590293,0.3831573926965973,-0.11733868466243202,False
0000,F_20,0.4865781690646267,0.3817284161120171,-0.10484975295260962,False
