frame,metric,baseline,spu_pointnet_4x_selected10,delta_for_better,spu_pointnet_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.655135563228466,-0.037376350194961105,False
0000,CD_Comp,26.488399366804423,25.766194377031187,0.7222049897732354,True
0000,chamferL2_old,25.053079289918962,24.710664970129827,0.3424143197891354,True
0000,chamfer-L1,50.106158579837924,49.42132994025965,0.6848286395782708,True
0000,chamfer-L2,2098.367986300955,2059.5921734032017,38.77581289775344,True
0000,P_5,0.12523735388445165,0.12494805553732943,-0.00028929834712221325,False
0000,R_5,0.14140646620888223,0.16026356557086735,0.018857099361985125,True
0000,F_5,0.1328316676827739,0.14041938974122453,0.007587722058450624,True
0000,P_10,0.2417838275264892,0.241166458888816,-0.000617368637673199,False
0000,R_10,0.27432219993479495,0.29106299588486784,0.016740795950072884,True
0000,F_10,0.25702730813659047,0.26377582601463484,0.006748517878044369,True
0000,P_20,0.47341338248422776,0.47269610153079583,-0.0007172809534319313,False
0000,R_20,0.5004960773590293,0.5157840596155191,0.015287982256489752,True
0000,F_20,0.4865781690646267,0.49330097617587854,0.006722807111251838,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.987089823810663,-0.04493926480773425,False
0010,CD_Comp,27.307251467895746,26.63421605701063,0.6730354108851166,True
0010,chamferL2_old,25.62470101344934,25.310652940410648,0.3140480730386912,True
0010,chamfer-L1,51.24940202689868,50.621305880821296,0.6280961460773824,True
0010,chamfer-L2,2158.955502050578,2118.683919187521,40.27158286305712,True
0010,P_5,0.13069106374841305,0.13048699729268884,-0.00020406645572421112,False
0010,R_5,0.1471705319619715,0.16403438795811365,0.016863855996142152,True
0010,F_5,0.13844211414215993,0.14535008871543342,0.006907974573273495,True
0010,P_10,0.2517586898667946,0.25104113731857564,-0.0007175525482189804,False
0010,R_10,0.27569705066386074,0.2899617099037336,0.014264659239872857,True
0010,F_10,0.2631846539595633,0.2691014208402505,0.005916766880687208,True
0010,P_20,0.47687453409990316,0.47592591281006147,-0.000948621289841689,False
0010,R_20,0.4680568329832218,0.47996132127785207,0.011904488294630255,True
0010,F_20,0.47242454200700684,0.47793509903005243,0.0055105570230455925,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.523558371925976,-0.06398440337351374,False
0020,CD_Comp,27.123948322714178,26.47855755978062,0.6453907629335589,True
0020,chamferL2_old,27.29176114563332,27.0010579658533,0.2907031797800208,True
0020,chamfer-L1,54.58352229126664,54.0021159317066,0.5814063595600416,True
0020,chamfer-L2,2378.607453328108,2345.282063732534,33.32538959557405,True
0020,P_5,0.1152224977838179,0.11494137896541376,-0.0002811188184041469,False
0020,R_5,0.13822788838150532,0.15402505354321638,0.015797165161711063,True
0020,F_5,0.12568110708902866,0.13164358008809093,0.005962472999062274,True
0020,P_10,0.21604412358190217,0.21567634083328446,-0.00036778274861770655,False
0020,R_10,0.26252066007836844,0.27697991813450423,0.014459258056135793,True
0020,F_10,0.23702557256714418,0.24251398065139942,0.005488408084255242,True
0020,P_20,0.4040763953323928,0.40340377975461605,-0.0006726155777767584,False
0020,R_20,0.4624890872937773,0.4750117154919201,0.012522628198142816,True
0020,F_20,0.43131402535878965,0.4362890283564143,0.004975002997624656,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.491921640365756,-0.01308837294007148,False
0030,CD_Comp,28.288345625250475,27.603870475959173,0.6844751492913019,True
0030,chamferL2_old,26.88358944633808,26.547896058162465,0.33569338817561345,True
0030,chamfer-L1,53.76717889267616,53.09579211632493,0.6713867763512269,True
0030,chamfer-L2,2324.984719629893,2283.8768743217474,41.10784530814544,True
0030,P_5,0.11335397440343024,0.11295573317749853,-0.0003982412259317114,False
0030,R_5,0.13338799271839993,0.14955292748252141,0.01616493476412148,True
0030,F_5,0.12255766044744903,0.1287032628192618,0.006145602371812775,True
0030,P_10,0.21653937615621968,0.2164526871821771,-8.668897404257025e-05,False
0030,R_10,0.2512871156317758,0.26521313397291224,0.013926018341136437,True
0030,F_10,0.2326228044377577,0.23836482890472593,0.005742024466968226,True
0030,P_20,0.4288789575496855,0.42864309313300114,-0.00023586441668438374,False
0030,R_20,0.4526779614530087,0.4666784012924255,0.01400043983941679,True
0030,F_20,0.4404572138877167,0.44685283370019857,0.006395619812481879,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.59277702762545,-0.04034238582911698,False
0040,CD_Comp,26.352273215747406,25.676684750337667,0.6755884654097386,True
0040,chamferL2_old,24.95235392877187,24.634730888981558,0.3176230397903126,True
0040,chamfer-L1,49.90470785754374,49.269461777963116,0.6352460795806252,True
0040,chamfer-L2,2073.5311704947126,2037.8599641377796,35.671206356933,True
0040,P_5,0.13154029551734292,0.13144509743968757,-9.519807765534516e-05,False
0040,R_5,0.14466363027967347,0.16193327361259421,0.017269643332920748,True
0040,F_5,0.13779019702699274,0.14510500451951763,0.0073148074925248885,True
0040,P_10,0.2550107953682149,0.2547931997621455,-0.00021759560606943174,False
0040,R_10,0.2812834224598931,0.2963460558088209,0.015062633348927823,True
0040,F_10,0.2675035713638136,0.27400319985625954,0.006499628492445952,True
0040,P_20,0.47673321465618956,0.47631443690571545,-0.0004187777504741086,False
0040,R_20,0.49730774152808166,0.5114195983325746,0.014111856804492895,True
0040,F_20,0.48680318170777176,0.4932431794629006,0.0064399977551288234,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.809899216467006,-0.0704400642377756,False
0050,CD_Comp,26.700826260374676,26.031788155844513,0.6690381045301628,True
0050,chamferL2_old,26.720142706301953,26.42084368615576,0.2992990201461936,True
0050,chamfer-L1,53.440285412603906,52.84168737231152,0.5985980402923872,True
0050,chamfer-L2,2280.1556313208107,2245.386178320505,34.769453000305475,True
0050,P_5,0.11424836557038673,0.11370016915775019,-0.0005481964126365368,False
0050,R_5,0.13701728274089003,0.15407567421330268,0.017058391472412643,True
0050,F_5,0.12460119967254353,0.13084399250213102,0.006242792829587493,True
0050,P_10,0.22192345400145283,0.22146923411669683,-0.0004542198847559964,False
0050,R_10,0.26601819787206227,0.28054069859274355,0.014522500720681286,True
0050,F_10,0.24197842947956938,0.24752949934900606,0.005551069869436681,True
0050,P_20,0.4191945788242944,0.417770961422212,-0.001423617402082411,False
0050,R_20,0.4789822949543239,0.49139945784973454,0.012417162895410672,True
0050,F_20,0.44709853317190057,0.45160383487318734,0.004505301701286768,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.304927295871273,-0.04257513084733944,False
0060,CD_Comp,29.178067226868468,28.517358843084594,0.6607083837838736,True
0060,chamferL2_old,28.220209695946203,27.911143069477934,0.3090666264682689,True
0060,chamfer-L1,56.440419391892405,55.82228613895587,0.6181332529365378,True
0060,chamfer-L2,2529.5578434992453,2491.9935552134602,37.564288285785096,True
0060,P_5,0.1111009192672546,0.11106881495910662,-3.210430814798437e-05,False
