frame,metric,baseline,sal,delta_for_better,sal_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,41.81638873731032,-18.198629524276814,False
0000,CD_Comp,26.488399366804423,39.45901193779089,-12.970612570986468,False
0000,chamferL2_old,25.053079289918962,40.637700337550605,-15.584621047631643,False
0000,chamfer-L1,50.106158579837924,81.27540067510121,-31.169242095263286,False
0000,chamfer-L2,2098.367986300955,5375.157899162748,-3276.7899128617933,False
0000,P_5,0.12523735388445165,0.07904,-0.04619735388445165,False
0000,R_5,0.14140646620888223,0.06744804167137812,-0.0739584245375041,False
0000,F_5,0.1328316676827739,0.0727853707767513,-0.0600462969060226,False
0000,P_10,0.2417838275264892,0.15744,-0.0843438275264892,False
0000,R_10,0.27432219993479495,0.14418801925880104,-0.13013418067599392,False
0000,F_10,0.25702730813659047,0.15052289775922903,-0.10650441037736144,False
0000,P_20,0.47341338248422776,0.31854,-0.15487338248422777,False
0000,R_20,0.5004960773590293,0.3049294030220461,-0.19556667433698327,False
0000,F_20,0.4865781690646267,0.31158613900803706,-0.17499203005658964,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,31.96058915267151,-8.01843859366858,False
0010,CD_Comp,27.307251467895746,36.63322656220768,-9.325975094311936,False
0010,chamferL2_old,25.62470101344934,34.29690785743959,-8.672206843990253,False
0010,chamfer-L1,51.24940202689868,68.59381571487918,-17.344413687980506,False
0010,chamfer-L2,2158.955502050578,4128.023118055952,-1969.067616005374,False
0010,P_5,0.13069106374841305,0.1269,-0.003791063748413037,False
0010,R_5,0.1471705319619715,0.09080557130720793,-0.05636496065476357,False
0010,F_5,0.13844211414215993,0.1058606532638898,-0.03258146087827013,False
0010,P_10,0.2517586898667946,0.24036,-0.011398689866794626,False
0010,R_10,0.27569705066386074,0.18759890633155135,-0.08809814433230939,False
0010,F_10,0.2631846539595633,0.21072711635971075,-0.052457537599852555,False
0010,P_20,0.47687453409990316,0.43701,-0.03986453409990315,False
0010,R_20,0.4680568329832218,0.3565007289869359,-0.1115561039962859,False
0010,F_20,0.47242454200700684,0.39267114579151663,-0.07975339621549021,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,29.50400879747527,-2.0444348289228067,False
0020,CD_Comp,27.123948322714178,44.524027502715576,-17.4000791800014,False
0020,chamferL2_old,27.29176114563332,37.014018150095424,-9.722257004462104,False
0020,chamfer-L1,54.58352229126664,74.02803630019085,-19.44451400892421,False
0020,chamfer-L2,2378.607453328108,5165.3014413551,-2786.693988026992,False
0020,P_5,0.1152224977838179,0.11728,0.002057502216182089,True
0020,R_5,0.13822788838150532,0.07744986370252636,-0.060778024678978956,False
0020,F_5,0.12568110708902866,0.0932914946102789,-0.03238961247874976,False
0020,P_10,0.21604412358190217,0.225665,0.009620876418097835,True
0020,R_10,0.26252066007836844,0.16006697408006973,-0.10245368599829871,False
0020,F_10,0.23702557256714418,0.18728814893774337,-0.04973742362940081,False
0020,P_20,0.4040763953323928,0.41916,0.015083604667607164,True
0020,R_20,0.4624890872937773,0.3168005747738423,-0.14568851251993498,False
0020,F_20,0.43131402535878965,0.3608620718929397,-0.07045195346584998,False
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,29.84032123003573,-4.361487962610045,False
0030,CD_Comp,28.288345625250475,35.151076255219294,-6.862730629968819,False
0030,chamferL2_old,26.88358944633808,32.49569874262751,-5.612109296289432,False
0030,chamfer-L1,53.76717889267616,64.99139748525502,-11.224218592578865,False
0030,chamfer-L2,2324.984719629893,3618.745848621006,-1293.7611289911133,False
0030,P_5,0.11335397440343024,0.106745,-0.006608974403430237,False
0030,R_5,0.13338799271839993,0.07676619357449802,-0.05662179914390192,False
0030,F_5,0.12255766044744903,0.08930689374850802,-0.03325076669894102,False
0030,P_10,0.21653937615621968,0.210285,-0.006254376156219682,False
0030,R_10,0.2512871156317758,0.16454467840296483,-0.08674243722881098,False
0030,F_10,0.2326228044377577,0.1846240022689397,-0.047998802168817994,False
0030,P_20,0.4288789575496855,0.41826,-0.010618957549685504,False
0030,R_20,0.4526779614530087,0.34192246617793765,-0.11075549527507106,False
0030,F_20,0.4404572138877167,0.3762583249851199,-0.06419888890259678,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,40.75371489024441,-17.20128024844808,False
0040,CD_Comp,26.352273215747406,98.73743466711718,-72.38516145136978,False
0040,chamferL2_old,24.95235392877187,69.7455747786808,-44.793220849908934,False
0040,chamfer-L1,49.90470785754374,139.4911495573616,-89.58644169981787,False
0040,chamfer-L2,2073.5311704947126,17090.964942646282,-15017.43377215157,False
0040,P_5,0.13154029551734292,0.073115,-0.05842529551734292,False
0040,R_5,0.14466363027967347,0.02435263488040817,-0.12031099539926529,False
0040,F_5,0.13779019702699274,0.03653608505973808,-0.10125411196725467,False
0040,P_10,0.2550107953682149,0.142245,-0.1127657953682149,False
0040,R_10,0.2812834224598931,0.050204022548425195,-0.23107939991146786,False
0040,F_10,0.2675035713638136,0.07421467870125255,-0.19328889266256105,False
0040,P_20,0.47673321465618956,0.290075,-0.18665821465618954,False
0040,R_20,0.49730774152808166,0.10392289730900028,-0.3933848442190814,False
0040,F_20,0.48680318170777176,0.15302332648372555,-0.3337798552240462,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,77.66637868944561,-50.92691953721638,False
0050,CD_Comp,26.700826260374676,456.4488444736459,-429.7480182132712,False
0050,chamferL2_old,26.720142706301953,267.05761158154576,-240.33746887524381,False
0050,chamfer-L1,53.440285412603906,534.1152231630915,-480.67493775048763,False
0050,chamfer-L2,2280.1556313208107,320018.3002862644,-317738.1446549436,False
0050,P_5,0.11424836557038673,0.016875,-0.09737336557038673,False
0050,R_5,0.13701728274089003,0.0005427276352705328,-0.1364745551056195,False
0050,F_5,0.12460119967254353,0.0010516330300910678,-0.12354956664245247,False
0050,P_10,0.22192345400145283,0.033295,-0.18862845400145284,False
0050,R_10,0.26601819787206227,0.0011811336986434697,-0.2648370641734188,False
0050,F_10,0.24197842947956938,0.002281337393576802,-0.23969709208599257,False
0050,P_20,0.4191945788242944,0.0698,-0.34939457882429437,False
0050,R_20,0.4789822949543239,0.0026905433833624287,-0.47629175157096143,False
0050,F_20,0.44709853317190057,0.0051813635101485575,-0.441917169661752,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,34.388937619595055,-7.126585454571121,False
0060,CD_Comp,29.178067226868468,130.36166835694584,-101.18360113007738,False
0060,chamferL2_old,28.220209695946203,82.37530298827045,-54.155093292324246,False
0060,chamfer-L1,56.440419391892405,164.7506059765409,-108.31018658464849,False
0060,chamfer-L2,2529.5578434992453,37656.57446498129,-35127.01662148205,False
0060,P_5,0.1111009192672546,0.12839,0.017289080732745404,True
0060,R_5,0.1317061193835844,0.041439073354612284,-0.09026704602897212,False
0060,F_5,0.12052921544569437,0.06265549853044852,-0.05787371691524584,False
