frame,metric,baseline,spupmd_pu1k_4x_selected10,delta_for_better,spupmd_pu1k_4x_selected10_improved
0060,R_5,0.1317061193835844,0.13437802394604198,0.0026719045624575832,True
0060,F_5,0.12052921544569437,0.12170729739115163,0.0011780819454572655,True
0060,P_10,0.21556250083387812,0.21715520806927194,0.0015927072353938143,True
0060,R_10,0.24738865173013558,0.2491358090919032,0.001747157361767615,True
0060,F_10,0.23038161218313652,0.2320488127360103,0.001667200552873782,True
0060,P_20,0.41687402436258353,0.4217934884124295,0.004919464049845945,True
0060,R_20,0.4326343741037772,0.4346142657007921,0.0019798915970148934,True
0060,F_20,0.4246080037250411,0.428107910894763,0.0034999071697219275,True
0070,N_Acc,nan,nan,nan,False
0070,N_Comp,nan,nan,nan,False
0070,normals,nan,nan,nan,False
0070,CD_Acc,23.397878436684735,23.0819658494735,0.3159125872112334,True
0070,CD_Comp,27.06073662518216,26.93600706048413,0.1247295646980291,True
0070,chamferL2_old,25.229307530933447,25.008986454978817,0.22032107595462946,True
0070,chamfer-L1,50.458615061866894,50.017972909957635,0.44064215190925893,True
0070,chamfer-L2,2160.3062330937587,2136.7191780556277,23.587055038130984,True
0070,P_5,0.12388456125745773,0.12962775762621156,0.005743196368753839,True
0070,R_5,0.14683563383478315,0.14999402279653426,0.0031583889617511074,True
0070,F_5,0.13438722640093273,0.13906920128363487,0.004681974882702139,True
0070,P_10,0.2449921706209986,0.2542476858734217,0.00925551525242313,True
0070,R_10,0.2857228864521919,0.28749092591212994,0.0017680394599380311,True
0070,F_10,0.2637945512006304,0.26984933705150316,0.006054785850872768,True
0070,P_20,0.4868030366097798,0.49545648252760105,0.008653445917821245,True
0070,R_20,0.5030254178411727,0.5047211244765616,0.0016957066353888717,True
0070,F_20,0.4947812922448575,0.50004589432783,0.005264602082972469,True
0080,N_Acc,nan,nan,nan,False
0080,N_Comp,nan,nan,nan,False
0080,normals,nan,nan,nan,False
0080,CD_Acc,26.093910514541996,25.612135023755325,0.4817754907866707,True
0080,CD_Comp,27.253817528725445,27.13111939188897,0.12269813683647612,True
0080,chamferL2_old,26.67386402163372,26.371627207822147,0.30223681381157164,True
0080,chamfer-L1,53.34772804326744,52.743254415644294,0.6044736276231433,True
0080,chamfer-L2,2288.588814506137,2251.856261293162,36.73255321297529,True
0080,P_5,0.11336124764429457,0.11770558646179141,0.004344338817496837,True
0080,R_5,0.1346827567376795,0.13756220022098245,0.0028794434833029625,True
0080,F_5,0.1231056189243324,0.12686159630558494,0.003755977381252537,True
0080,P_10,0.22319721042676152,0.23010365103860048,0.006906440611838954,True
0080,R_10,0.26665738699563923,0.2688070859348328,0.0021496989391935895,True
0080,F_10,0.24299939300475526,0.2479541421532707,0.0049547491485154305,True
0080,P_20,0.43708307062065216,0.4453071387018452,0.008224068081193026,True
0080,R_20,0.4754133331576236,0.477362064073383,0.0019487309157594224,True
0080,F_20,0.45544315267465896,0.4607777830623225,0.005334630387663519,True
0090,N_Acc,nan,nan,nan,False
0090,N_Comp,nan,nan,nan,False
0090,normals,nan,nan,nan,False
0090,CD_Acc,27.632174683237725,27.02216328128926,0.6100114019484657,True
0090,CD_Comp,30.310992933854813,30.166540095108335,0.14445283874647785,True
0090,chamferL2_old,28.97158380854627,28.5943516881988,0.3772321203474718,True
0090,chamfer-L1,57.94316761709254,57.1887033763976,0.7544642406949436,True
0090,chamfer-L2,2638.230044731804,2586.67842577347,51.551618958334075,True
0090,P_5,0.1083400673861831,0.11162848230427874,0.0032884149180956446,True
0090,R_5,0.12571098793544921,0.12790821252854662,0.002197224593097402,True
0090,F_5,0.11638090574207656,0.11921513443925295,0.002834228697176394,True
0090,P_10,0.2086814496247192,0.2157252403714458,0.0070437907467265914,True
0090,R_10,0.2373583379194664,0.23879431934645132,0.0014359814269849225,True
0090,F_10,0.2220980433618444,0.22667434586235075,0.004576302500506335,True
0090,P_20,0.4077138004711554,0.41824203555579903,0.010528235084643622,True
0090,R_20,0.4170908153210897,0.41911503010370704,0.0020242147826173285,True
0090,F_20,0.41234900532857366,0.4186780777553816,0.0063290724268079135,True
