frame,metric,baseline,spupmd_pu1k_4x_selected10,delta_for_better,spupmd_pu1k_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.342709273830913,0.27504993920259224,True
0000,CD_Comp,26.488399366804423,26.3368023759574,0.15159699084702183,True
0000,chamferL2_old,25.053079289918962,24.839755824894155,0.21332346502480704,True
0000,chamfer-L1,50.106158579837924,49.67951164978831,0.42664693004961407,True
0000,chamfer-L2,2098.367986300955,2074.0283184529426,24.339667848012596,True
0000,P_5,0.12523735388445165,0.12573045347267373,0.000493099588222079,True
0000,R_5,0.14140646620888223,0.1442993341783881,0.0028928679695058857,True
0000,F_5,0.1328316676827739,0.13437643957634893,0.0015447718935750199,True
0000,P_10,0.2417838275264892,0.24361754162019003,0.001833714093700839,True
0000,R_10,0.27432219993479495,0.276463142222189,0.002140942287394032,True
0000,F_10,0.25702730813659047,0.25900316296759374,0.0019758548310032653,True
0000,P_20,0.47341338248422776,0.4812468062854291,0.007833423801201334,True
0000,R_20,0.5004960773590293,0.5030070427585684,0.0025109653995391,True
0000,F_20,0.4865781690646267,0.49188638297276993,0.005308213908143233,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.5274554031849,0.4146951558180305,True
0010,CD_Comp,27.307251467895746,27.19671786775819,0.11053360013755764,True
0010,chamferL2_old,25.62470101344934,25.36208663547154,0.26261437797779763,True
0010,chamfer-L1,51.24940202689868,50.72417327094308,0.5252287559555953,True
0010,chamfer-L2,2158.955502050578,2137.5383330389204,21.417169011657734,True
0010,P_5,0.13069106374841305,0.13461126446835597,0.003920200719942923,True
0010,R_5,0.1471705319619715,0.15003424504407978,0.0028637130821082823,True
0010,F_5,0.13844211414215993,0.14190492218572243,0.0034628080435624986,True
0010,P_10,0.2517586898667946,0.2584955388682412,0.00673684900144661,True
0010,R_10,0.27569705066386074,0.27759630295602217,0.001899252292161424,True
0010,F_10,0.2631846539595633,0.2677056441533066,0.004520990193743302,True
0010,P_20,0.47687453409990316,0.4882588748988521,0.011384340798948955,True
0010,R_20,0.4680568329832218,0.47004467526128824,0.0019878422780664207,True
0010,F_20,0.47242454200700684,0.47897867905617375,0.006554137049166908,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.052561538130607,0.40701243042185453,True
0020,CD_Comp,27.123948322714178,27.005492352420575,0.11845597029360277,True
0020,chamferL2_old,27.29176114563332,27.02902694527559,0.26273420035773043,True
0020,chamfer-L1,54.58352229126664,54.05805389055118,0.5254684007154609,True
0020,chamfer-L2,2378.607453328108,2350.6517166311587,27.955736696949316,True
0020,P_5,0.1152224977838179,0.11819537240482489,0.0029728746210069823,True
0020,R_5,0.13822788838150532,0.14099527195479042,0.002767383573285098,True
0020,F_5,0.12568110708902866,0.12859251704235203,0.0029114099533233684,True
0020,P_10,0.21604412358190217,0.21896870785373543,0.002924584271833258,True
0020,R_10,0.26252066007836844,0.2642774659401335,0.0017568058617650761,True
0020,F_10,0.23702557256714418,0.23949903121821595,0.0024734586510717638,True
0020,P_20,0.4040763953323928,0.4094116165884248,0.0053352212560319745,True
0020,R_20,0.4624890872937773,0.46444601986102174,0.0019569325672444404,True
0020,F_20,0.43131402535878965,0.435195821099541,0.0038817957407513703,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.203787981895424,0.2750452855302612,True
0030,CD_Comp,28.288345625250475,28.152649930946318,0.1356956943041574,True
0030,chamferL2_old,26.88358944633808,26.67821895642087,0.20537048991720752,True
0030,chamfer-L1,53.76717889267616,53.35643791284174,0.41074097983441504,True
0030,chamfer-L2,2324.984719629893,2292.0259771483247,32.95874248156815,True
0030,P_5,0.11335397440343024,0.11505783078664303,0.0017038563832127845,True
0030,R_5,0.13338799271839993,0.13583637639216284,0.002448383673762905,True
0030,F_5,0.12255766044744903,0.1245866852434884,0.0020290247960393637,True
0030,P_10,0.21653937615621968,0.22025732103787385,0.003717944881654167,True
0030,R_10,0.2512871156317758,0.25286418243803155,0.0015770668062557447,True
0030,F_10,0.2326228044377577,0.2354371424720897,0.0028143380343319813,True
0030,P_20,0.4288789575496855,0.43568514212591286,0.0068061845762273365,True
0030,R_20,0.4526779614530087,0.4543633157202454,0.001685354267236705,True
0030,F_20,0.4404572138877167,0.44482824286987915,0.0043710289821624615,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.2930205228907,0.2594141189056316,True
0040,CD_Comp,26.352273215747406,26.23775502826563,0.11451818748177445,True
0040,chamferL2_old,24.95235392877187,24.765387775578166,0.1869661531937048,True
0040,chamfer-L1,49.90470785754374,49.53077555115633,0.3739323063874096,True
0040,chamfer-L2,2073.5311704947126,2057.7617773946945,15.769393100018078,True
0040,P_5,0.13154029551734292,0.13403842438271316,0.002498128865370236,True
0040,R_5,0.14466363027967347,0.1472524613825701,0.0025888311028966215,True
0040,F_5,0.13779019702699274,0.14033506884873265,0.0025448718217399025,True
0040,P_10,0.2550107953682149,0.2590471000695931,0.004036304701378168,True
0040,R_10,0.2812834224598931,0.28307126838038615,0.0017878459204930808,True
0040,F_10,0.2675035713638136,0.2705268644433564,0.0030232930795427992,True
0040,P_20,0.47673321465618956,0.4847556457618566,0.008022431105667027,True
0040,R_20,0.49730774152808166,0.49935992514627736,0.002052183618195702,True
0040,F_20,0.48680318170777176,0.49194942166903843,0.005146239961266674,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.32174058940314,0.41771856282608866,True
0050,CD_Comp,26.700826260374676,26.596314166093837,0.10451209428083885,True
0050,chamferL2_old,26.720142706301953,26.45902737774849,0.261115328553462,True
0050,chamfer-L1,53.440285412603906,52.91805475549698,0.522230657106924,True
0050,chamfer-L2,2280.1556313208107,2247.2133173016678,32.94231401914294,True
0050,P_5,0.11424836557038673,0.11700712697668197,0.002758761406295246,True
0050,R_5,0.13701728274089003,0.13961709658036225,0.0025998138394722203,True
0050,F_5,0.12460119967254353,0.12731608202265282,0.0027148823501092906,True
0050,P_10,0.22192345400145283,0.22543783749003088,0.003514383488578049,True
0050,R_10,0.26601819787206227,0.26768102296735924,0.0016628250952969714,True
0050,F_10,0.24197842947956938,0.24475004220648802,0.002771612726918643,True
0050,P_20,0.4191945788242944,0.4238307541997348,0.004636175375440421,True
0050,R_20,0.4789822949543239,0.48076141882860735,0.0017791238742834725,True
0050,F_20,0.44709853317190057,0.45050461590911667,0.0034060827372160984,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.87509333643516,0.3872588285887737,True
0060,CD_Comp,29.178067226868468,29.047934183748296,0.13013304312017127,True
0060,chamferL2_old,28.220209695946203,27.961513760091727,0.25869593585447603,True
0060,chamfer-L1,56.440419391892405,55.92302752018345,0.5173918717089521,True
0060,chamfer-L2,2529.5578434992453,2505.516397231727,24.041446267518495,True
0060,P_5,0.1111009192672546,0.11122016384037571,0.00011924457312111059,True
