frame,metric,baseline,points2surf,delta_for_better,points2surf_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,32.436097462893606,-8.818338249860101,False
0000,CD_Comp,26.488399366804423,44.31992689911561,-17.831527532311185,False
0000,chamferL2_old,25.053079289918962,38.37801218100461,-13.324932891085645,False
0000,chamfer-L1,50.106158579837924,76.75602436200921,-26.64986578217129,False
0000,chamfer-L2,2098.367986300955,4971.193509011598,-2872.8255227106424,False
0000,P_5,0.12523735388445165,0.097265,-0.027972353884451642,False
0000,R_5,0.14140646620888223,0.062060487559347795,-0.07934597864953444,False
0000,F_5,0.1328316676827739,0.0757733544698738,-0.057058313212900114,False
0000,P_10,0.2417838275264892,0.193885,-0.04789882752648919,False
0000,R_10,0.27432219993479495,0.13022085672009928,-0.14410134321469567,False
0000,F_10,0.25702730813659047,0.15580015159664784,-0.10122715653994263,False
0000,P_20,0.47341338248422776,0.37921,-0.09420338248422777,False
0000,R_20,0.5004960773590293,0.26821395871492426,-0.23228211864410508,False
0000,F_20,0.4865781690646267,0.31419725487505923,-0.17238091418956747,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,32.03647010068471,-8.09431954168178,False
0010,CD_Comp,27.307251467895746,47.327056174826524,-20.019804706930778,False
0010,chamferL2_old,25.62470101344934,39.68176313775562,-14.057062124306277,False
0010,chamfer-L1,51.24940202689868,79.36352627551123,-28.114124248612555,False
0010,chamfer-L2,2158.955502050578,5397.861848976573,-3238.906346925995,False
0010,P_5,0.13069106374841305,0.12393,-0.0067610637484130515,False
0010,R_5,0.1471705319619715,0.06405515645952628,-0.08311537550244522,False
0010,F_5,0.13844211414215993,0.08445725917448425,-0.053984854967675674,False
0010,P_10,0.2517586898667946,0.22867,-0.023088689866794604,False
0010,R_10,0.27569705066386074,0.126376122157233,-0.14932092850662773,False
0010,F_10,0.2631846539595633,0.16278689471728258,-0.10039775924228073,False
0010,P_20,0.47687453409990316,0.4269,-0.049974534099903156,False
0010,R_20,0.4680568329832218,0.251241617903869,-0.2168152150793528,False
0010,F_20,0.47242454200700684,0.3163204966381101,-0.15610404536889672,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,33.2415347514527,-5.781960782900235,False
0020,CD_Comp,27.123948322714178,48.37643580408097,-21.252487481366792,False
0020,chamferL2_old,27.29176114563332,40.80898527776684,-13.517224132133517,False
0020,chamfer-L1,54.58352229126664,81.61797055553367,-27.034448264267034,False
0020,chamfer-L2,2378.607453328108,5653.498046522498,-3274.89059319439,False
0020,P_5,0.1152224977838179,0.110845,-0.0043774977838179074,False
0020,R_5,0.13822788838150532,0.06260526851161667,-0.07562261986988865,False
0020,F_5,0.12568110708902866,0.08001695295969385,-0.045664154129334805,False
0020,P_10,0.21604412358190217,0.208145,-0.007899123581902173,False
0020,R_10,0.26252066007836844,0.12456126466818951,-0.13795939541017893,False
0020,F_10,0.23702557256714418,0.15585402012322974,-0.08117155244391444,False
0020,P_20,0.4040763953323928,0.392505,-0.01157139533239282,False
0020,R_20,0.4624890872937773,0.23602189543607527,-0.22646719185770203,False
0020,F_20,0.43131402535878965,0.2947838023824351,-0.13653022297635453,False
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,30.130167478829765,-4.65133421140408,False
0030,CD_Comp,28.288345625250475,47.32537709882965,-19.037031473579173,False
0030,chamferL2_old,26.88358944633808,38.727772288829705,-11.844182842491627,False
0030,chamfer-L1,53.76717889267616,77.45554457765941,-23.688365684983253,False
0030,chamfer-L2,2324.984719629893,5224.8025200773345,-2899.8178004474416,False
0030,P_5,0.11335397440343024,0.12149,0.008136025596569757,True
0030,R_5,0.13338799271839993,0.06781554506221721,-0.06557244765618273,False
0030,F_5,0.12255766044744903,0.08704352074738188,-0.03551413970006716,False
0030,P_10,0.21653937615621968,0.233065,0.016525623843780313,True
0030,R_10,0.2512871156317758,0.1364388560495898,-0.114848259582186,False
0030,F_10,0.2326228044377577,0.1721179439108749,-0.06050486052688281,False
0030,P_20,0.4288789575496855,0.43637,0.007491042450314456,True
0030,R_20,0.4526779614530087,0.263268976854914,-0.1894089845980947,False
0030,F_20,0.4404572138877167,0.32840561269645313,-0.11205160119126356,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,30.190388061449685,-6.637953419653353,False
0040,CD_Comp,26.352273215747406,45.469161868570446,-19.11688865282304,False
0040,chamferL2_old,24.95235392877187,37.82977496501007,-12.877421036238196,False
0040,chamfer-L1,49.90470785754374,75.65954993002013,-25.754842072476393,False
0040,chamfer-L2,2073.5311704947126,4903.730135641413,-2830.1989651467,False
0040,P_5,0.13154029551734292,0.113995,-0.01754529551734292,False
0040,R_5,0.14466363027967347,0.0643158793529181,-0.08034775092675536,False
0040,F_5,0.13779019702699274,0.08223490000657567,-0.055555297020417074,False
0040,P_10,0.2550107953682149,0.22304,-0.03197079536821493,False
0040,R_10,0.2812834224598931,0.13144884331278073,-0.14983457914711235,False
0040,F_10,0.2675035713638136,0.16541197595103874,-0.10209159541277485,False
0040,P_20,0.47673321465618956,0.42118,-0.055553214656189565,False
0040,R_20,0.49730774152808166,0.27257454427971123,-0.22473319724837043,False
0040,F_20,0.48680318170777176,0.3309612816415426,-0.15584190006622917,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,31.207998237953422,-4.468539085724192,False
0050,CD_Comp,26.700826260374676,47.68940494907363,-20.98857868869895,False
0050,chamferL2_old,26.720142706301953,39.448701593513526,-12.728558887211573,False
0050,chamfer-L1,53.440285412603906,78.89740318702705,-25.457117774423146,False
0050,chamfer-L2,2280.1556313208107,5456.801912070001,-3176.6462807491903,False
0050,P_5,0.11424836557038673,0.1243,0.010051634429613265,True
0050,R_5,0.13701728274089003,0.06619503800124464,-0.07082224473964539,False
0050,F_5,0.12460119967254353,0.08638590600455377,-0.03821529366798976,False
0050,P_10,0.22192345400145283,0.236185,0.014261545998547176,True
0050,R_10,0.26601819787206227,0.13248492961655634,-0.13353326825550593,False
0050,F_10,0.24197842947956938,0.16975050356849683,-0.07222792591107255,False
0050,P_20,0.4191945788242944,0.43398,0.014785421175705582,True
0050,R_20,0.4789822949543239,0.2474714294728325,-0.23151086548149138,False
0050,F_20,0.44709853317190057,0.31520265808438364,-0.13189587508751693,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,30.429318005705838,-3.166965840681904,False
0060,CD_Comp,29.178067226868468,47.69559150019302,-18.51752427332455,False
0060,chamferL2_old,28.220209695946203,39.06245475294943,-10.842245057003225,False
0060,chamfer-L1,56.440419391892405,78.12490950589886,-21.68449011400645,False
0060,chamfer-L2,2529.5578434992453,5232.75526623254,-2703.1974227332944,False
0060,P_5,0.1111009192672546,0.1241,0.012999080732745402,True
0060,R_5,0.1317061193835844,0.06728412764895095,-0.06442199173463345,False
0060,F_5,0.12052921544569437,0.08725864933324927,-0.033270566112445096,False
