frame,metric,baseline,vrcnet_mvp_2048,delta_for_better,vrcnet_mvp_2048_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,34.718732200052635,-11.10097298701913,False
0000,CD_Comp,26.488399366804423,47.23685697910228,-20.748457612297855,False
0000,chamferL2_old,25.053079289918962,40.97779458957746,-15.924715299658494,False
0000,chamfer-L1,50.106158579837924,81.95558917915491,-31.84943059931699,False
0000,chamfer-L2,2098.367986300955,6253.421335381645,-4155.05334908069,False
0000,P_5,0.12523735388445165,0.10693359375,-0.018303760134451647,False
0000,R_5,0.14140646620888223,0.004531353189040452,-0.1368751130198418,False
0000,F_5,0.1328316676827739,0.00869428272046132,-0.12413738496231258,False
0000,P_10,0.2417838275264892,0.19873046875,-0.04305335877648919,False
0000,R_10,0.27432219993479495,0.03861307769913381,-0.23570912223566115,False
0000,F_10,0.25702730813659047,0.06466234406481827,-0.1923649640717722,False
0000,P_20,0.47341338248422776,0.38037109375,-0.09304228873422776,False
0000,R_20,0.5004960773590293,0.22819558515349359,-0.27230049220553576,False
0000,F_20,0.4865781690646267,0.2852571700775625,-0.20132099898706418,False
