frame,metric,baseline,pu_gaussian_pu1k_4x,delta_for_better,pu_gaussian_pu1k_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.35956616680117,0.25819304623233563,True
0000,CD_Comp,26.488399366804423,26.3034271809279,0.18497218587652142,True
0000,chamferL2_old,25.053079289918962,24.831496673864535,0.22158261605442675,True
0000,chamfer-L1,50.106158579837924,49.66299334772907,0.4431652321088535,True
0000,chamfer-L2,2098.367986300955,2066.4173656663665,31.95062063458863,True
0000,P_5,0.12523735388445165,0.12617334836491756,0.0009359944804659126,True
0000,R_5,0.14140646620888223,0.1450041820091331,0.003597715800250867,True
0000,F_5,0.1328316676827739,0.1349349494095031,0.0021032817267291892,True
0000,P_10,0.2417838275264892,0.2432054654522101,0.00142163792572092,True
0000,R_10,0.27432219993479495,0.27636370676042343,0.0020415068256284807,True
0000,F_10,0.25702730813659047,0.25872652779045147,0.001699219653860995,True
0000,P_20,0.47341338248422776,0.4805563674466786,0.00714298496245086,True
0000,R_20,0.5004960773590293,0.5022199186829113,0.001723841323881925,True
0000,F_20,0.4865781690646267,0.49114937588105817,0.004571206816431472,True
