frame,metric,baseline,pufm_pugan_4x,delta_for_better,pufm_pugan_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,24.180044477587128,-0.5622852645536227,False
0000,CD_Comp,26.488399366804423,25.534790042991187,0.9536093238132359,True
0000,chamferL2_old,25.053079289918962,24.857417260289157,0.19566202962980483,True
0000,chamfer-L1,50.106158579837924,49.714834520578314,0.39132405925960967,True
0000,chamfer-L2,2098.367986300955,2082.6555656389082,15.712420662046952,True
0000,P_5,0.12523735388445165,0.12208887324755786,-0.003148480636893783,False
0000,R_5,0.14140646620888223,0.15275002848869979,0.01134356227981756,True
0000,F_5,0.1328316676827739,0.13570916452441548,0.002877496841641569,True
0000,P_10,0.2417838275264892,0.23664704209837734,-0.005136785428111856,False
0000,R_10,0.27432219993479495,0.28995336652835163,0.015631166593556678,True
0000,F_10,0.25702730813659047,0.26060217732963703,0.0035748691930465593,True
0000,P_20,0.47341338248422776,0.46661835086024006,-0.006795031623987702,False
0000,R_20,0.5004960773590293,0.5253426233626697,0.024846546003640335,True
0000,F_20,0.4865781690646267,0.49424224323364446,0.007664074169017765,True
