frame,metric,baseline,spu_pointnet_8x,delta_for_better,spu_pointnet_8x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.608365707706387,0.009393505327118135,True
0000,CD_Comp,26.488399366804423,25.074014952721647,1.4143844140827753,True
0000,chamferL2_old,25.053079289918962,24.34119033021402,0.7118889597049431,True
0000,chamfer-L1,50.106158579837924,48.68238066042804,1.4237779194098863,True
0000,chamfer-L2,2098.367986300955,2006.3360405212266,92.03194577972863,True
0000,P_5,0.12523735388445165,0.12519907901722072,-3.8274867230930765e-05,False
0000,R_5,0.14140646620888223,0.1689056511460817,0.027499184937199467,True
0000,F_5,0.1328316676827739,0.14380477289536667,0.01097310521259276,True
0000,P_10,0.2417838275264892,0.24186534802292914,8.15204964399463e-05,True
0000,R_10,0.27432219993479495,0.3018178650326399,0.027495665097844957,True
0000,F_10,0.25702730813659047,0.2685360931244929,0.01150878498790242,True
0000,P_20,0.47341338248422776,0.47390325107716413,0.0004898685929363711,True
0000,R_20,0.5004960773590293,0.5274237283810367,0.026927651022007337,True
0000,F_20,0.4865781690646267,0.49923316699257314,0.012654997927946443,True
