frame,metric,baseline,neuralpoints_16x_2048_selected10,delta_for_better,neuralpoints_16x_2048_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,24.129223560615927,-0.5114643475824217,False
0000,CD_Comp,26.488399366804423,25.836933414220375,0.6514659525840472,True
0000,chamferL2_old,25.053079289918962,24.98307848741815,0.07000080250081098,True
0000,chamfer-L1,50.106158579837924,49.9661569748363,0.14000160500162195,True
0000,chamfer-L2,2098.367986300955,2197.846013234686,-99.47802693373069,False
0000,P_5,0.12523735388445165,0.1224365234375,-0.0028008304469516465,False
0000,R_5,0.14140646620888223,0.07372083538107321,-0.06768563082780901,False
0000,F_5,0.1328316676827739,0.0920294078522453,-0.04080225983052861,False
0000,P_10,0.2417838275264892,0.237640380859375,-0.004143446667114192,False
0000,R_10,0.27432219993479495,0.25745864958723286,-0.016863550347562095,False
0000,F_10,0.25702730813659047,0.2471528634918157,-0.009874444644774771,False
0000,P_20,0.47341338248422776,0.485321044921875,0.011907662437647237,True
0000,R_20,0.5004960773590293,0.5185541731875357,0.01805809582850637,True
0000,F_20,0.4865781690646267,0.5013875203612113,0.01480935129658456,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,24.1281143036252,-0.1859637446222706,False
0010,CD_Comp,27.307251467895746,27.150143798994513,0.15710766890123296,True
0010,chamferL2_old,25.62470101344934,25.639129051309858,-0.014428037860518828,False
0010,chamfer-L1,51.24940202689868,51.278258102619716,-0.028856075721037655,False
0010,chamfer-L2,2158.955502050578,2242.8972759209155,-83.94177387033733,False
0010,P_5,0.13069106374841305,0.133453369140625,0.00276230539221195,True
0010,R_5,0.1471705319619715,0.07442018481041116,-0.07275034715156034,False
0010,F_5,0.13844211414215993,0.09555447728917639,-0.04288763685298354,False
0010,P_10,0.2517586898667946,0.25714111328125,0.005382423414455384,True
0010,R_10,0.27569705066386074,0.2608874794352138,-0.014809571228646956,False
0010,F_10,0.2631846539595633,0.25900074955834773,-0.004183904401215577,False
0010,P_20,0.47687453409990316,0.488067626953125,0.011193092853221842,True
0010,R_20,0.4680568329832218,0.48786087360590913,0.019804040622687313,True
0010,F_20,0.47242454200700684,0.48796422837886216,0.015539686371855321,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,26.35999176985549,1.0995821986969716,True
0020,CD_Comp,27.123948322714178,26.432004189029925,0.6919441336842524,True
0020,chamferL2_old,27.29176114563332,26.395997979442708,0.895763166190612,True
0020,chamfer-L1,54.58352229126664,52.791995958885416,1.791526332381224,True
0020,chamfer-L2,2378.607453328108,2483.505464261756,-104.89801093364804,False
0020,P_5,0.1152224977838179,0.1265869140625,0.011364416278682093,True
0020,R_5,0.13822788838150532,0.0712397207175889,-0.06698816766391642,False
0020,F_5,0.12568110708902866,0.09117090238469329,-0.03451020470433537,False
0020,P_10,0.21604412358190217,0.240264892578125,0.02422076899622283,True
0020,R_10,0.26252066007836844,0.26144213044200654,-0.0010785296363619024,False
0020,F_10,0.23702557256714418,0.25040656201268413,0.013380989445539948,True
0020,P_20,0.4040763953323928,0.449798583984375,0.04572218865198219,True
0020,R_20,0.4624890872937773,0.4887587213602318,0.026269634066454495,True
0020,F_20,0.43131402535878965,0.46847002207739885,0.0371559967186092,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,26.757682508481615,-1.27884924105593,False
0030,CD_Comp,28.288345625250475,28.294998771539237,-0.006653146288762457,False
0030,chamferL2_old,26.88358944633808,27.526340640010424,-0.6427511936723462,False
0030,chamfer-L1,53.76717889267616,55.05268128002085,-1.2855023873446925,False
0030,chamfer-L2,2324.984719629893,2953.7898220916336,-628.8051024617407,False
0030,P_5,0.11335397440343024,0.1229248046875,0.009570830284069756,True
0030,R_5,0.13338799271839993,0.06795393560115429,-0.06543405711724565,False
0030,F_5,0.12255766044744903,0.08752388295193872,-0.035033777495510315,False
0030,P_10,0.21653937615621968,0.241058349609375,0.02451897345315532,True
0030,R_10,0.2512871156317758,0.24058756190990652,-0.010699553721869287,False
0030,F_10,0.2326228044377577,0.24082272567250346,0.00819992123474575,True
0030,P_20,0.4288789575496855,0.466705322265625,0.037826364715939476,True
0030,R_20,0.4526779614530087,0.4728307178497037,0.020152756396695004,True
0030,F_20,0.4404572138877167,0.4697480525048194,0.029290838617102688,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.78350295833929,-0.23106831654295945,False
0040,CD_Comp,26.352273215747406,25.979766018808075,0.3725071969393312,True
0040,chamferL2_old,24.95235392877187,24.88163448857368,0.07071944019818943,True
0040,chamfer-L1,49.90470785754374,49.76326897714736,0.14143888039637886,True
0040,chamfer-L2,2073.5311704947126,2212.7767710037187,-139.24560050900618,False
0040,P_5,0.13154029551734292,0.137420654296875,0.00588035877953208,True
0040,R_5,0.14466363027967347,0.07791878119342177,-0.0667448490862517,False
0040,F_5,0.13779019702699274,0.0994490383912755,-0.03834115863571724,False
0040,P_10,0.2550107953682149,0.263671875,0.008661079631785085,True
0040,R_10,0.2812834224598931,0.2708043208723983,-0.010479101587494766,False
0040,F_10,0.2675035713638136,0.2671905076183183,-0.00031306374549527893,False
0040,P_20,0.47673321465618956,0.50537109375,0.028637879093810437,True
0040,R_20,0.49730774152808166,0.5120930300862454,0.014785288558163745,True
0040,F_20,0.48680318170777176,0.5087098574850376,0.02190667577726585,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.465528257324834,0.2739308949043959,True
0050,CD_Comp,26.700826260374676,26.177584493722524,0.523241766652152,True
0050,chamferL2_old,26.720142706301953,26.321556375523677,0.39858633077827577,True
0050,chamfer-L1,53.440285412603906,52.643112751047354,0.7971726615565515,True
0050,chamfer-L2,2280.1556313208107,2547.1977321971594,-267.04210087634874,False
0050,P_5,0.11424836557038673,0.1214599609375,0.0072115953671132715,True
0050,R_5,0.13701728274089003,0.06804385866151653,-0.0689734240793735,False
0050,F_5,0.12460119967254353,0.08722361831600212,-0.037377581356541414,False
0050,P_10,0.22192345400145283,0.239288330078125,0.01736487607667217,True
0050,R_10,0.26601819787206227,0.2626822375060263,-0.0033359603660359505,False
0050,F_10,0.24197842947956938,0.2504401573045018,0.00846172782493243,True
0050,P_20,0.4191945788242944,0.4544677734375,0.035273194613205605,True
0050,R_20,0.4789822949543239,0.5102390352315191,0.03125674027719527,True
0050,F_20,0.44709853317190057,0.48074129088504175,0.03364275771314118,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,29.87963416402998,-2.617281999006046,False
0060,CD_Comp,29.178067226868468,28.63453089256354,0.5435363343049282,True
0060,chamferL2_old,28.220209695946203,29.25708252829676,-1.0368728323505572,False
0060,chamfer-L1,56.440419391892405,58.51416505659352,-2.0737456647011143,False
0060,chamfer-L2,2529.5578434992453,3965.6285551640945,-1436.0707116648491,False
0060,P_5,0.1111009192672546,0.118072509765625,0.0069715904983704,True
