frame,metric,baseline,pudm_pu1k_4x_selected10,delta_for_better,pudm_pu1k_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.572971305818402,0.04478790721510251,True
0000,CD_Comp,26.488399366804423,27.209089763958872,-0.7206903971544492,False
0000,chamferL2_old,25.053079289918962,25.391030534888635,-0.3379512449696733,False
0000,chamfer-L1,50.106158579837924,50.78206106977727,-0.6759024899393467,False
0000,chamfer-L2,2098.367986300955,2169.328097799813,-70.96011149885771,False
0000,P_5,0.12523735388445165,0.12542226623003494,0.0001849123455832935,True
0000,R_5,0.14140646620888223,0.14084857167118892,-0.0005578945376933098,False
0000,F_5,0.1328316676827739,0.13268856021564965,-0.00014310746712425937,False
0000,P_10,0.2417838275264892,0.24256274592844887,0.0007789184019596773,True
0000,R_10,0.27432219993479495,0.26795789040188206,-0.006364309532912893,False
0000,F_10,0.25702730813659047,0.2546286949584502,-0.002398613178140274,False
0000,P_20,0.47341338248422776,0.47451241795757354,0.0010990354733457774,True
0000,R_20,0.5004960773590293,0.4879861283131038,-0.012509949045925561,False
0000,F_20,0.4865781690646267,0.4811549660470588,-0.005423203017567879,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.90626992307514,0.03588063592778923,True
0010,CD_Comp,27.307251467895746,27.92243269217948,-0.6151812242837345,False
0010,chamferL2_old,25.62470101344934,25.91435130762731,-0.28965029417797084,False
0010,chamfer-L1,51.24940202689868,51.82870261525462,-0.5793005883559417,False
0010,chamfer-L2,2158.955502050578,2216.0308628341627,-57.07536078358453,False
0010,P_5,0.13069106374841305,0.13116603838397073,0.00047497463555767894,True
0010,R_5,0.1471705319619715,0.14613921080530387,-0.001031321156667625,False
0010,F_5,0.13844211414215993,0.13824838433410414,-0.00019372980805579254,False
0010,P_10,0.2517586898667946,0.25209511178946364,0.00033642192266902793,True
0010,R_10,0.27569705066386074,0.2692797090905444,-0.00641734157331636,False
0010,F_10,0.2631846539595633,0.26040420690525923,-0.0027804470543040805,False
0010,P_20,0.47687453409990316,0.4776509604845892,0.0007764263846860575,True
0010,R_20,0.4680568329832218,0.4584619524815016,-0.009594880501720193,False
0010,F_20,0.47242454200700684,0.46785978254390714,-0.004564759463099699,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.421358937867783,0.03821503068467891,True
0020,CD_Comp,27.123948322714178,27.713343400925613,-0.5893950782114352,False
0020,chamferL2_old,27.29176114563332,27.567351169396698,-0.27559002376337816,False
0020,chamfer-L1,54.58352229126664,55.134702338793396,-0.5511800475267563,False
0020,chamfer-L2,2378.607453328108,2434.6890743609683,-56.08162103286031,False
0020,P_5,0.1152224977838179,0.11628229848264825,0.0010598006988303404,True
0020,R_5,0.13822788838150532,0.1378069179202899,-0.0004209704612154197,False
0020,F_5,0.12568110708902866,0.12613290236740374,0.0004517952783750778,True
0020,P_10,0.21604412358190217,0.21728673774546156,0.0012426141635593912,True
0020,R_10,0.26252066007836844,0.25628772833814867,-0.0062329317402197715,False
0020,F_10,0.23702557256714418,0.23518127941027814,-0.0018442931568660448,False
0020,P_20,0.4040763953323928,0.404512301966452,0.00043590663405917995,True
0020,R_20,0.4624890872937773,0.45230168500056556,-0.010187402293211745,False
0020,F_20,0.43131402535878965,0.42707425080801537,-0.004239774550774289,False
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.463805531198204,0.01502773622748066,True
0030,CD_Comp,28.288345625250475,28.78951201463501,-0.5011663893845366,False
0030,chamferL2_old,26.88358944633808,27.126658772916606,-0.24306932657852798,False
0030,chamfer-L1,53.76717889267616,54.25331754583321,-0.48613865315705596,False
0030,chamfer-L2,2324.984719629893,2370.9985354206033,-46.013815790710396,False
0030,P_5,0.11335397440343024,0.1129684944985505,-0.0003854799048797486,False
0030,R_5,0.13338799271839993,0.13324960217946286,-0.00013839053893707765,False
0030,F_5,0.12255766044744903,0.12227376585101257,-0.00028389459643646253,False
0030,P_10,0.21653937615621968,0.21654069629288025,1.3201366605708476e-06,True
0030,R_10,0.2512871156317758,0.24697526781286924,-0.004311847818906561,False
0030,F_10,0.2326228044377577,0.23075881134966897,-0.001863993088088739,False
0030,P_20,0.4288789575496855,0.42827169468583387,-0.0006072628638516542,False
0030,R_20,0.4526779614530087,0.44277070401901175,-0.009907257433996952,False
0030,F_20,0.4404572138877167,0.43540052711421934,-0.005056686773497354,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.516098440529152,0.03633620126717929,True
0040,CD_Comp,26.352273215747406,26.956639565096275,-0.6043663493488687,False
0040,chamferL2_old,24.95235392877187,25.236369002812715,-0.2840150740408447,False
0040,chamfer-L1,49.90470785754374,50.47273800562543,-0.5680301480816894,False
0040,chamfer-L2,2073.5311704947126,2127.2012427246473,-53.6700722299347,False
0040,P_5,0.13154029551734292,0.1319149913993461,0.00037469588200317316,True
0040,R_5,0.14466363027967347,0.1442293612048764,-0.00043426907479707233,False
0040,F_5,0.13779019702699274,0.13779760305395813,7.406026965389723e-06,True
0040,P_10,0.2550107953682149,0.2555575981196738,0.000546802751458908,True
0040,R_10,0.2812834224598931,0.2762328940991854,-0.0050505283607076845,False
0040,F_10,0.2675035713638136,0.2654933323199814,-0.002010239043832185,False
0040,P_20,0.47673321465618956,0.4769770718009225,0.00024385714473296183,True
0040,R_20,0.49730774152808166,0.48664528188678374,-0.010662459641297917,False
0040,F_20,0.48680318170777176,0.48176267532979705,-0.005040506377974707,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.714221702778158,0.025237449451072536,True
0050,CD_Comp,26.700826260374676,27.374486893078224,-0.6736606327035481,False
0050,chamferL2_old,26.720142706301953,27.04435429792819,-0.3242115916262378,False
0050,chamfer-L1,53.440285412603906,54.08870859585638,-0.6484231832524756,False
0050,chamfer-L2,2280.1556313208107,2345.902241682211,-65.74661036140014,False
0050,P_5,0.11424836557038673,0.1144574845108056,0.0002091189404188759,True
0050,R_5,0.13701728274089003,0.13659085388460604,-0.00042642885628399463,False
0050,F_5,0.12460119967254353,0.12454848849221259,-5.2711180330941576e-05,False
0050,P_10,0.22192345400145283,0.2222070768558671,0.0002836228544142727,True
0050,R_10,0.26601819787206227,0.26040286391929357,-0.005615333952768697,False
0050,F_10,0.24197842947956938,0.2397934825107959,-0.0021849469687734713,False
0050,P_20,0.4191945788242944,0.4188042799112049,-0.00039029891308950404,False
0050,R_20,0.4789822949543239,0.46701589292924045,-0.011966402025083422,False
0050,F_20,0.44709853317190057,0.4415981047669106,-0.005500428404989988,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.254460678724406,0.007891486299527628,True
0060,CD_Comp,29.178067226868468,29.74145040005548,-0.5633831731870131,False
0060,chamferL2_old,28.220209695946203,28.49795553938994,-0.2777458434437392,False
0060,chamfer-L1,56.440419391892405,56.99591107877988,-0.5554916868874784,False
