frame,metric,baseline,repkpu_pu1k_4x,delta_for_better,repkpu_pu1k_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.414381498372467,0.2033777146610376,True
0000,CD_Comp,26.488399366804423,25.97320813186212,0.5151912349423036,True
0000,chamferL2_old,25.053079289918962,24.693794815117293,0.3592844748016688,True
0000,chamfer-L1,50.106158579837924,49.38758963023459,0.7185689496033376,True
0000,chamfer-L2,2098.367986300955,2036.4020140441833,61.96597225677192,True
0000,P_5,0.12523735388445165,0.12506138891042887,-0.00017596497402277977,False
0000,R_5,0.14140646620888223,0.1484338254802051,0.007027359271322864,True
0000,F_5,0.1328316676827739,0.13574892282633205,0.002917255143558145,True
0000,P_10,0.2417838275264892,0.24202938316820463,0.0002455556417154392,True
0000,R_10,0.27432219993479495,0.28039216290168517,0.006069962966890219,True
0000,F_10,0.25702730813659047,0.2598022334370369,0.002774925300446429,True
0000,P_20,0.47341338248422776,0.4781276531442058,0.004714270659978037,True
0000,R_20,0.5004960773590293,0.5068744662493604,0.006378388890331044,True
0000,F_20,0.4865781690646267,0.49208157873961955,0.005503409674992854,True
