frame,metric,baseline,pointr_shapenet55,delta_for_better,pointr_shapenet55_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,22.793462960407595,0.8242962526259099,True
0000,CD_Comp,26.488399366804423,35.9859948208652,-9.497595454060779,False
0000,chamferL2_old,25.053079289918962,29.3897288906364,-4.336649600717436,False
0000,chamfer-L1,50.106158579837924,58.7794577812728,-8.673299201434872,False
0000,chamfer-L2,2098.367986300955,2838.5505908900336,-740.1826045890784,False
0000,P_5,0.12523735388445165,0.1998291015625,0.07459174767804835,True
0000,R_5,0.14140646620888223,0.015509732135825322,-0.1258967340730569,False
0000,F_5,0.1328316676827739,0.02878529417985894,-0.10404637350291497,False
0000,P_10,0.2417838275264892,0.2960205078125,0.05423668028601081,True
0000,R_10,0.27432219993479495,0.08083707059609799,-0.19348512933869697,False
0000,F_10,0.25702730813659047,0.1269945574080348,-0.13003275072855566,False
0000,P_20,0.47341338248422776,0.4739990234375,0.0005856409532722373,True
0000,R_20,0.5004960773590293,0.3148016724516693,-0.18569440490736006,False
0000,F_20,0.4865781690646267,0.3783355823498121,-0.10824258671481457,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.709719098689348,0.23243146031358108,True
0010,CD_Comp,27.307251467895746,38.07140250858012,-10.764151040684375,False
0010,chamferL2_old,25.62470101344934,30.890560803634735,-5.265859790185395,False
0010,chamfer-L1,51.24940202689868,61.78112160726947,-10.53171958037079,False
0010,chamfer-L2,2158.955502050578,3062.2384293790965,-903.2829273285183,False
0010,P_5,0.13069106374841305,0.1064453125,-0.02424575124841305,False
0010,R_5,0.1471705319619715,0.009753673872681983,-0.13741685808928952,False
0010,F_5,0.13844211414215993,0.017869912566548928,-0.120572201575611,False
0010,P_10,0.2517586898667946,0.21337890625,-0.038379783616794616,False
0010,R_10,0.27569705066386074,0.06439739796167815,-0.2112996527021826,False
0010,F_10,0.2631846539595633,0.09893605850510245,-0.16424859545446086,False
0010,P_20,0.47687453409990316,0.4840087890625,0.007134254962596842,True
0010,R_20,0.4680568329832218,0.2733573557059264,-0.19469947727729542,False
0010,F_20,0.47242454200700684,0.34938810938534115,-0.12303643262166569,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.188579095645927,0.27099487290653457,True
0020,CD_Comp,27.123948322714178,38.45294777206493,-11.328999449350754,False
0020,chamferL2_old,27.29176114563332,32.82076343385543,-5.529002288222113,False
0020,chamfer-L1,54.58352229126664,65.64152686771087,-11.058004576444226,False
0020,chamfer-L2,2378.607453328108,3283.1309680005475,-904.5235146724394,False
0020,P_5,0.1152224977838179,0.083251953125,-0.031970544658817907,False
0020,R_5,0.13822788838150532,0.00910721529282929,-0.12912067308867603,False
0020,F_5,0.12568110708902866,0.01641836914832038,-0.10926273794070829,False
0020,P_10,0.21604412358190217,0.1864013671875,-0.02964275639440217,False
0020,R_10,0.26252066007836844,0.06008441783638585,-0.2024362422419826,False
0020,F_10,0.23702557256714418,0.09087597185599978,-0.1461496007111444,False
0020,P_20,0.4040763953323928,0.434814453125,0.030738057792607187,True
0020,R_20,0.4624890872937773,0.25535338937157315,-0.20713569792220415,False
0020,F_20,0.43131402535878965,0.32175171752881854,-0.10956230782997112,False
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,30.028400207382983,-4.549566939957298,False
0030,CD_Comp,28.288345625250475,38.1694289723874,-9.881083347136926,False
0030,chamferL2_old,26.88358944633808,34.09891458988519,-7.215325143547112,False
0030,chamfer-L1,53.76717889267616,68.19782917977038,-14.430650287094224,False
0030,chamfer-L2,2324.984719629893,3559.7121808441484,-1234.7274612142555,False
0030,P_5,0.11335397440343024,0.1387939453125,0.025439970909069756,True
0030,R_5,0.13338799271839993,0.010757669386256774,-0.12263032333214316,False
0030,F_5,0.12255766044744903,0.019967679780571308,-0.10258998066687773,False
0030,P_10,0.21653937615621968,0.22802734375,0.011487967593780318,True
0030,R_10,0.2512871156317758,0.060978801579742635,-0.19030831405203316,False
0030,F_10,0.2326228044377577,0.09622517980316471,-0.13639762463459298,False
0030,P_20,0.4288789575496855,0.3885498046875,-0.040329152862185524,False
0030,R_20,0.4526779614530087,0.25874640749031474,-0.19393155396269396,False
0030,F_20,0.4404572138877167,0.310633259402842,-0.12982395448487472,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,24.31951734141277,-0.7670826996164379,False
0040,CD_Comp,26.352273215747406,36.17351169730468,-9.821238481557277,False
0040,chamferL2_old,24.95235392877187,30.246514519358726,-5.294160590586856,False
0040,chamfer-L1,49.90470785754374,60.49302903871745,-10.588321181173711,False
0040,chamfer-L2,2073.5311704947126,2877.360885581269,-803.8297150865565,False
0040,P_5,0.13154029551734292,0.1219482421875,-0.00959205332984292,False
0040,R_5,0.14466363027967347,0.012895903395061081,-0.13176772688461239,False
0040,F_5,0.13779019702699274,0.02332519137042751,-0.11446500565656523,False
0040,P_10,0.2550107953682149,0.2869873046875,0.031976509319285085,True
0040,R_10,0.2812834224598931,0.07483064555042032,-0.20645277690947275,False
0040,F_10,0.2675035713638136,0.11870856744624861,-0.14879500391756498,False
0040,P_20,0.47673321465618956,0.50341796875,0.026684754093810437,True
0040,R_20,0.49730774152808166,0.2985228557702192,-0.19878488575786246,False
0040,F_20,0.48680318170777176,0.37479515964835114,-0.11200802205942062,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,28.06186957150917,-1.3224104192799402,False
0050,CD_Comp,26.700826260374676,39.14568175752044,-12.444855497145767,False
0050,chamferL2_old,26.720142706301953,33.60377566451481,-6.8836329582128535,False
0050,chamfer-L1,53.440285412603906,67.20755132902961,-13.767265916425707,False
0050,chamfer-L2,2280.1556313208107,3465.569054979824,-1185.4134236590135,False
0050,P_5,0.11424836557038673,0.10205078125,-0.012197584320386728,False
0050,R_5,0.13701728274089003,0.007880685700900161,-0.12913659703998986,False
0050,F_5,0.12460119967254353,0.014631481865365574,-0.10996971780717796,False
0050,P_10,0.22192345400145283,0.234375,0.01245154599854717,True
0050,R_10,0.26601819787206227,0.05224866988426622,-0.21376952798779605,False
0050,F_10,0.24197842947956938,0.0854485047174892,-0.15652992476208016,False
0050,P_20,0.4191945788242944,0.4599609375,0.040766358675705605,True
0050,R_20,0.4789822949543239,0.2446315947490689,-0.23435070020525497,False
0050,F_20,0.44709853317190057,0.31939304637173294,-0.12770548680016763,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,29.77546275393424,-2.5131105889103047,False
0060,CD_Comp,29.178067226868468,40.74683275920289,-11.568765532334421,False
0060,chamferL2_old,28.220209695946203,35.26114775656856,-7.040938060622359,False
0060,chamfer-L1,56.440419391892405,70.52229551313712,-14.081876121244719,False
0060,chamfer-L2,2529.5578434992453,3695.852870997348,-1166.2950274981026,False
0060,P_5,0.1111009192672546,0.1011962890625,-0.0099046302047546,False
