frame,metric,baseline,pdflow,delta_for_better,pdflow_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.328113003787205,0.2896462092462997,True
0000,CD_Comp,26.488399366804423,26.990344501561264,-0.5019451347568413,False
0000,chamferL2_old,25.053079289918962,25.159228752674235,-0.1061494627552726,False
0000,chamfer-L1,50.106158579837924,50.31845750534847,-0.2122989255105452,False
0000,chamfer-L2,2098.367986300955,2121.5051850243085,-23.137198723353322,False
0000,P_5,0.12523735388445165,0.12571454703434398,0.0004771931498923354,True
0000,R_5,0.14140646620888223,0.13584599998856053,-0.0055604662203216915,False
0000,F_5,0.1328316676827739,0.13058405443305562,-0.0022476132497182832,False
0000,P_10,0.2417838275264892,0.24210990951224895,0.00032608198575975744,True
0000,R_10,0.27432219993479495,0.26659659253151685,-0.007725607403278101,False
0000,F_10,0.25702730813659047,0.2537639154788171,-0.0032633926577733674,False
0000,P_20,0.47341338248422776,0.48049970076012893,0.007086318275901171,True
0000,R_20,0.5004960773590293,0.491210301161855,-0.009285776197174356,False
0000,F_20,0.4865781690646267,0.48579597256736706,-0.0007821964972596351,False
