frame,metric,baseline,gqenet,delta_for_better,gqenet_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.617759236609036,-2.3575530860853178e-08,False
0000,CD_Comp,26.488399366804423,26.488399352069486,1.4734936826243938e-08,True
0000,chamferL2_old,25.053079289918962,25.053079294339263,-4.4203005700182985e-09,False
0000,chamfer-L1,50.106158579837924,50.106158588678525,-8.840601140036597e-09,False
0000,chamfer-L2,2098.367986300955,2098.3679824878727,3.813082457782002e-06,True
0000,P_5,0.12523735388445165,0.12523735388445165,0.0,False
0000,R_5,0.14140646620888223,0.14140646620888223,0.0,False
0000,F_5,0.1328316676827739,0.1328316676827739,0.0,False
0000,P_10,0.2417838275264892,0.2417838275264892,0.0,False
0000,R_10,0.27432219993479495,0.27432219993479495,0.0,False
0000,F_10,0.25702730813659047,0.25702730813659047,0.0,False
0000,P_20,0.47341338248422776,0.47341338248422776,0.0,False
0000,R_20,0.5004960773590293,0.5004965173389486,4.3997991927557933e-07,True
0000,F_20,0.4865781690646267,0.48657837698954887,2.0792492216870073e-07,True
