frame,metric,baseline,seedformer_pcn,delta_for_better,seedformer_pcn_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,45.709825157282026,-22.09206594424852,False
0000,CD_Comp,26.488399366804423,36.68516789029255,-10.196768523488124,False
0000,chamferL2_old,25.053079289918962,41.19749652378729,-16.144417233868325,False
0000,chamfer-L1,50.106158579837924,82.39499304757457,-32.28883446773665,False
0000,chamfer-L2,2098.367986300955,5171.663401620309,-3073.2954153193537,False
0000,P_5,0.12523735388445165,0.0555419921875,-0.06969536169695165,False
0000,R_5,0.14140646620888223,0.017962180206095395,-0.12344428600278683,False
0000,F_5,0.1328316676827739,0.02714554127173183,-0.10568612641104208,False
0000,P_10,0.2417838275264892,0.11236572265625,-0.1294181048702392,False
0000,R_10,0.27432219993479495,0.08767787838163066,-0.1866443215531643,False
0000,F_10,0.25702730813659047,0.09849840848898872,-0.15852889964760175,False
0000,P_20,0.47341338248422776,0.23297119140625,-0.24044219107797776,False
0000,R_20,0.5004960773590293,0.32554334220186193,-0.17495273515716742,False
0000,F_20,0.4865781690646267,0.27158548515178255,-0.21499268391284415,False
