frame,metric,baseline,snowflakenet_pu_4x,delta_for_better,snowflakenet_pu_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.32046675169054,0.29729246134296616,True
0000,CD_Comp,26.488399366804423,25.98296179073314,0.5054375760712837,True
0000,chamferL2_old,25.053079289918962,24.651714271211837,0.40136501870712493,True
0000,chamfer-L1,50.106158579837924,49.303428542423674,0.8027300374142499,True
0000,chamfer-L2,2098.367986300955,2041.3838823728706,56.98410392808455,True
0000,P_5,0.12523735388445165,0.12572597978689348,0.000488625902441836,True
0000,R_5,0.14140646620888223,0.15096414999619417,0.009557683787311949,True
0000,F_5,0.1328316676827739,0.13719402051563317,0.0043623528328592676,True
0000,P_10,0.2417838275264892,0.24340628423612312,0.0016224567096339293,True
0000,R_10,0.27432219993479495,0.28320275462627886,0.00888055469148391,True
0000,F_10,0.25702730813659047,0.2618007861692959,0.004773478032705447,True
0000,P_20,0.47341338248422776,0.481323356019891,0.00790997353566325,True
0000,R_20,0.5004960773590293,0.5075955933371201,0.007099515978090776,True
0000,F_20,0.4865781690646267,0.49411049236094473,0.007532323296318033,True
