frame,metric,baseline,mag_selected10,delta_for_better,mag_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.467395611117247,0.15036360191625775,True
0000,CD_Comp,26.488399366804423,26.6172699357934,-0.12887056898897598,False
0000,chamferL2_old,25.053079289918962,25.04233277345532,0.010746516463640887,True
0000,chamfer-L1,50.106158579837924,50.08466554691064,0.021493032927281774,True
0000,chamfer-L2,2098.367986300955,2093.9147766057868,4.453209695168425,True
0000,P_5,0.12523735388445165,0.12485162275495536,-0.00038573112949628896,False
0000,R_5,0.14140646620888223,0.13646901155431265,-0.004937454654569573,False
0000,F_5,0.1328316676827739,0.1304020831983447,-0.0024295844844292036,False
0000,P_10,0.2417838275264892,0.24267061146337243,0.0008867839368832398,True
0000,R_10,0.27432219993479495,0.2680507261648578,-0.0062714737699371415,False
0000,F_10,0.25702730813659047,0.25473004094055496,-0.002297267196035513,False
0000,P_20,0.47341338248422776,0.4777439103195007,0.004330527835272935,True
0000,R_20,0.5004960773590293,0.4963514665190681,-0.00414461083996126,False
0000,F_20,0.4865781690646267,0.48686996396028753,0.00029179489566083516,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.399790568315282,0.5423599906876468,True
0010,CD_Comp,27.307251467895746,27.5992638068211,-0.2920123389253533,False
0010,chamferL2_old,25.62470101344934,25.49952718756819,0.12517382588114856,True
0010,chamfer-L1,51.24940202689868,50.99905437513638,0.2503476517622971,True
0010,chamfer-L2,2158.955502050578,2146.5179423976833,12.437559652894834,True
0010,P_5,0.13069106374841305,0.13559751189428562,0.004906448145872572,True
0010,R_5,0.1471705319619715,0.14223289387964383,-0.004937638082327667,False
0010,F_5,0.13844211414215993,0.13883596696969897,0.0003938528275390374,True
0010,P_10,0.2517586898667946,0.26032151311956964,0.00856282325277502,True
0010,R_10,0.27569705066386074,0.2701748022500185,-0.005522248413842246,False
0010,F_10,0.2631846539595633,0.2651566515763864,0.0019719976168230957,True
0010,P_20,0.47687453409990316,0.4903296403649647,0.013455106265061523,True
0010,R_20,0.4680568329832218,0.462399610204062,-0.0056572227791598095,False
0010,F_20,0.47242454200700684,0.4759552295488817,0.003530687541874855,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,26.961408911634578,0.49816505691788393,True
0020,CD_Comp,27.123948322714178,27.40657949032156,-0.2826311676073807,False
0020,chamferL2_old,27.29176114563332,27.18399420097807,0.10776694465524983,True
0020,chamfer-L1,54.58352229126664,54.36798840195614,0.21553388931049966,True
0020,chamfer-L2,2378.607453328108,2373.432311903427,5.175141424680987,True
0020,P_5,0.1152224977838179,0.11914608865418246,0.003923590870364549,True
0020,R_5,0.13822788838150532,0.1353598199439728,-0.0028680684375325116,False
0020,F_5,0.12568110708902866,0.1267364926503373,0.0010553855613086305,True
0020,P_10,0.21604412358190217,0.22365330288741794,0.007609179305515773,True
0020,R_10,0.26252066007836844,0.25900746269584346,-0.0035131973825249796,False
0020,F_10,0.23702557256714418,0.24003556383711172,0.003009991269967538,True
0020,P_20,0.4040763953323928,0.41501933338622277,0.010942938053829954,True
0020,R_20,0.4624890872937773,0.4591101363969155,-0.0033789508968617987,False
0020,F_20,0.43131402535878965,0.43595277208895933,0.004638746730169674,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.22951330478619,0.2493199626394933,True
0030,CD_Comp,28.288345625250475,28.455569325133876,-0.1672236998834009,False
0030,chamferL2_old,26.88358944633808,26.842541314960034,0.04104813137804442,True
0030,chamfer-L1,53.76717889267616,53.68508262992007,0.08209626275608883,True
0030,chamfer-L2,2324.984719629893,2327.301672949354,-2.3169533194609357,False
0030,P_5,0.11335397440343024,0.11712076434152463,0.0037667899380943864,True
0030,R_5,0.13338799271839993,0.12974468408910175,-0.003643308629298181,False
0030,F_5,0.12255766044744903,0.12310995051245932,0.0005522900650102858,True
0030,P_10,0.21653937615621968,0.2245534857768476,0.00801410962062793,True
0030,R_10,0.2512871156317758,0.24739545660933981,-0.0038916590224359893,False
0030,F_10,0.2326228044377577,0.2354217041619034,0.0027988997241456814,True
0030,P_20,0.4288789575496855,0.438169199275509,0.00929024172582349,True
0030,R_20,0.4526779614530087,0.44753618849878457,-0.005141772954224133,False
0030,F_20,0.4404572138877167,0.442803162469409,0.002345948581692292,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.24681746769335,0.3056171741029807,True
0040,CD_Comp,26.352273215747406,26.60218881947738,-0.24991560372997412,False
0040,chamferL2_old,24.95235392877187,24.924503143585365,0.027850785186505078,True
0040,chamfer-L1,49.90470785754374,49.84900628717073,0.055701570373010156,True
0040,chamfer-L2,2073.5311704947126,2080.804144867026,-7.272974372313456,False
0040,P_5,0.13154029551734292,0.13539136257993356,0.0038510670625906407,True
0040,R_5,0.14466363027967347,0.1410711550928014,-0.0035924751868720572,False
0040,F_5,0.13779019702699274,0.13817291450227692,0.00038271747528417777,True
0040,P_10,0.2550107953682149,0.26251409212922927,0.007503296761014355,True
0040,R_10,0.2812834224598931,0.2778071719432807,-0.003476250516612378,False
0040,F_10,0.2675035713638136,0.2699442068224515,0.0024406354586379297,True
0040,P_20,0.47673321465618956,0.48746480484863036,0.010731590192440799,True
0040,R_20,0.49730774152808166,0.4950390527479582,-0.0022686887801234845,False
0040,F_20,0.48680318170777176,0.4912227333753975,0.004419551667625754,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.101922893831144,0.6375362583980859,True
0050,CD_Comp,26.700826260374676,26.840971673868122,-0.1401454134934461,False
0050,chamferL2_old,26.720142706301953,26.471447283849635,0.24869542245231813,True
0050,chamfer-L1,53.440285412603906,52.94289456769927,0.49739084490463625,True
0050,chamfer-L2,2280.1556313208107,2256.8726372294154,23.282994091395267,True
0050,P_5,0.11424836557038673,0.11965497914737043,0.0054066135769837015,True
0050,R_5,0.13701728274089003,0.13260617727975507,-0.004411105461134962,False
0050,F_5,0.12460119967254353,0.12579811812450276,0.0011969184519592252,True
0050,P_10,0.22192345400145283,0.23123305670933145,0.009309602707878617,True
0050,R_10,0.26601819787206227,0.2621283748812783,-0.003889822990783942,False
0050,F_10,0.24197842947956938,0.2457133512793268,0.003734921799757429,True
0050,P_20,0.4191945788242944,0.4321057684655411,0.012911189641246712,True
0050,R_20,0.4789822949543239,0.47691819783082157,-0.0020640971235023065,False
0050,F_20,0.44709853317190057,0.4534074172070874,0.0063088840351868125,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.845137699870417,0.417214465153517,True
0060,CD_Comp,29.178067226868468,29.294809714542577,-0.11674248767410944,False
0060,chamferL2_old,28.220209695946203,28.069973707206497,0.15023598873970556,True
0060,chamfer-L1,56.440419391892405,56.139947414412994,0.3004719774794111,True
0060,chamfer-L2,2529.5578434992453,2510.59021028191,18.967633217335333,True
0060,P_5,0.1111009192672546,0.11457652332857467,0.0034756040613200673,True
