frame,input_points,output_points,has_color
0000,502941,502941,True
0010,564767,564767,True
0020,579826,579826,True
0030,568123,568123,True
0040,533099,533099,True
0050,590573,590573,True
0060,599608,599608,True
0070,504510,504510,True
0080,574138,574138,True
0090,584096,584096,True
