frame,metric,baseline,crcir_aftercomp_4x,delta_for_better,crcir_aftercomp_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.347192573211885,0.2705666398216202,True
0000,CD_Comp,26.488399366804423,26.13118384977099,0.35721551703343124,True
0000,chamferL2_old,25.053079289918962,24.739188211491438,0.31389107842752395,True
0000,chamfer-L1,50.106158579837924,49.478376422982876,0.6277821568550479,True
0000,chamfer-L2,2098.367986300955,2064.157285358679,34.21070094227616,True
0000,P_5,0.12523735388445165,0.12728953751938601,0.002052183634934368,True
0000,R_5,0.14140646620888223,0.15078727806862896,0.009380811859746735,True
0000,F_5,0.1328316676827739,0.13804561770873555,0.0052139500259616445,True
0000,P_10,0.2417838275264892,0.24473495844434723,0.002951130917858036,True
0000,R_10,0.27432219993479495,0.2832489525178071,0.00892675258301212,True
0000,F_10,0.25702730813659047,0.26258724625727964,0.005559938120689167,True
0000,P_20,0.47341338248422776,0.4805911241897642,0.007177741705536422,True
0000,R_20,0.5004960773590293,0.5073012467710973,0.006805169412067991,True
0000,F_20,0.4865781690646267,0.49358509824599045,0.007006929181363752,True
