frame,metric,baseline,deeprs_denoise,delta_for_better,deeprs_denoise_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.615288208450036,0.002471004583469494,True
0000,CD_Comp,26.488399366804423,27.642735658555292,-1.1543362917508695,False
0000,chamferL2_old,25.053079289918962,25.629011933502664,-0.5759326435837018,False
0000,chamfer-L1,50.106158579837924,51.25802386700533,-1.1518652871674036,False
0000,chamfer-L2,2098.367986300955,2197.3496974482478,-98.98171114729257,False
0000,P_5,0.12523735388445165,0.12526717845631993,2.9824571868286576e-05,True
0000,R_5,0.14140646620888223,0.12426484855231207,-0.017141617656570157,False
0000,F_5,0.1328316676827739,0.12476400040553964,-0.008067667277234264,False
0000,P_10,0.2417838275264892,0.24161482161923564,-0.00016900590725354991,False
0000,R_10,0.27432219993479495,0.2527403049324829,-0.021581895002312057,False
0000,F_10,0.25702730813659047,0.24705237353643375,-0.00997493460015672,False
0000,P_20,0.47341338248422776,0.47317876251886404,-0.00023461996536372487,False
0000,R_20,0.5004960773590293,0.47984078006679776,-0.02065529729223159,False
0000,F_20,0.4865781690646267,0.4764864861051586,-0.010091682959468107,False
