frame,metric,baseline,fbnet_mvp2k,delta_for_better,fbnet_mvp2k_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,28.548280792710248,-4.930521579676743,False
0000,CD_Comp,26.488399366804423,40.61071543749691,-14.122316070692484,False
0000,chamferL2_old,25.053079289918962,34.579498115103576,-9.526418825184614,False
0000,chamfer-L1,50.106158579837924,69.15899623020715,-19.052837650369227,False
0000,chamfer-L2,2098.367986300955,3831.5755670637536,-1733.2075807627984,False
0000,P_5,0.12523735388445165,0.109375,-0.015862353884451647,False
0000,R_5,0.14140646620888223,0.004996851943677291,-0.13640961426520493,False
0000,F_5,0.1328316676827739,0.009557083706379855,-0.12327458397639406,False
0000,P_10,0.2417838275264892,0.220703125,-0.021080702526489192,False
0000,R_10,0.27432219993479495,0.038692274084610775,-0.23562992585018416,False
0000,F_10,0.25702730813659047,0.06584161349018113,-0.19118569464640933,False
0000,P_20,0.47341338248422776,0.43017578125,-0.04323760123422776,False
0000,R_20,0.5004960773590293,0.2341749122570046,-0.26632116510202475,False
0000,F_20,0.4865781690646267,0.3032626497235531,-0.1833155193410736,False
