frame,metric,baseline,pc2pu_4x_chunks256,delta_for_better,pc2pu_4x_chunks256_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.55446556985006,0.06329364318344588,True
0000,CD_Comp,26.488399366804423,26.504188497115923,-0.015789130311500088,False
0000,chamferL2_old,25.053079289918962,25.029327033482993,0.023752256435969343,True
0000,chamfer-L1,50.106158579837924,50.058654066965985,0.04750451287193869,True
0000,chamfer-L2,2098.367986300955,2114.1686262318003,-15.800639930845136,False
0000,P_5,0.12523735388445165,0.1250775286259542,-0.000159825258497448,False
0000,R_5,0.14140646620888223,0.14433805241128794,0.002931586202405717,True
0000,F_5,0.1328316676827739,0.13401932295661667,0.0011876552738427637,True
0000,P_10,0.2417838275264892,0.24231323552798983,0.0005294080015006419,True
0000,R_10,0.27432219993479495,0.2749848096932856,0.0006626097584906399,True
0000,F_10,0.25702730813659047,0.25761728494189995,0.0005899768053094778,True
0000,P_20,0.47341338248422776,0.4753871461513995,0.001973763667171724,True
0000,R_20,0.5004960773590293,0.5012299638644492,0.000733886505419834,True
0000,F_20,0.4865781690646267,0.4879666342999515,0.0013884652353248206,True
