frame,metric,baseline,repkpu_pu1k_4x_selected10,delta_for_better,repkpu_pu1k_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.414381498372467,0.2033777146610376,True
0000,CD_Comp,26.488399366804423,25.97320813186212,0.5151912349423036,True
0000,chamferL2_old,25.053079289918962,24.693794815117293,0.3592844748016688,True
0000,chamfer-L1,50.106158579837924,49.38758963023459,0.7185689496033376,True
0000,chamfer-L2,2098.367986300955,2036.4020140441833,61.96597225677192,True
0000,P_5,0.12523735388445165,0.12506138891042887,-0.00017596497402277977,False
0000,R_5,0.14140646620888223,0.1484338254802051,0.007027359271322864,True
0000,F_5,0.1328316676827739,0.13574892282633205,0.002917255143558145,True
0000,P_10,0.2417838275264892,0.24202938316820463,0.0002455556417154392,True
0000,R_10,0.27432219993479495,0.28039216290168517,0.006069962966890219,True
0000,F_10,0.25702730813659047,0.2598022334370369,0.002774925300446429,True
0000,P_20,0.47341338248422776,0.4781276531442058,0.004714270659978037,True
0000,R_20,0.5004960773590293,0.5068744662493604,0.006378388890331044,True
0000,F_20,0.4865781690646267,0.49208157873961955,0.005503409674992854,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.698246367992876,0.24390419101005278,True
0010,CD_Comp,27.307251467895746,26.881332581354805,0.42591888654094134,True
0010,chamferL2_old,25.62470101344934,25.28978947467384,0.3349115387755006,True
0010,chamfer-L1,51.24940202689868,50.57957894934768,0.6698230775510012,True
0010,chamfer-L2,2158.955502050578,2120.1606158697914,38.79488618078676,True
0010,P_5,0.13069106374841305,0.13293004017586013,0.0022389764274470814,True
0010,R_5,0.1471705319619715,0.15310647889489842,0.005935946932926928,True
0010,F_5,0.13844211414215993,0.14230665690382438,0.0038645427616644523,True
0010,P_10,0.2517586898667946,0.2561910486979586,0.004432358831163996,True
0010,R_10,0.27569705066386074,0.280684834021229,0.0049877833573682695,True
0010,F_10,0.2631846539595633,0.2678792037269553,0.004694549767391976,True
0010,P_20,0.47687453409990316,0.48483401119399683,0.00795947709409367,True
0010,R_20,0.4680568329832218,0.4736843864746493,0.005627553491427462,True
0010,F_20,0.47242454200700684,0.47919435181016334,0.006769809803156501,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.25535540126663,0.20421856728583165,True
0020,CD_Comp,27.123948322714178,26.851043696429397,0.27290462628478096,True
0020,chamferL2_old,27.29176114563332,27.053199548848013,0.2385615967853063,True
0020,chamfer-L1,54.58352229126664,54.10639909769603,0.4771231935706126,True
0020,chamfer-L2,2378.607453328108,2389.1868377209316,-10.579384392823613,False
0020,P_5,0.1152224977838179,0.11636163262771936,0.0011391348439014487,True
0020,R_5,0.13822788838150532,0.14372039274555196,0.005492504364046635,True
0020,F_5,0.12568110708902866,0.12860204020456803,0.0029209331155393703,True
0020,P_10,0.21604412358190217,0.21738806124596,0.001343937664057826,True
0020,R_10,0.26252066007836844,0.26707716811181903,0.00455650803345059,True
0020,F_10,0.23702557256714418,0.2396844366141812,0.002658864047037024,True
0020,P_20,0.4040763953323928,0.4081806438483269,0.004104248515934106,True
0020,R_20,0.4624890872937773,0.4666921624498492,0.004203075156071878,True
0020,F_20,0.43131402535878965,0.4354797771204757,0.004165751761686043,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.42855006698213,0.05028320044355539,True
0030,CD_Comp,28.288345625250475,27.986157662393605,0.3021879628568698,True
0030,chamferL2_old,26.88358944633808,26.707353864687867,0.1762355816502108,True
0030,chamfer-L1,53.76717889267616,53.414707729375735,0.3524711633004216,True
0030,chamfer-L2,2324.984719629893,2319.7455478129846,5.239171816908311,True
0030,P_5,0.11335397440343024,0.11464726828521289,0.0012932938817826478,True
0030,R_5,0.13338799271839993,0.13930826471643318,0.005920271998033244,True
0030,F_5,0.12255766044744903,0.12578038218359158,0.0032227217361425475,True
0030,P_10,0.21653937615621968,0.21933366542104438,0.0027942892648246953,True
0030,R_10,0.2512871156317758,0.25600828169122436,0.004721166059448556,True
0030,F_10,0.2326228044377577,0.2362561736560455,0.003633369218287802,True
0030,P_20,0.4288789575496855,0.4323055922749123,0.0034266347252267515,True
0030,R_20,0.4526779614530087,0.45782600588180694,0.005148044428798237,True
0030,F_20,0.4404572138877167,0.44469995906548077,0.0042427451777640734,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.42822383535582,0.1242108064405123,True
0040,CD_Comp,26.352273215747406,26.08713335441586,0.2651398613315443,True
0040,chamferL2_old,24.95235392877187,24.75767859488584,0.19467533388603186,True
0040,chamfer-L1,49.90470785754374,49.51535718977168,0.38935066777206373,True
0040,chamfer-L2,2073.5311704947126,2053.7303240466467,19.80084644806584,True
0040,P_5,0.13154029551734292,0.13352585542272635,0.0019855599053834327,True
0040,R_5,0.14466363027967347,0.15034227536016012,0.005678645080486655,True
0040,F_5,0.13779019702699274,0.14143596090410224,0.0036457638771094925,True
0040,P_10,0.2550107953682149,0.25793379841267755,0.0029230030444626354,True
0040,R_10,0.2812834224598931,0.2859672347129943,0.004683812253101216,True
0040,F_10,0.2675035713638136,0.27122807488416534,0.003724503520351752,True
0040,P_20,0.47673321465618956,0.48215059491764195,0.005417380261452387,True
0040,R_20,0.49730774152808166,0.5020247008893075,0.004716959361225848,True
0040,F_20,0.48680318170777176,0.49188698238694745,0.005083800679175687,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.456073824503036,0.28338532772619374,True
0050,CD_Comp,26.700826260374676,26.20478076735176,0.49604549302291545,True
0050,chamferL2_old,26.720142706301953,26.3304272959274,0.3897154103745528,True
0050,chamfer-L1,53.440285412603906,52.6608545918548,0.7794308207491056,True
0050,chamfer-L2,2280.1556313208107,2224.428058512791,55.727572808019886,True
0050,P_5,0.11424836557038673,0.11510939375826527,0.0008610281878785458,True
0050,R_5,0.13701728274089003,0.14335680341670967,0.006339520675819638,True
0050,F_5,0.12460119967254353,0.12768953861497817,0.0030883389424346402,True
0050,P_10,0.22192345400145283,0.22312821615617376,0.0012047621547209286,True
0050,R_10,0.26601819787206227,0.2723226639513789,0.006304466079316617,True
0050,F_10,0.24197842947956938,0.24528312559734644,0.0033046961177770617,True
0050,P_20,0.4191945788242944,0.4237156117871965,0.004521032962902127,True
0050,R_20,0.4789822949543239,0.48581422960925674,0.00683193465493287,True
0050,F_20,0.44709853317190057,0.452645013159245,0.0055464799873444215,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.04643741019014,0.2159147548337934,True
0060,CD_Comp,29.178067226868468,28.702968900036797,0.4750983268316702,True
0060,chamferL2_old,28.220209695946203,27.87470315511347,0.3455065408327336,True
0060,chamfer-L1,56.440419391892405,55.74940631022694,0.6910130816654672,True
0060,chamfer-L2,2529.5578434992453,2499.05155770239,30.506285796855536,True
0060,P_5,0.1111009192672546,0.11182180691385038,0.0007208876465957803,True
