frame,metric,baseline,score_denoise,delta_for_better,score_denoise_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.47014040396987,0.14761880906363345,True
0000,CD_Comp,26.488399366804423,26.6187936605095,-0.13039429370507705,False
0000,chamferL2_old,25.053079289918962,25.044467032239687,0.008612257679274649,True
0000,chamfer-L1,50.106158579837924,50.088934064479375,0.017224515358549297,True
0000,chamfer-L2,2098.367986300955,2094.0381943188836,4.329791982071583,True
0000,P_5,0.12523735388445165,0.12487150580286753,-0.0003658480815841164,False
0000,R_5,0.14140646620888223,0.1364720914137479,-0.004934374795134339,False
0000,F_5,0.1328316676827739,0.13041433374605624,-0.0024173339367176694,False
0000,P_10,0.2417838275264892,0.2426447635010866,0.0008609359745974099,True
0000,R_10,0.27432219993479495,0.2679768095384127,-0.006345390396382267,False
0000,F_10,0.25702730813659047,0.2546824223942218,-0.0023448857423686853,False
0000,P_20,0.47341338248422776,0.47754309153558766,0.004129709051359898,True
0000,R_20,0.5004960773590293,0.4962639105151241,-0.004232166843905261,False
0000,F_20,0.4865781690646267,0.4867235531185702,0.00014538405394348697,True
