frame,metric,baseline,geometry_filter_sor,delta_for_better,geometry_filter_sor_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.622749234923365,-0.004990021889859975,False
0000,CD_Comp,26.488399366804423,28.65988104845353,-2.1714816816491087,False
0000,chamferL2_old,25.053079289918962,26.141315141688448,-1.0882358517694861,False
0000,chamfer-L1,50.106158579837924,52.282630283376896,-2.1764717035389722,False
0000,chamfer-L2,2098.367986300955,2293.952977432001,-195.58499113104563,False
0000,P_5,0.12523735388445165,0.12497323051130234,-0.0002641233731493081,False
0000,R_5,0.14140646620888223,0.12898407316690066,-0.012422393041981561,False
0000,F_5,0.1328316676827739,0.12694697947021316,-0.005884688212560746,False
0000,P_10,0.2417838275264892,0.2414067391805375,-0.0003770883459516816,False
0000,R_10,0.27432219993479495,0.25046560874961665,-0.0238565911851783,False
0000,F_10,0.25702730813659047,0.24585275484402372,-0.011174553292566752,False
0000,P_20,0.47341338248422776,0.47287664415650105,-0.0005367383277267157,False
0000,R_20,0.5004960773590293,0.4663936737927281,-0.03410240356630123,False
0000,F_20,0.4865781690646267,0.469612785806883,-0.016965383257743716,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.928605780109574,0.013544778893354703,True
0010,CD_Comp,27.307251467895746,29.677897003430623,-2.3706455355348766,False
0010,chamferL2_old,25.62470101344934,26.803251391770097,-1.1785503783207574,False
0010,chamfer-L1,51.24940202689868,53.60650278354019,-2.3571007566415147,False
0010,chamfer-L2,2158.955502050578,2339.465686244586,-180.5101841940077,False
0010,P_5,0.13069106374841305,0.1308250699118487,0.00013400616343564598,True
0010,R_5,0.1471705319619715,0.1318891772706512,-0.015281354691320304,False
0010,F_5,0.13844211414215993,0.13135496854164144,-0.007087145600518485,False
0010,P_10,0.2517586898667946,0.25199826780091455,0.00023957793411993888,True
0010,R_10,0.27569705066386074,0.24936660249464385,-0.026330448169216897,False
0010,F_10,0.2631846539595633,0.25067552833929047,-0.012509125620272843,False
0010,P_20,0.47687453409990316,0.47706854664092835,0.00019401254102519028,True
0010,R_20,0.4680568329832218,0.4344377690868587,-0.0336190638963631,False
0010,F_20,0.47242454200700684,0.45475624584940383,-0.017668296157603014,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.50219268300921,-0.04261871445674714,False
0020,CD_Comp,27.123948322714178,29.545632918230947,-2.421684595516769,False
0020,chamferL2_old,27.29176114563332,28.523912800620078,-1.2321516549867582,False
0020,chamfer-L1,54.58352229126664,57.047825601240156,-2.4643033099735163,False
0020,chamfer-L2,2378.607453328108,2558.8781524574097,-180.27069912930165,False
0020,P_5,0.1152224977838179,0.11535445715813442,0.00013195937431650928,True
0020,R_5,0.13822788838150532,0.12426625387253462,-0.0139616345089707,False
0020,F_5,0.12568110708902866,0.11964463503078794,-0.006036472058240719,False
0020,P_10,0.21604412358190217,0.21592738064692088,-0.00011674293498128985,False
0020,R_10,0.26252066007836844,0.2373685037027584,-0.025152156375610052,False
0020,F_10,0.23702557256714418,0.22614085422878966,-0.010884718338354527,False
0020,P_20,0.4040763953323928,0.40237064363728364,-0.00170575169510917,False
0020,R_20,0.4624890872937773,0.42510144103658176,-0.03738764625719554,False
0020,F_20,0.43131402535878965,0.41342383292227214,-0.017890192436517516,False
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.401637926707043,0.07719534071864231,True
0030,CD_Comp,28.288345625250475,30.533756330944012,-2.245410705693537,False
0030,chamferL2_old,26.88358944633808,27.967697128825527,-1.0841076824874492,False
0030,chamfer-L1,53.76717889267616,55.935394257651055,-2.1682153649748983,False
0030,chamfer-L2,2324.984719629893,2478.9151196170683,-153.9303999871754,False
0030,P_5,0.11335397440343024,0.11313256730149736,-0.0002214071019328856,False
0030,R_5,0.13338799271839993,0.12074971715649671,-0.012638275561903223,False
0030,F_5,0.12255766044744903,0.11681710339457232,-0.00574055705287671,False
0030,P_10,0.21653937615621968,0.21614261402498777,-0.0003967621312319092,False
0030,R_10,0.2512871156317758,0.22734555239566148,-0.02394156323611432,False
0030,F_10,0.2326228044377577,0.22160258470186378,-0.011020219735893927,False
0030,P_20,0.4288789575496855,0.4283022715665273,-0.0005766859831582427,False
0030,R_20,0.4526779614530087,0.41631929665830747,-0.036358664794701234,False
0030,F_20,0.4404572138877167,0.4222257805480679,-0.018231433339648773,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.48891345200552,0.06352118979081212,True
0040,CD_Comp,26.352273215747406,29.831927069067874,-3.4796538533204675,False
0040,chamferL2_old,24.95235392877187,26.660420260536696,-1.708066331764826,False
0040,chamfer-L1,49.90470785754374,53.32084052107339,-3.416132663529652,False
0040,chamfer-L2,2073.5311704947126,2352.2607168252634,-278.7295463305509,False
0040,P_5,0.13154029551734292,0.13205158128136305,0.0005112857640201252,True
0040,R_5,0.14466363027967347,0.1302014211298129,-0.014462209149860572,False
0040,F_5,0.13779019702699274,0.13111997488833912,-0.00667022213865362,False
0040,P_10,0.2550107953682149,0.2556152020850352,0.0006044067168202716,True
0040,R_10,0.2812834224598931,0.252993414634658,-0.028290007825235053,False
0040,F_10,0.2675035713638136,0.25429755093457984,-0.013206020429233745,False
0040,P_20,0.47673321465618956,0.47682732329715644,9.410864096687233e-05,True
0040,R_20,0.49730774152808166,0.4503387088991594,-0.04696903262892227,False
0040,F_20,0.48680318170777176,0.46320463365727854,-0.023598548050493218,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.777924745648605,-0.0384655934193745,False
0050,CD_Comp,26.700826260374676,28.540801407637705,-1.8399751472630292,False
0050,chamferL2_old,26.720142706301953,27.659363076643153,-0.9392203703412001,False
0050,chamfer-L1,53.440285412603906,55.318726153286306,-1.8784407406824002,False
0050,chamfer-L2,2280.1556313208107,2451.0480753862394,-170.89244406542866,False
0050,P_5,0.11424836557038673,0.11405011264166194,-0.0001982529287247875,False
0050,R_5,0.13701728274089003,0.12783627771323608,-0.009181005027653955,False
0050,F_5,0.12460119967254353,0.12055032820568215,-0.0040508714668613804,False
0050,P_10,0.22192345400145283,0.22164783573234279,-0.00027561826911004506,False
0050,R_10,0.26601819787206227,0.24920601338920623,-0.01681218448285604,False
0050,F_10,0.24197842947956938,0.23462046077462925,-0.0073579687049401266,False
0050,P_20,0.4191945788242944,0.4181258491117646,-0.0010687297125298034,False
0050,R_20,0.4789822949543239,0.45113863515547126,-0.027843659798852616,False
0050,F_20,0.44709853317190057,0.43400536500813275,-0.013093168163767821,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.185080290002904,0.0772718750210295,True
0060,CD_Comp,29.178067226868468,31.11419680004028,-1.9361295731718116,False
0060,chamferL2_old,28.220209695946203,29.149638545021592,-0.9294288490753893,False
0060,chamfer-L1,56.440419391892405,58.299277090043184,-1.8588576981507785,False
0060,chamfer-L2,2529.5578434992453,2686.5800808330823,-157.02223733383698,False
