frame,input_points,output_points,has_color
0000,502941,490297,True
0010,564767,544972,True
0020,579826,557317,True
0030,568123,554111,True
0040,533099,514140,True
0050,590573,581490,True
0060,599608,591172,True
0070,504510,489559,True
0080,574138,551976,True
0090,584096,562731,True
