frame,metric,baseline,pmpnetplus_pcn,delta_for_better,pmpnetplus_pcn_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,45.10413605295126,-21.486376839917757,False
0000,CD_Comp,26.488399366804423,116.95801548531063,-90.4696161185062,False
0000,chamferL2_old,25.053079289918962,81.03107576913095,-55.97799647921199,False
0000,chamfer-L1,50.106158579837924,162.0621515382619,-111.95599295842398,False
0000,chamfer-L2,2098.367986300955,42489.51083139911,-40391.142845098155,False
0000,P_5,0.12523735388445165,0.06689453125,-0.058342822634451647,False
0000,R_5,0.14140646620888223,0.02114235506291493,-0.1202641111459673,False
0000,F_5,0.1328316676827739,0.03212989442692911,-0.1007017732558448,False
0000,P_10,0.2417838275264892,0.12646484375,-0.11531898377648919,False
0000,R_10,0.27432219993479495,0.09270992871885327,-0.1816122712159417,False
0000,F_10,0.25702730813659047,0.10698810376243992,-0.15003920437415055,False
0000,P_20,0.47341338248422776,0.239501953125,-0.23391142935922776,False
0000,R_20,0.5004960773590293,0.24286715554302102,-0.2576289218160083,False
0000,F_20,0.4865781690646267,0.2411728158259772,-0.2454053532386495,False
