frame,metric,baseline,adapointr_ps55,delta_for_better,adapointr_ps55_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,28.638897165141394,-5.021137952107889,False
0000,CD_Comp,26.488399366804423,47.903767271484995,-21.415367904680572,False
0000,chamferL2_old,25.053079289918962,38.27133221831319,-13.218252928394229,False
0000,chamfer-L1,50.106158579837924,76.54266443662638,-26.436505856788457,False
0000,chamfer-L2,2098.367986300955,6248.266718017228,-4149.898731716274,False
0000,P_5,0.12523735388445165,0.122802734375,-0.0024346195094516465,False
0000,R_5,0.14140646620888223,0.021362785002492488,-0.12004368120638974,False
0000,F_5,0.1328316676827739,0.036394394769279234,-0.09643727291349467,False
0000,P_10,0.2417838275264892,0.2342529296875,-0.007530897838989192,False
0000,R_10,0.27432219993479495,0.13649717026914893,-0.13782502966564603,False
0000,F_10,0.25702730813659047,0.1724874088144031,-0.08453989932218736,False
0000,P_20,0.47341338248422776,0.439208984375,-0.03420439810922776,False
0000,R_20,0.5004960773590293,0.3890724827318881,-0.11142359462714124,False
0000,F_20,0.4865781690646267,0.41262333343232954,-0.07395483563229716,False
