frame,metric,baseline,pathnet_chunked,delta_for_better,pathnet_chunked_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.628963070879486,-0.011203857845980991,False
0000,CD_Comp,26.488399366804423,26.50059098591206,-0.012191619107635887,False
0000,chamferL2_old,25.053079289918962,25.064777028395774,-0.011697738476811992,False
0000,chamfer-L1,50.106158579837924,50.12955405679155,-0.023395476953623984,False
0000,chamfer-L2,2098.367986300955,2107.650592347538,-9.282606046582714,False
0000,P_5,0.12523735388445165,0.12466671040937208,-0.0005706434750795686,False
0000,R_5,0.14140646620888223,0.14261861088659913,0.0012121446777169087,True
0000,F_5,0.1328316676827739,0.13303980163354048,0.00020813395076657581,True
0000,P_10,0.2417838275264892,0.2422033598374362,0.00041953231094701837,True
0000,R_10,0.27432219993479495,0.27845097149766085,0.004128771562865896,True
0000,F_10,0.25702730813659047,0.259065398241451,0.0020380901048605016,True
0000,P_20,0.47341338248422776,0.4732761894536337,-0.00013719303059406274,False
0000,R_20,0.5004960773590293,0.5059729473946809,0.00547687003565156,True
0000,F_20,0.4865781690646267,0.4890787022397376,0.0025005331751108972,True
