frame,metric,baseline,pucrn_pu1k_4x_selected10,delta_for_better,pucrn_pu1k_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.574327040615024,0.04343217241848052,True
0000,CD_Comp,26.488399366804423,25.39492510689228,1.093474259912142,True
0000,chamferL2_old,25.053079289918962,24.484626073753653,0.5684532161653095,True
0000,chamfer-L1,50.106158579837924,48.969252147507305,1.136906432330619,True
0000,chamfer-L2,2098.367986300955,2026.1079387423579,72.26004755859731,True
0000,P_5,0.12523735388445165,0.12543469313498004,0.0001973392505283944,True
0000,R_5,0.14140646620888223,0.16316787301827546,0.02176140680939323,True
0000,F_5,0.1328316676827739,0.14183458140608704,0.009002913723313133,True
0000,P_10,0.2417838275264892,0.2427764886935048,0.0009926611670156016,True
0000,R_10,0.27432219993479495,0.2968029739122706,0.022480773977475665,True
0000,F_10,0.25702730813659047,0.2670849757410308,0.010057667604440323,True
0000,P_20,0.47341338248422776,0.4744403419088919,0.0010269594246641311,True
0000,R_20,0.5004960773590293,0.5210110210569989,0.02051494369796958,True
0000,F_20,0.4865781690646267,0.4966363122595943,0.010058143194967617,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.9145552055562,0.0275953534467277,True
0010,CD_Comp,27.307251467895746,26.21492294164931,1.0923285262464368,True
0010,chamferL2_old,25.62470101344934,25.064739073602755,0.559961939846584,True
0010,chamfer-L1,51.24940202689868,50.12947814720551,1.119923879693168,True
0010,chamfer-L2,2158.955502050578,2079.4462532174234,79.50924883315474,True
0010,P_5,0.13069106374841305,0.13121163240770087,0.0005205686592878178,True
0010,R_5,0.1471705319619715,0.16721443415026951,0.02004390218829802,True
0010,F_5,0.13844211414215993,0.14704130319477202,0.008599189052612088,True
0010,P_10,0.2517586898667946,0.2517117678617908,-4.6922005003835476e-05,False
0010,R_10,0.27569705066386074,0.2951475670975121,0.019450516433651366,True
0010,F_10,0.2631846539595633,0.27170466386845193,0.008520009908888626,True
0010,P_20,0.47687453409990316,0.47745264861438436,0.0005781145144811983,True
0010,R_20,0.4680568329832218,0.486341889649472,0.018285056666250188,True
0010,F_20,0.47242454200700684,0.4818562756405549,0.009431733633548045,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.426539715814744,0.03303425273771765,True
0020,CD_Comp,27.123948322714178,26.190523433200347,0.9334248895138302,True
0020,chamferL2_old,27.29176114563332,26.808531574507548,0.48322957112577214,True
0020,chamfer-L1,54.58352229126664,53.617063149015095,0.9664591422515443,True
0020,chamfer-L2,2378.607453328108,2311.99560585228,66.6118474758282,True
0020,P_5,0.1152224977838179,0.11506296716601187,-0.0001595306178060335,False
0020,R_5,0.13822788838150532,0.15690265182386695,0.01867476344236163,True
0020,F_5,0.12568110708902866,0.13276446296501665,0.00708335587598799,True
0020,P_10,0.21604412358190217,0.21620192954438056,0.00015780596247838563,True
0020,R_10,0.26252066007836844,0.2804827569919009,0.017962096913532455,True
0020,F_10,0.23702557256714418,0.24418273769810264,0.007157165130958459,True
0020,P_20,0.4040763953323928,0.40477272492092453,0.0006963295885317189,True
0020,R_20,0.4624890872937773,0.4797923820091478,0.01730329471537051,True
0020,F_20,0.43131402535878965,0.43910135803603784,0.007787332677248182,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.44793723365727,0.0308960337684141,True
0030,CD_Comp,28.288345625250475,27.226866122282576,1.0614795029678987,True
0030,chamferL2_old,26.88358944633808,26.337401677969922,0.5461877683681564,True
0030,chamfer-L1,53.76717889267616,52.674803355939844,1.0923755367363128,True
0030,chamfer-L2,2324.984719629893,2250.6930672951084,74.29165233478443,True
0030,P_5,0.11335397440343024,0.11313439167222591,-0.00021958273120432914,False
0030,R_5,0.13338799271839993,0.15147659778357728,0.018088605065177343,True
0030,F_5,0.12255766044744903,0.12952759655271848,0.006969936105269442,True
0030,P_10,0.21653937615621968,0.21691869542335024,0.00037931926713055675,True
0030,R_10,0.2512871156317758,0.2689024334157544,0.017615317783978623,True
0030,F_10,0.2326228044377577,0.24012938750561258,0.007506583067854872,True
0030,P_20,0.4288789575496855,0.42982901589972594,0.0009500583500404169,True
0030,R_20,0.4526779614530087,0.47429113522887956,0.021613173775870853,True
0030,F_20,0.4404572138877167,0.45096681376012104,0.010509599872404352,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.503623904386473,0.04881073740985897,True
0040,CD_Comp,26.352273215747406,25.28313371825672,1.069139497490685,True
0040,chamferL2_old,24.95235392877187,24.393378811321597,0.5589751174502737,True
0040,chamfer-L1,49.90470785754374,48.786757622643194,1.1179502349005475,True
0040,chamfer-L2,2073.5311704947126,2003.1074466496768,70.42372384503574,True
0040,P_5,0.13154029551734292,0.13250915871160893,0.0009688631942660064,True
0040,R_5,0.14466363027967347,0.16526980277470665,0.020606172495033187,True
0040,F_5,0.13779019702699274,0.14708737257192908,0.009297175544936337,True
0040,P_10,0.2550107953682149,0.2565878945561706,0.0015770991879556773,True
0040,R_10,0.2812834224598931,0.3016025997402777,0.020319177280384626,True
0040,F_10,0.2675035713638136,0.27728016457021815,0.00977659320640456,True
0040,P_20,0.47673321465618956,0.4775914042232306,0.0008581895670410344,True
0040,R_20,0.49730774152808166,0.5186536399930349,0.021345898464953272,True
0040,F_20,0.48680318170777176,0.4972762909443223,0.010473109236550537,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.708007163804936,0.031451988424294086,True
0050,CD_Comp,26.700826260374676,25.757113617025688,0.943712643348988,True
0050,chamferL2_old,26.720142706301953,26.232560390415312,0.487582315886641,True
0050,chamfer-L1,53.440285412603906,52.465120780830624,0.975164631773282,True
0050,chamfer-L2,2280.1556313208107,2218.8781460512573,61.27748526955338,True
0050,P_5,0.11424836557038673,0.11467591644047391,0.0004275508700871816,True
0050,R_5,0.13701728274089003,0.15824304712698714,0.021225764386097107,True
0050,F_5,0.12460119967254353,0.1329820853224426,0.00838088564989907,True
0050,P_10,0.22192345400145283,0.22215500877960895,0.0002315547781561178,True
0050,R_10,0.26601819787206227,0.28500046808196505,0.018982270209902785,True
0050,F_10,0.24197842947956938,0.24968391105918383,0.007705481579614454,True
0050,P_20,0.4191945788242944,0.4199870295458817,0.00079245072158729,True
0050,R_20,0.4789822949543239,0.4986891642942953,0.0197068693399714,True
0050,F_20,0.44709853317190057,0.4559669275921528,0.008868394420252224,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.237588382104576,0.02476378291935788,True
0060,CD_Comp,29.178067226868468,28.219246650466005,0.9588205764024629,True
0060,chamferL2_old,28.220209695946203,27.72841751628529,0.49179217966091215,True
0060,chamfer-L1,56.440419391892405,55.45683503257058,0.9835843593218243,True
0060,chamfer-L2,2529.5578434992453,2462.719956203282,66.83788729596336,True
0060,P_5,0.1111009192672546,0.11101002655067978,-9.089271657482245e-05,False
