method,sequence,frame_count,dN_Acc,dN_Comp,dnormals,dCD_Acc,dCD_Comp,dchamferL2_old,dchamfer-L1,dchamfer-L2,dP_5,dR_5,dF_5,dP_10,dR_10,dF_10,dP_20,dR_20,dF_20
puflow_discrete_full,FitFluencer,201,nan,nan,nan,-0.7291607246014902,1.3518825486439852,0.3113609120212537,0.6227218240425074,-1710.796420075223,-0.007713228953589113,0.014380810792067183,0.005850647109431201,-0.012842080066750527,0.025014022084976495,0.010080838652361257,-0.014735932553374353,0.031306664284713626,0.012157164469226545
puflow_discrete_full,GoodVision,167,nan,nan,nan,-0.6321490617491214,1.0299343859533607,0.19889266210212142,0.39778532420424284,-961.52063166573,-0.0009181482699963384,0.008972154997492598,0.004910888893905285,-0.002675768379123533,0.01406510304792663,0.007356559255613571,-0.006751390523957346,0.017844825248592378,0.008347988558099373
puflow_discrete_full,Mannequin,188,nan,nan,nan,-3.358237874360835,1.2454090436578404,-1.0564144153514938,-2.1128288307029877,-1467.6601106539329,-0.022005688059435452,0.009187832034753846,-0.00208072594116096,-0.038224707410815906,0.015090171438304989,-0.003586598451731815,-0.04298914500224049,0.017320187335246096,-0.0036892813230334776
puflow_discrete_full,OrangeKettlebell,170,nan,nan,nan,-0.6054439588762541,1.0113009914989526,0.20292851631135278,0.40585703262270556,-2178.057634269945,-0.0004847092184868673,0.015098028550540155,0.00709334733101627,-0.006899464628111307,0.025027315334686884,0.008402319612194675,-0.012708820901310758,0.025962473708389666,0.006057098524181903
puflow_discrete_full,PinkNoir,201,nan,nan,nan,-0.6590118473919695,2.105975960878574,0.7234820567433076,1.4469641134866151,-2392.5571106683783,0.00019763311248938153,0.01413971233149583,0.00942972795945976,0.0007129810834147765,0.024960687357441114,0.016465594870799016,-0.001526995120326169,0.03501270603319301,0.021952529151550437
puflow_discrete_full,TicTacToe,165,nan,nan,nan,-1.1624337813854453,3.2444755164320327,1.0410208675232937,2.0820417350465874,-109.83468759448806,-0.011441237443152674,0.01047075752400467,0.003850564879879892,-0.027488724300930467,0.015658799779338206,0.0027622087687969032,-0.024495263613960705,0.018855704172297538,0.005883149507013741
puflow_discrete_full,TrumanShow,171,nan,nan,nan,-0.5188667839357848,1.0426175284408572,0.26187537225253266,0.5237507445050653,-1469.192581623074,-0.001196127297807159,0.013125550823913229,0.005283220729588423,-0.0023775388816680287,0.020653996661728236,0.00827275528808924,-0.006304674438216806,0.02306837096176706,0.008488070573866136
puflow_discrete_full,VictoryHeart,197,nan,nan,nan,-0.4450734246194443,0.6522209868075333,0.1035737810940418,0.2071475621880836,-1511.549350108865,0.0003638056927890432,0.01450306332454171,0.005910090973352905,-0.0008518527235417128,0.020928966582250796,0.007977501859191993,-0.009983206490019603,0.01458443888617067,0.001084661024963407
puflow_discrete_full,VirtualLife,196,nan,nan,nan,-0.5433886649012081,1.1006551492308851,0.2786332421648403,0.5572664843296806,-2569.378487781866,0.0053567549193867525,0.013545368370233207,0.009794323877284877,0.005965861821609464,0.020715650155358256,0.014037882584633399,-0.005806185326739266,0.0230495685077452,0.010179887327500636
pufm_pugan_4x_full,BlueSpeech,168,nan,nan,nan,-0.16025513730036245,1.0066065354304055,0.42317569906501973,0.8463513981300395,67.09424559318609,-0.00018865350636013134,0.02328994669035503,0.010101083427073998,-0.00025658878615536507,0.028538360161001586,0.012162182323461335,-0.002857016472808671,0.01770648956376164,0.006974914832699075
pufm_pugan_4x_full,BlueVolley,171,nan,nan,nan,-0.1743205476005727,1.4913687653532222,0.6585241088763247,1.3170482177526495,102.0192406141523,-0.0005198025868594358,0.019419078376267412,0.008802947625856677,-0.0015982512830535756,0.026407946532472526,0.011921817452429762,-0.004214862647256901,0.02876366690788612,0.012783054487234047
pufm_pugan_4x_full,BouncingBlue,157,nan,nan,nan,-0.43410026907880095,1.4153643111953969,0.4906320210582997,0.9812640421165995,63.95863973346695,-0.0013983211269351925,0.012957901410164369,0.0048986259824163325,-0.002368071248714021,0.01571505216471747,0.005924605692334772,-0.0034322848194544564,0.019197335923326952,0.00800815654338305
pufm_pugan_4x_full,FitFluencer,201,nan,nan,nan,-0.20764414787188912,1.3327471557497148,0.5625515039389164,1.1251030078778328,76.04456745488915,-0.00016795175546274743,0.018757162513303782,0.011522994110755302,-0.0018549685714639996,0.026417341570731223,0.01547217568914816,-0.0035196149393551535,0.027292647023145156,0.014712191100058614
pufm_pugan_4x_full,GoodVision,167,nan,nan,nan,-0.22998585777181546,2.8194587986181823,1.2947364704231852,2.5894729408463704,262.7456636615352,-0.003938465405092462,0.011908197476103999,0.005100257369798439,-0.005780951661777722,0.020064641164576458,0.00928424509413689,-0.006300954231118094,0.03315859320902198,0.01754131373444756
pufm_pugan_4x_full,Mannequin,188,nan,nan,nan,-0.44391368297115363,2.826384786576998,1.1912355518029223,2.3824711036058446,246.0147030383705,-0.0009081013562617923,0.012780294301448336,0.00830337865883482,-0.0044391661989672815,0.01994885984138134,0.012167619437214616,-0.0061583528465083415,0.029382370077733477,0.017773733674381176
pufm_pugan_4x_full,OrangeKettlebell,170,nan,nan,nan,-0.2463162787643558,0.9387573900317534,0.3462205556336997,0.6924411112673994,30.280974318411154,0.0005771419422869184,0.020774760961312727,0.010255207197805816,-0.0008513861734691375,0.026634659068989985,0.012395642825088149,-0.0040887872108712475,0.021403062828629693,0.008406913085427292
pufm_pugan_4x_full,PinkNoir,201,nan,nan,nan,-0.036794102627304426,2.6705113977900155,1.316858647581359,2.633717295162718,221.2393690189349,-0.00017452592535122102,0.015441311742733693,0.009983816437437176,0.00018013879935435684,0.02643250208930742,0.016958779646534305,0.0008606235749062385,0.041274789251561084,0.026562840460965464
