method,sequence_count,N_Acc,N_Comp,normals,CD_Acc,CD_Comp,chamferL2_old,chamfer-L1,chamfer-L2,P_5,R_5,F_5,P_10,R_10,F_10,P_20,R_20,F_20
apuldi_local_pu1k_4x_2048_full,12,nan,nan,nan,21.056499350936132,26.821548058647064,23.939023704791598,47.878047409583196,2590.416213968954,0.18305720945438383,0.0313188957276538,0.053134520593895035,0.34678068005034574,0.21274794930788277,0.2610195577411448,0.6098465267854384,0.55654251362433,0.5795189641483413
cg_baseline,12,nan,nan,nan,16.729608819102044,24.17065458920646,20.450131704154256,40.90026340830851,1831.7978667447198,0.20983278520878093,0.1896158405864723,0.19695444359058556,0.39673476706834737,0.35706158255181447,0.371730375469431,0.6827370137689823,0.6010049349517957,0.6348326491223031
crcir_aftercomp_4x_full,12,nan,nan,nan,17.092126741685572,23.771151165099464,20.43163895339252,40.86327790678504,1849.6493468869423,0.20838773574486813,0.20047957761613922,0.20223269894216508,0.392996925295303,0.3667534972863789,0.375625425223729,0.6753637923108172,0.6078803674512439,0.6355672591304683
neuralpoints_16x_2048_full,12,nan,nan,nan,21.36688438825327,23.55312282645156,22.460003607352416,44.92000721470483,2579.2576667132435,0.18387868819710165,0.0999906877708369,0.1282582571734075,0.3474883370569519,0.3378154005277267,0.34071723430653006,0.611110338508691,0.6173452836180885,0.6121173675912741
pucrn_pu1k_4x_full,12,nan,nan,nan,16.74501990379863,23.082543676010147,19.913781789904387,39.827563579808775,1750.478435851451,0.20971065248966014,0.21540907419281521,0.210022560594438,0.3964166906902012,0.3823552263260049,0.384934996961302,0.6823292859075157,0.6199752267692776,0.6453562350418331
puflow_discrete_full,12,nan,nan,nan,17.600110251552916,22.824843299681756,20.212476775617336,40.42495355123467,3386.5521980388417,0.20650467569928244,0.20240981078514308,0.20256803999968717,0.38927447994393766,0.3772190140866683,0.37980954169572595,0.6701848273018861,0.6234965443956927,0.6422740969810661
pufm_pugan_4x_full,12,nan,nan,nan,16.960420790703143,22.39347234370391,19.676946567203526,39.35389313440705,1682.5872314686721,0.2090227375260283,0.2064399676239529,0.2053637664424545,0.3947213645451037,0.3805814938683825,0.38347215950892477,0.6789055734383443,0.6268596826984296,0.6479164283714188
spu_pointnet_4x_full,12,nan,nan,nan,16.697743591071607,23.35043124538654,20.024087418229076,40.04817483645815,1775.5432619599987,0.21030345000525807,0.21148484717608018,0.2084380168463471,0.3975626740205646,0.3773753514289888,0.38292229909304293,0.6834439820747238,0.6159104804139529,0.6435754489999294
upsample_clean_ounet_full,12,nan,nan,nan,19.15044539259901,24.460110936348443,21.805278164473723,43.610556328947446,2125.79672136565,0.1861983167762992,0.17509605800634767,0.17895813213018208,0.3531377513061504,0.3923424682005075,0.3695845752605946,0.6231257783300944,0.6110715573980873,0.6136425216909959
