method,sequence_count,dN_Acc,dN_Comp,dnormals,dCD_Acc,dCD_Comp,dchamferL2_old,dchamfer-L1,dchamfer-L2,dP_5,dR_5,dF_5,dP_10,dR_10,dF_10,dP_20,dR_20,dF_20
apuldi_local_pu1k_4x_2048_full,12,nan,nan,nan,-4.326890531834086,-2.650893469440606,-3.488892000637346,-6.977784001274692,-758.6183472242336,-0.02677557575439712,-0.15829694485881848,-0.14381992299669047,-0.049954087018001574,-0.14431363324393168,-0.11071081772828621,-0.07289048698354386,-0.04446242132746572,-0.05531368497396184
crcir_aftercomp_4x_full,12,nan,nan,nan,-0.3625179225835285,0.39950342410699796,0.018492750761735177,0.036985501523470354,-17.85148014222263,-0.0014450494639128588,0.01086373702966695,0.005278255351579536,-0.0037378417730443932,0.009691914734564558,0.003895049754298006,-0.007373221458165158,0.006875432499448127,0.0007346100081652984
neuralpoints_16x_2048_full,12,nan,nan,nan,-4.6372755691512255,0.6175317627548985,-2.009871903198164,-4.019743806396328,-747.4597999685237,-0.02595409701167928,-0.08962515281563538,-0.06869618641717806,-0.04924643001139548,-0.019246182024087725,-0.031013141162901065,-0.07162667526029136,0.01634034866629286,-0.022715281531029013
pucrn_pu1k_4x_full,12,nan,nan,nan,-0.01541108469658766,1.0881109131963134,0.5363499142498621,1.0726998284997242,81.3194308932686,-0.00012213271912083165,0.025793233606342947,0.013068117003852438,-0.00031807637814617223,0.025293643774190522,0.013204621491870941,-0.0004077278614665521,0.01897029181748182,0.010523585919529963
puflow_discrete_full,12,nan,nan,nan,-0.8705014324508725,1.345811289524705,0.23765492853691775,0.4753098570738355,-1554.7543312941214,-0.0033281095094985086,0.012793970198670792,0.005613596409101612,-0.007460287124409608,0.02015743153485389,0.008079166226294912,-0.012552186467096271,0.022491609443896887,0.007441447858763023
pufm_pugan_4x_full,12,nan,nan,nan,-0.2308119716010991,1.777182245502547,0.7731851369507243,1.5463702739014487,149.2106352760478,-0.0008100476827526473,0.016824127037480638,0.008409322851868963,-0.0020134025232436265,0.02351991131656814,0.011741784039493816,-0.0038314403306379807,0.02585474774663382,0.013083779249115718
spu_pointnet_4x_full,12,nan,nan,nan,0.03186522803043464,0.8202233438199191,0.42604428592517785,0.8520885718503557,56.25460478472146,0.0004706647964771299,0.021869006589607914,0.01148357325576156,0.0008279069522172297,0.020313768877174416,0.011191923623611849,0.0007069683057415085,0.014905545462157194,0.008742799877626254
upsample_clean_ounet_full,12,nan,nan,nan,-2.4208365734969637,-0.28945634714197954,-1.355146460319471,-2.710292920638942,-293.9988546209296,-0.023634468432481754,-0.014519782580124575,-0.017996311460403473,-0.04359701576219694,0.03528088564869307,-0.0021458002088363868,-0.05961123543888788,0.01006662244629157,-0.021190127431307316
