frame,metric,baseline,pucrn_pu1k_4x,delta_for_better,pucrn_pu1k_4x_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.574327040615024,0.04343217241848052,True
0000,CD_Comp,26.488399366804423,25.39492510689228,1.093474259912142,True
0000,chamferL2_old,25.053079289918962,24.484626073753653,0.5684532161653095,True
0000,chamfer-L1,50.106158579837924,48.969252147507305,1.136906432330619,True
0000,chamfer-L2,2098.367986300955,2026.1079387423579,72.26004755859731,True
0000,P_5,0.12523735388445165,0.12543469313498004,0.0001973392505283944,True
0000,R_5,0.14140646620888223,0.16316787301827546,0.02176140680939323,True
0000,F_5,0.1328316676827739,0.14183458140608704,0.009002913723313133,True
0000,P_10,0.2417838275264892,0.2427764886935048,0.0009926611670156016,True
0000,R_10,0.27432219993479495,0.2968029739122706,0.022480773977475665,True
0000,F_10,0.25702730813659047,0.2670849757410308,0.010057667604440323,True
0000,P_20,0.47341338248422776,0.4744403419088919,0.0010269594246641311,True
0000,R_20,0.5004960773590293,0.5210110210569989,0.02051494369796958,True
0000,F_20,0.4865781690646267,0.4966363122595943,0.010058143194967617,True
