frame,metric,baseline,pufm_pugan_4x_selected10,delta_for_better,pufm_pugan_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,24.180044477587128,-0.5622852645536227,False
0000,CD_Comp,26.488399366804423,25.534790042991187,0.9536093238132359,True
0000,chamferL2_old,25.053079289918962,24.857417260289157,0.19566202962980483,True
0000,chamfer-L1,50.106158579837924,49.714834520578314,0.39132405925960967,True
0000,chamfer-L2,2098.367986300955,2082.6555656389082,15.712420662046952,True
0000,P_5,0.12523735388445165,0.12208887324755786,-0.003148480636893783,False
0000,R_5,0.14140646620888223,0.15275002848869979,0.01134356227981756,True
0000,F_5,0.1328316676827739,0.13570916452441548,0.002877496841641569,True
0000,P_10,0.2417838275264892,0.23664704209837734,-0.005136785428111856,False
0000,R_10,0.27432219993479495,0.28995336652835163,0.015631166593556678,True
0000,F_10,0.25702730813659047,0.26060217732963703,0.0035748691930465593,True
0000,P_20,0.47341338248422776,0.46661835086024006,-0.006795031623987702,False
0000,R_20,0.5004960773590293,0.5253426233626697,0.024846546003640335,True
0000,F_20,0.4865781690646267,0.49424224323364446,0.007664074169017765,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,24.49413277735236,-0.5519822183494298,False
0010,CD_Comp,27.307251467895746,26.013872247349447,1.2933792205462993,True
0010,chamferL2_old,25.62470101344934,25.2540025123509,0.37069850109843827,True
0010,chamfer-L1,51.24940202689868,50.5080050247018,0.7413970021968765,True
0010,chamfer-L2,2158.955502050578,2079.1957963405353,79.75970571004291,True
0010,P_5,0.13069106374841305,0.12602055360883338,-0.00467051013957967,False
0010,R_5,0.1471705319619715,0.15584733605315734,0.008676804091185847,True
0010,F_5,0.13844211414215993,0.13935583504337842,0.0009137209012184955,True
0010,P_10,0.2517586898667946,0.24340657297611226,-0.008352116890682354,False
0010,R_10,0.27569705066386074,0.2868368235141224,0.011139772850261631,True
0010,F_10,0.2631846539595633,0.2633430936700492,0.00015843971048590255,True
0010,P_20,0.47687453409990316,0.4671510552139201,-0.009723478885983072,False
0010,R_20,0.4680568329832218,0.4859398916945635,0.01788305871134166,True
0010,F_20,0.47242454200700684,0.476360275820458,0.003935733813451137,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.838711347276888,-0.3791373787244261,False
0020,CD_Comp,27.123948322714178,26.311762083431596,0.8121862392825818,True
0020,chamferL2_old,27.29176114563332,27.075236715354244,0.21652443027907609,True
0020,chamfer-L1,54.58352229126664,54.15047343070849,0.43304886055815217,True
0020,chamfer-L2,2378.607453328108,2367.182160277978,11.425293050130222,True
0020,P_5,0.1152224977838179,0.1142015018298593,-0.0010209959539586033,False
0020,R_5,0.13822788838150532,0.14688015725069828,0.008652268869192958,True
0020,F_5,0.12568110708902866,0.12849569445902742,0.002814587369998761,True
0020,P_10,0.21604412358190217,0.21552198418146135,-0.0005221394004408242,False
0020,R_10,0.26252066007836844,0.27455187984442325,0.012031219766054813,True
0020,F_10,0.23702557256714418,0.24148182650970726,0.0044562539425630765,True
0020,P_20,0.4040763953323928,0.40022653347728454,-0.003849861855108272,False
0020,R_20,0.4624890872937773,0.4785965938683332,0.016107506574555897,True
0020,F_20,0.43131402535878965,0.4359171936598989,0.0046031683011092395,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,26.322650750617804,-0.8438174831921188,False
0030,CD_Comp,28.288345625250475,27.129015257831146,1.1593303674193294,True
0030,chamferL2_old,26.88358944633808,26.725833004224476,0.15775644211360174,True
0030,chamfer-L1,53.76717889267616,53.45166600844895,0.31551288422720347,True
0030,chamfer-L2,2324.984719629893,2283.210647351224,41.77407227866888,True
0030,P_5,0.11335397440343024,0.10959334510308508,-0.003760629300345167,False
0030,R_5,0.13338799271839993,0.1403326055635505,0.006944612845150577,True
0030,F_5,0.12255766044744903,0.12307261114517333,0.0005149506977242951,True
0030,P_10,0.21653937615621968,0.20976311467763142,-0.006776261478588258,False
0030,R_10,0.2512871156317758,0.2623541777636925,0.011067062131916716,True
0030,F_10,0.2326228044377577,0.2331294801418048,0.0005066757040470826,True
0030,P_20,0.4288789575496855,0.41552753541046566,-0.01335142213921986,False
0030,R_20,0.4526779614530087,0.472357430568505,0.019679469115496284,True
0030,F_20,0.4404572138877167,0.44212375809413085,0.0016665442064141556,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.97600052499635,-0.42356588320001975,False
0040,CD_Comp,26.352273215747406,25.169528070358286,1.18274514538912,True
0040,chamferL2_old,24.95235392877187,24.572764297677317,0.3795896310945537,True
0040,chamfer-L1,49.90470785754374,49.145528595354634,0.7591792621891074,True
0040,chamfer-L2,2073.5311704947126,2018.3984142944269,55.13275620028571,True
0040,P_5,0.13154029551734292,0.12944031033635403,-0.002099985180988889,False
0040,R_5,0.14466363027967347,0.15342621516669008,0.008762584887016617,True
0040,F_5,0.13779019702699274,0.14041631026923948,0.002626113242246736,True
0040,P_10,0.2550107953682149,0.2514959697917272,-0.00351482557648769,False
0040,R_10,0.2812834224598931,0.293236521399815,0.011953098939921913,True
0040,F_10,0.2675035713638136,0.27076704444959343,0.0032634730857798444,True
0040,P_20,0.47673321465618956,0.4717716596729688,-0.004961554983220762,False
0040,R_20,0.49730774152808166,0.5190887482351263,0.021781006707044637,True
0040,F_20,0.48680318170777176,0.4943004247984116,0.007497243090639816,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,27.536876466682724,-0.7974173144534937,False
0050,CD_Comp,26.700826260374676,25.967587457523837,0.7332388028508383,True
0050,chamferL2_old,26.720142706301953,26.75223196210328,-0.03208925580132771,False
0050,chamfer-L1,53.440285412603906,53.50446392420656,-0.06417851160265542,False
0050,chamfer-L2,2280.1556313208107,2314.4851691549648,-34.32953783415405,False
0050,P_5,0.11424836557038673,0.11320065427982653,-0.0010477112905601937,False
0050,R_5,0.13701728274089003,0.14624530216855983,0.009228019427669792,True
0050,F_5,0.12460119967254353,0.12761859246108803,0.003017392788544501,True
0050,P_10,0.22192345400145283,0.21871343593425369,-0.003210018067199144,False
0050,R_10,0.26601819787206227,0.27713339181264846,0.011115193940586188,True
0050,F_10,0.24197842947956938,0.2444819365322109,0.002503507052641518,True
0050,P_20,0.4191945788242944,0.4098303681339987,-0.009364210690295693,False
0050,R_20,0.4789822949543239,0.49094003643203593,0.011957741477712058,True
0050,F_20,0.44709853317190057,0.44673345137175874,-0.000365081800141831,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,28.44198499189406,-1.179632826870126,False
0060,CD_Comp,29.178067226868468,28.52290739451356,0.6551598323549079,True
0060,chamferL2_old,28.220209695946203,28.48244619320381,-0.2622364972576072,False
0060,chamfer-L1,56.440419391892405,56.96489238640762,-0.5244729945152145,False
0060,chamfer-L2,2529.5578434992453,2617.8246440441594,-88.26680054491408,False
0060,P_5,0.1111009192672546,0.1046229369854972,-0.006477982281757402,False
