frame,metric,baseline,pointfilter_selected10,delta_for_better,pointfilter_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,22.97984061657177,0.6379185964617342,True
0000,CD_Comp,26.488399366804423,35.02035888859319,-8.531959521788764,False
0000,chamferL2_old,25.053079289918962,29.00009975258248,-3.9470204626635166,False
0000,chamfer-L1,50.106158579837924,58.00019950516496,-7.894040925327033,False
0000,chamfer-L2,2098.367986300955,2748.7797746662914,-650.4117883653362,False
0000,P_5,0.12523735388445165,0.12365117837352045,-0.0015861755109311954,False
0000,R_5,0.14140646620888223,0.09021920239560266,-0.051187263813279565,False
0000,F_5,0.1328316676827739,0.10432216605232676,-0.028509501630447145,False
0000,P_10,0.2417838275264892,0.2418026838244797,1.8856297990504922e-05,True
0000,R_10,0.27432219993479495,0.17968867900869004,-0.09463352092610491,False
0000,F_10,0.25702730813659047,0.20616889772127694,-0.050858410415313526,False
0000,P_20,0.47341338248422776,0.49435020946874275,0.02093682698451499,True
0000,R_20,0.5004960773590293,0.3621100732962548,-0.13838600406277457,False
0000,F_20,0.4865781690646267,0.41802099685657773,-0.06855717220804897,False
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.044069908217697,0.8980806507852321,True
0010,CD_Comp,27.307251467895746,34.9499030058238,-7.642651537928053,False
0010,chamferL2_old,25.62470101344934,28.996986457020746,-3.372285443571407,False
0010,chamfer-L1,51.24940202689868,57.99397291404149,-6.744570887142814,False
0010,chamfer-L2,2158.955502050578,2721.6702869487613,-562.7147848981831,False
0010,P_5,0.13069106374841305,0.14266945483712754,0.011978391088714485,True
0010,R_5,0.1471705319619715,0.11153353862251765,-0.035636993339453846,False
0010,F_5,0.13844211414215993,0.1251946637981382,-0.013247450344021722,False
0010,P_10,0.2517586898667946,0.27132782191594057,0.019569132049145954,True
0010,R_10,0.27569705066386074,0.20427304603712337,-0.07142400462673737,False
0010,F_10,0.2631846539595633,0.23307342097978306,-0.030111232979780245,False
0010,P_20,0.47687453409990316,0.4933361899686065,0.01646165586870335,True
0010,R_20,0.4680568329832218,0.3546804555029634,-0.11337637748025842,False
0010,F_20,0.47242454200700684,0.4126728066212894,-0.05975173538571743,False
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,26.87769750896892,0.5818764595835404,True
0020,CD_Comp,27.123948322714178,34.69568825964176,-7.571739936927585,False
0020,chamferL2_old,27.29176114563332,30.786692884305342,-3.4949317386720224,False
0020,chamfer-L1,54.58352229126664,61.573385768610684,-6.989863477344045,False
0020,chamfer-L2,2378.607453328108,2941.6554022790324,-563.0479489509244,False
0020,P_5,0.1152224977838179,0.11824409391783053,0.003021596134012622,True
0020,R_5,0.13822788838150532,0.10383054115835658,-0.034397347223148744,False
0020,F_5,0.12568110708902866,0.11056956825398717,-0.015111538835041488,False
0020,P_10,0.21604412358190217,0.22321868974485448,0.007174566162952312,True
0020,R_10,0.26252066007836844,0.1981648008200637,-0.06435585925830473,False
0020,F_10,0.23702557256714418,0.20994693993968896,-0.027078632627455218,False
0020,P_20,0.4040763953323928,0.40536643751746215,0.00129004218506934,True
0020,R_20,0.4624890872937773,0.356924529028938,-0.10556455826483929,False
0020,F_20,0.43131402535878965,0.37960629508850857,-0.05170773027028108,False
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,24.99312550044185,0.4857077669838361,True
0030,CD_Comp,28.288345625250475,36.107794139020164,-7.819448513769689,False
0030,chamferL2_old,26.88358944633808,30.550459819731007,-3.6668703733929284,False
0030,chamfer-L1,53.76717889267616,61.10091963946201,-7.333740746785857,False
0030,chamfer-L2,2324.984719629893,2872.7272837075543,-547.7425640776614,False
0030,P_5,0.11335397440343024,0.10865604807409664,-0.004697926329333607,False
0030,R_5,0.13338799271839993,0.09029000134627654,-0.04309799137212339,False
0030,F_5,0.12255766044744903,0.0986252781140837,-0.023932382333365337,False
0030,P_10,0.21653937615621968,0.2158441041816649,-0.0006952719745547953,False
0030,R_10,0.2512871156317758,0.17462251994537964,-0.07666459568639616,False
0030,F_10,0.2326228044377577,0.1930574295399544,-0.03956537489780332,False
0030,P_20,0.4288789575496855,0.4358228763841633,0.006943918834477758,True
0030,R_20,0.4526779614530087,0.32393587709916705,-0.12874208435384166,False
0030,F_20,0.4404572138877167,0.37164077432240694,-0.06881643956530975,False
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,22.784975699962523,0.7674589418338087,True
0040,CD_Comp,26.352273215747406,34.36277224952972,-8.010499033782313,False
0040,chamferL2_old,24.95235392877187,28.57387397474612,-3.6215200459742505,False
0040,chamfer-L1,49.90470785754374,57.14774794949224,-7.243040091948501,False
0040,chamfer-L2,2073.5311704947126,2637.288271177038,-563.7571006823255,False
0040,P_5,0.13154029551734292,0.13167723068323145,0.00013693516588852983,True
0040,R_5,0.14466363027967347,0.09889628521617999,-0.045767345063493475,False
0040,F_5,0.13779019702699274,0.11295650249620734,-0.024833694530785405,False
0040,P_10,0.2550107953682149,0.2582597228657341,0.003248927497519205,True
0040,R_10,0.2812834224598931,0.19337015879143127,-0.0879132636684618,False
0040,F_10,0.2675035713638136,0.22115331889348963,-0.046350252470323955,False
0040,P_20,0.47673321465618956,0.4920737048840834,0.015340490227893855,True
0040,R_20,0.49730774152808166,0.3681473074268403,-0.12916043410124134,False
0040,F_20,0.48680318170777176,0.421183874646268,-0.06561930706150376,False
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,25.87482136144452,0.8646377907847089,True
0050,CD_Comp,26.700826260374676,34.306027681531006,-7.60520142115633,False
0050,chamferL2_old,26.720142706301953,30.090424521487762,-3.370281815185809,False
0050,chamfer-L1,53.440285412603906,60.180849042975524,-6.740563630371618,False
0050,chamfer-L2,2280.1556313208107,2827.8535791602026,-547.6979478393919,False
0050,P_5,0.11424836557038673,0.11913873329585555,0.004890367725468817,True
0050,R_5,0.13701728274089003,0.10587271717250449,-0.031144565568385546,False
0050,F_5,0.12460119967254353,0.11211466250510847,-0.012486537167435058,False
0050,P_10,0.22192345400145283,0.23066450830720048,0.008741054305747648,True
0050,R_10,0.26601819787206227,0.19951839108475006,-0.06649980678731221,False
0050,F_10,0.24197842947956938,0.21396392856553773,-0.028014500914031654,False
0050,P_20,0.4191945788242944,0.429652946634788,0.010458367810493585,True
0050,R_20,0.4789822949543239,0.3566615486955772,-0.12232074625874667,False
0050,F_20,0.44709853317190057,0.3897694529566024,-0.057329080215298145,False
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.499029337887137,0.7633228271367969,True
0060,CD_Comp,29.178067226868468,38.16047945016713,-8.982412223298663,False
0060,chamferL2_old,28.220209695946203,32.329754394027134,-4.109544698080931,False
0060,chamfer-L1,56.440419391892405,64.65950878805427,-8.219089396161863,False
0060,chamfer-L2,2529.5578434992453,3333.060381526233,-803.5025380269876,False
0060,P_5,0.1111009192672546,0.12363326462131674,0.012532345354062141,True
