frame,metric,baseline,puflow_discrete_selected10,delta_for_better,puflow_discrete_selected10_improved
0060,F_5,0.12052921544569437,0.1263128591101231,0.005783643664428739,True
0060,P_10,0.21556250083387812,0.22080759429493935,0.005245093461061223,True
0060,R_10,0.24738865173013558,0.2680500048486299,0.02066135311849432,True
0060,F_10,0.23038161218313652,0.24214608436102242,0.011764472177885898,True
0060,P_20,0.41687402436258353,0.42590659230697386,0.009032567944390335,True
0060,R_20,0.4326343741037772,0.47228956430418034,0.039655190200403145,True
0060,F_20,0.4246080037250411,0.4479004668064305,0.02329246308138938,True
0070,N_Acc,nan,nan,nan,False
0070,N_Comp,nan,nan,nan,False
0070,normals,nan,nan,nan,False
0070,CD_Acc,23.397878436684735,23.340427401363634,0.057451035321101074,True
0070,CD_Comp,27.06073662518216,24.90237283454068,2.158363790641477,True
0070,chamferL2_old,25.229307530933447,24.121400117952156,1.107907412981291,True
0070,chamfer-L1,50.458615061866894,48.24280023590431,2.215814825962582,True
0070,chamfer-L2,2160.3062330937587,1998.9566433252164,161.34958976854227,True
0070,P_5,0.12388456125745773,0.1306198093199342,0.006735248062476468,True
0070,R_5,0.14683563383478315,0.15717619583051076,0.01034056199572761,True
0070,F_5,0.13438722640093273,0.1426727568249723,0.008285530424039567,True
0070,P_10,0.2449921706209986,0.2553150581752592,0.010322887554260585,True
0070,R_10,0.2857228864521919,0.30462990715410615,0.018907020701914246,True
0070,F_10,0.2637945512006304,0.27780088145350296,0.014006330252872567,True
0070,P_20,0.4868030366097798,0.4940734574141246,0.007270420804344813,True
0070,R_20,0.5030254178411727,0.5346430916521857,0.03161767381101299,True
0070,F_20,0.4947812922448575,0.5135582994458952,0.018777007201037643,True
0080,N_Acc,nan,nan,nan,False
0080,N_Comp,nan,nan,nan,False
0080,normals,nan,nan,nan,False
0080,CD_Acc,26.093910514541996,25.597600563780777,0.4963099507612192,True
0080,CD_Comp,27.253817528725445,25.150558447069233,2.103259081656212,True
0080,chamferL2_old,26.67386402163372,25.374079505425005,1.2997845162087138,True
0080,chamfer-L1,53.34772804326744,50.74815901085001,2.5995690324174276,True
0080,chamfer-L2,2288.588814506137,2133.8246225501794,154.7641919559578,True
0080,P_5,0.11336124764429457,0.1192239496427688,0.005862701998474232,True
0080,R_5,0.1346827567376795,0.14807884041450478,0.013396083676825293,True
0080,F_5,0.1231056189243324,0.13209397634013298,0.008988357415800577,True
0080,P_10,0.22319721042676152,0.23237967178622562,0.0091824613594641,True
0080,R_10,0.26665738699563923,0.29286641762555454,0.02620903062991531,True
0080,F_10,0.24299939300475526,0.2591402520721278,0.01614085906737256,True
0080,P_20,0.43708307062065216,0.4473506369548784,0.010267566334226264,True
0080,R_20,0.4754133331576236,0.5194154466164274,0.04400211345880378,True
0080,F_20,0.45544315267465896,0.48069710933528664,0.025253956660627686,True
0090,N_Acc,nan,nan,nan,False
0090,N_Comp,nan,nan,nan,False
0090,normals,nan,nan,nan,False
0090,CD_Acc,27.632174683237725,27.27321557203301,0.35895911120471524,True
0090,CD_Comp,30.310992933854813,28.287924374143476,2.023068559711337,True
0090,chamferL2_old,28.97158380854627,27.78056997308824,1.1910138354580297,True
0090,chamfer-L1,57.94316761709254,55.56113994617648,2.3820276709160595,True
0090,chamfer-L2,2638.230044731804,4611.769492379174,-1973.5394476473703,False
0090,P_5,0.1083400673861831,0.10918410672218265,0.0008440393359995524,True
0090,R_5,0.12571098793544921,0.13407765998464333,0.008366672049194113,True
0090,F_5,0.11638090574207656,0.12035717519446132,0.003976269452384759,True
0090,P_10,0.2086814496247192,0.2112255519640607,0.002544102339341492,True
0090,R_10,0.2373583379194664,0.25637747115679305,0.019019133237326652,True
0090,F_10,0.2220980433618444,0.23162156863236316,0.009523525270518751,True
0090,P_20,0.4077138004711554,0.41499342573823483,0.007279625267079426,True
0090,R_20,0.4170908153210897,0.45679409525755393,0.03970327993646422,True
0090,F_20,0.41234900532857366,0.4348916264169503,0.022542621088376624,True
