frame,metric,baseline,mag,delta_for_better,mag_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.467204658397083,0.15055455463642176,True
0000,CD_Comp,26.488399366804423,26.617270276099564,-0.12887090929514144,False
0000,chamferL2_old,25.053079289918962,25.042237467248324,0.010841822670638379,True
0000,chamfer-L1,50.106158579837924,50.08447493449665,0.021683645341276758,True
0000,chamfer-L2,2098.367986300955,2093.9045548112254,4.463431489729828,True
0000,P_5,0.12523735388445165,0.12485361105974657,-0.0003837428247050745,False
0000,R_5,0.14140646620888223,0.13646945153423198,-0.004937014674650242,False
0000,F_5,0.1328316676827739,0.1304033685680871,-0.0024282991146868105,False
0000,P_10,0.2417838275264892,0.24267061146337243,0.0008867839368832398,True
0000,R_10,0.27432219993479495,0.2680507261648578,-0.0062714737699371415,False
0000,F_10,0.25702730813659047,0.25473004094055496,-0.002297267196035513,False
0000,P_20,0.47341338248422776,0.47775186353866556,0.004338481054437793,True
0000,R_20,0.5004960773590293,0.4963514665190681,-0.00414461083996126,False
0000,F_20,0.4865781690646267,0.48687409391276765,0.0002959248481409493,True
