frame,metric,baseline,pointcleannet_selected10,delta_for_better,pointcleannet_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.557288946724483,0.060470266309021525,True
0000,CD_Comp,26.488399366804423,26.12977230152852,0.35862706527590404,True
0000,chamferL2_old,25.053079289918962,24.8435306241265,0.209548665792461,True
0000,chamfer-L1,50.106158579837924,49.687061248253,0.419097331584922,True
0000,chamfer-L2,2098.367986300955,2046.289109134759,52.07887716619621,True
0000,P_5,0.12523735388445165,0.1252512720179902,1.3918133538542987e-05,True
0000,R_5,0.14140646620888223,0.15438543384879913,0.012978967639916905,True
0000,F_5,0.1328316676827739,0.13830067058380335,0.005469002901029446,True
0000,P_10,0.2417838275264892,0.24369260012605853,0.0019087725995693416,True
0000,R_10,0.27432219993479495,0.28301312328105344,0.008690923346258483,True
0000,F_10,0.25702730813659047,0.2618851507290281,0.004857842592437656,True
0000,P_20,0.47341338248422776,0.4767756058861775,0.0033622234019497488,True
0000,R_20,0.5004960773590293,0.5004089613350047,-8.711602402466934e-05,False
0000,F_20,0.4865781690646267,0.4883064954859593,0.0017283264213325822,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.824850393016376,0.11730016598655268,True
0010,CD_Comp,27.307251467895746,26.76361561173242,0.543635856163327,True
0010,chamferL2_old,25.62470101344934,25.294233002374398,0.3304680110749416,True
0010,chamfer-L1,51.24940202689868,50.588466004748796,0.6609360221498832,True
0010,chamfer-L2,2158.955502050578,2114.6219217693224,44.33358028125576,True
0010,P_5,0.13069106374841305,0.13242275132930925,0.0017316875808962018,True
0010,R_5,0.1471705319619715,0.17066818996868846,0.023497658006716965,True
0010,F_5,0.13844211414215993,0.1491324761027838,0.010690361960623868,True
0010,P_10,0.2517586898667946,0.25636235828226506,0.004603668415470441,True
0010,R_10,0.27569705066386074,0.29801629470712443,0.022319244043263686,True
0010,F_10,0.2631846539595633,0.2756244660781453,0.012439812118581972,True
0010,P_20,0.47687453409990316,0.4822395784456245,0.005365044345721326,True
0010,R_20,0.4680568329832218,0.4807481842186969,0.012691351235475101,True
0010,F_20,0.47242454200700684,0.48149272645936464,0.009068184452357797,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.417234177900948,0.042339790651514164,True
0020,CD_Comp,27.123948322714178,26.7007005272832,0.4232477954309779,True
0020,chamferL2_old,27.29176114563332,27.058967352592074,0.23279379304124603,True
0020,chamfer-L1,54.58352229126664,54.11793470518415,0.46558758608249207,True
0020,chamfer-L2,2378.607453328108,2346.86394360342,31.74350972468801,True
0020,P_5,0.1152224977838179,0.11439983719253707,-0.0008226605912808327,False
0020,R_5,0.13822788838150532,0.16313309751805594,0.024905209136550616,True
0020,F_5,0.12568110708902866,0.13448782081478533,0.00880671372575667,True
0020,P_10,0.21604412358190217,0.2173617602522136,0.0013176366703114284,True
0020,R_10,0.26252066007836844,0.28688225381618426,0.024361593737815823,True
0020,F_10,0.23702557256714418,0.24732958621160633,0.010304013644462151,True
0020,P_20,0.4040763953323928,0.4062960267390562,0.0022196314066633693,True
0020,R_20,0.4624890872937773,0.4720015280896269,0.00951244079584962,True
0020,F_20,0.43131402535878965,0.4366910608443734,0.00537703548558377,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.40198605349349,0.07684721393219363,True
0030,CD_Comp,28.288345625250475,28.056568141666062,0.23177748358441264,True
0030,chamferL2_old,26.88358944633808,26.729277097579775,0.15431234875830313,True
0030,chamfer-L1,53.76717889267616,53.45855419515955,0.30862469751660626,True
0030,chamfer-L2,2324.984719629893,2300.4741762987564,24.510543331136432,True
0030,P_5,0.11335397440343024,0.11325716438165678,-9.681002177346076e-05,False
0030,R_5,0.13338799271839993,0.15176843040042948,0.018380437682029543,True
0030,F_5,0.12255766044744903,0.12971473252567012,0.007157072078221083,True
0030,P_10,0.21653937615621968,0.21775566206613708,0.0012162859099174028,True
0030,R_10,0.2512871156317758,0.26725679848748757,0.015969682855711764,True
0030,F_10,0.2326228044377577,0.2399801482621274,0.0073573438243697,True
0030,P_20,0.4288789575496855,0.43175509528746414,0.002876137737778617,True
0030,R_20,0.4526779614530087,0.45477137966587255,0.002093418212863851,True
0030,F_20,0.4404572138877167,0.4429644594020397,0.00250724551432302,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.49450054483609,0.05793409696024199,True
0040,CD_Comp,26.352273215747406,26.184430423832975,0.1678427919144312,True
0040,chamferL2_old,24.95235392877187,24.839465484334532,0.11288844443733836,True
0040,chamfer-L1,49.90470785754374,49.678930968669064,0.22577688887467673,True
0040,chamfer-L2,2073.5311704947126,2058.12517133681,15.405999157902443,True
0040,P_5,0.13154029551734292,0.13106758782139902,-0.0004727076959439025,False
0040,R_5,0.14466363027967347,0.16632085981080974,0.021657229531136274,True
0040,F_5,0.13779019702699274,0.14660471227681224,0.008814515249819493,True
0040,P_10,0.2550107953682149,0.2558849294408731,0.0008741340726581837,True
0040,R_10,0.2812834224598931,0.2997698583695399,0.018486435909646826,True
0040,F_10,0.2675035713638136,0.2760944051599253,0.008590833796111697,True
0040,P_20,0.47673321465618956,0.4788247586283223,0.0020915439721327367,True
0040,R_20,0.49730774152808166,0.4981393563167269,0.0008316147886452407,True
0040,F_20,0.48680318170777176,0.4882911325049858,0.0014879507972140327,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.659449656550475,0.08000949567875537,True
0050,CD_Comp,26.700826260374676,26.00542978116286,0.6953964792118157,True
0050,chamferL2_old,26.720142706301953,26.33243971885667,0.38770298744528375,True
0050,chamfer-L1,53.440285412603906,52.66487943771334,0.7754059748905675,True
0050,chamfer-L2,2280.1556313208107,2225.407069113328,54.74856220748279,True
0050,P_5,0.11424836557038673,0.1162464250820813,0.001998059511694572,True
0050,R_5,0.13701728274089003,0.16494383635029686,0.027926553609406823,True
0050,F_5,0.12460119967254353,0.13637834551860495,0.011777145846061418,True
0050,P_10,0.22192345400145283,0.2259889971265195,0.004065543125066656,True
0050,R_10,0.26601819787206227,0.2979690191600176,0.031950821287955344,True
0050,F_10,0.24197842947956938,0.25703479180255556,0.015056362322986183,True
0050,P_20,0.4191945788242944,0.42216965557179215,0.0029750767474977513,True
0050,R_20,0.4789822949543239,0.4892339085998823,0.010251613645558433,True
0050,F_20,0.44709853317190057,0.45323437126420885,0.006135838092308277,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,27.15481416427994,0.10753800074399322,True
0060,CD_Comp,29.178067226868468,28.199850269203296,0.9782169576651718,True
0060,chamferL2_old,28.220209695946203,27.67733221674162,0.5428774792045843,True
0060,chamfer-L1,56.440419391892405,55.35466443348324,1.0857549584091686,True
0060,chamfer-L2,2529.5578434992453,2456.1706863492764,73.38715714996897,True
0060,P_5,0.1111009192672546,0.11373597416979093,0.002635054902536335,True
0060,R_5,0.1317061193835844,0.1586830708539572,0.026976951470372795,True
