frame,metric,baseline,snowflakenet_pu_4x_selected10,delta_for_better,snowflakenet_pu_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.32046675169054,0.29729246134296616,True
0000,CD_Comp,26.488399366804423,25.98296179073314,0.5054375760712837,True
0000,chamferL2_old,25.053079289918962,24.651714271211837,0.40136501870712493,True
0000,chamfer-L1,50.106158579837924,49.303428542423674,0.8027300374142499,True
0000,chamfer-L2,2098.367986300955,2041.3838823728706,56.98410392808455,True
0000,P_5,0.12523735388445165,0.12572597978689348,0.000488625902441836,True
0000,R_5,0.14140646620888223,0.15096414999619417,0.009557683787311949,True
0000,F_5,0.1328316676827739,0.13719402051563317,0.0043623528328592676,True
0000,P_10,0.2417838275264892,0.24340628423612312,0.0016224567096339293,True
0000,R_10,0.27432219993479495,0.28320275462627886,0.00888055469148391,True
0000,F_10,0.25702730813659047,0.2618007861692959,0.004773478032705447,True
0000,P_20,0.47341338248422776,0.481323356019891,0.00790997353566325,True
0000,R_20,0.5004960773590293,0.5075955933371201,0.007099515978090776,True
0000,F_20,0.4865781690646267,0.49411049236094473,0.007532323296318033,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.629126044228183,0.3130245147747459,True
0010,CD_Comp,27.307251467895746,26.76870066758219,0.5385508003135548,True
0010,chamferL2_old,25.62470101344934,25.198913355905187,0.42578765754415215,True
0010,chamfer-L1,51.24940202689868,50.397826711810374,0.8515753150883043,True
0010,chamfer-L2,2158.955502050578,2100.7620641102976,58.193437940280546,True
0010,P_5,0.13069106374841305,0.1332531822857922,0.0025621185373791433,True
0010,R_5,0.1471705319619715,0.15561039962859066,0.008439867666619166,True
0010,F_5,0.13844211414215993,0.14356659852967857,0.005124484387518641,True
0010,P_10,0.2517586898667946,0.2565615554733191,0.004802865606524487,True
0010,R_10,0.27569705066386074,0.2832213491836976,0.007524298519836881,True
0010,F_10,0.2631846539595633,0.2692330907959849,0.006048436836421589,True
0010,P_20,0.47687453409990316,0.4853815821391831,0.00850704803927993,True
0010,R_20,0.4680568329832218,0.47595889257503093,0.007902059591809119,True
0010,F_20,0.47242454200700684,0.48062405856771984,0.008199516560712994,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.14757798101551,0.3119959875369531,True
0020,CD_Comp,27.123948322714178,26.78953701901983,0.334411303694349,True
0020,chamferL2_old,27.29176114563332,26.968557500017667,0.32320364561565285,True
0020,chamfer-L1,54.58352229126664,53.937115000035334,0.6464072912313057,True
0020,chamfer-L2,2378.607453328108,2337.5810526798787,41.026400648229355,True
0020,P_5,0.1152224977838179,0.11640776715773353,0.0011852693739156234,True
0020,R_5,0.13822788838150532,0.14613475778246351,0.007906869400958194,True
0020,F_5,0.12568110708902866,0.12958830849568223,0.003907201406653571,True
0020,P_10,0.21604412358190217,0.21740228965241296,0.0013581660705107856,True
0020,R_10,0.26252066007836844,0.26869144066781825,0.006170780589449809,True
0020,F_10,0.23702557256714418,0.24034103205859828,0.0033154594914540925,True
0020,P_20,0.4040763953323928,0.4083177539468737,0.0042413586144808835,True
0020,R_20,0.4624890872937773,0.46830436330082276,0.005815276007045456,True
0020,F_20,0.43131402535878965,0.436258638755022,0.004944613396232367,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.18408496350765,0.2947483039180341,True
0030,CD_Comp,28.288345625250475,27.927907554991197,0.36043807025927777,True
0030,chamferL2_old,26.88358944633808,26.555996259249426,0.32759318708865237,True
0030,chamfer-L1,53.76717889267616,53.11199251849885,0.6551863741773047,True
0030,chamfer-L2,2324.984719629893,2288.7810658115764,36.203653818316525,True
0030,P_5,0.11335397440343024,0.11616366526262799,0.0028096908591977443,True
0030,R_5,0.13338799271839993,0.14182187172576766,0.008433879007367723,True
0030,F_5,0.12255766044744903,0.1277168373575335,0.0051591769100844675,True
0030,P_10,0.21653937615621968,0.22212091395701283,0.0055815378007931515,True
0030,R_10,0.2512871156317758,0.2579252624194011,0.00663814678762531,True
0030,F_10,0.2326228044377577,0.2386878506299237,0.006065046192165996,True
0030,P_20,0.4288789575496855,0.4371773365978846,0.008298379048199078,True
0030,R_20,0.4526779614530087,0.4593846763626451,0.006706714909636369,True
0030,F_20,0.4404572138877167,0.44800597478569254,0.007548760897975848,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.431945068741996,0.12048957305433561,True
0040,CD_Comp,26.352273215747406,25.965882334808477,0.38639088093892937,True
0040,chamferL2_old,24.95235392877187,24.698913701775236,0.25344022699663427,True
0040,chamfer-L1,49.90470785754374,49.39782740355047,0.5068804539932685,True
0040,chamfer-L2,2073.5311704947126,2042.391220796019,31.1399496986935,True
0040,P_5,0.13154029551734292,0.1332679295965665,0.0017276340792235778,True
0040,R_5,0.14466363027967347,0.15291054686434652,0.008246916584673053,True
0040,F_5,0.13779019702699274,0.1424151267146291,0.004624929687636364,True
0040,P_10,0.2550107953682149,0.2579563083029606,0.0029455129347457087,True
0040,R_10,0.2812834224598931,0.28814277592345117,0.006859353463558093,True
0040,F_10,0.2675035713638136,0.27221524037774913,0.004711669013935549,True
0040,P_20,0.47673321465618956,0.4816375570016076,0.0049043423454180335,True
0040,R_20,0.49730774152808166,0.503662335864122,0.006354594336040353,True
0040,F_20,0.48680318170777176,0.49240378235254006,0.0056006006447683054,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.386385169153787,0.35307398307544346,True
0050,CD_Comp,26.700826260374676,26.22465920616371,0.47616705421096484,True
0050,chamferL2_old,26.720142706301953,26.30552218765875,0.41462051864320415,True
0050,chamfer-L1,53.440285412603906,52.6110443753175,0.8292410372864083,True
0050,chamfer-L2,2280.1556313208107,2221.0000434768804,59.155587843930334,True
0050,P_5,0.11424836557038673,0.11548953304671904,0.0012411674763323083,True
0050,R_5,0.13701728274089003,0.14599991999303857,0.00898263725214854,True
0050,F_5,0.12460119967254353,0.1289647623553727,0.004363562682829156,True
0050,P_10,0.22192345400145283,0.2238546293176288,0.0019311753161759815,True
0050,R_10,0.26601819787206227,0.2738254751238149,0.00780727725175262,True
0050,F_10,0.24197842947956938,0.24633132682834538,0.0043528973487760025,True
0050,P_20,0.4191945788242944,0.4242472988098,0.005052719985505605,True
0050,R_20,0.4789822949543239,0.486597802942854,0.0076155079885301125,True
0050,F_20,0.44709853317190057,0.45328849682138095,0.006189963649480379,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.943130623712015,0.3192215413119186,True
0060,CD_Comp,29.178067226868468,28.729020406252523,0.44904682061594414,True
0060,chamferL2_old,28.220209695946203,27.83607551498227,0.38413418096393315,True
0060,chamfer-L1,56.440419391892405,55.67215102996454,0.7682683619278663,True
0060,chamfer-L2,2529.5578434992453,2492.218952507512,37.33889099173348,True
0060,P_5,0.1111009192672546,0.11320104134701338,0.002100122079758779,True
