frame,metric,baseline,traditional_bpa,delta_for_better,traditional_bpa_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,22.720138173671117,0.897621039362388,True
0000,CD_Comp,26.488399366804423,27.45458358410992,-0.9661842173054964,False
0000,chamferL2_old,25.053079289918962,25.087360878890518,-0.034281588971555976,False
0000,chamfer-L1,50.106158579837924,50.174721757781036,-0.06856317794311195,False
0000,chamfer-L2,2098.367986300955,2128.2133552955447,-29.845368994589535,False
0000,P_5,0.12523735388445165,0.13123805774434774,0.006000703859896095,True
0000,R_5,0.14140646620888223,0.13327299742039772,-0.008133468788484505,False
0000,F_5,0.1328316676827739,0.1322476999710039,-0.0005839677117699948,False
0000,P_10,0.2417838275264892,0.25249681374157207,0.010712986215082876,True
0000,R_10,0.27432219993479495,0.26163097916211103,-0.01269122077268392,False
0000,F_10,0.25702730813659047,0.2569827561409292,-4.455199566127943e-05,False
0000,P_20,0.47341338248422776,0.49609596354244334,0.02268258105821558,True
0000,R_20,0.5004960773590293,0.4836061282163082,-0.016889949142721128,False
0000,F_20,0.4865781690646267,0.4897714318886605,0.0031932628240338157,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,22.877458998939357,1.0646915600635722,True
0010,CD_Comp,27.307251467895746,28.595256306851038,-1.2880048389552918,False
0010,chamferL2_old,25.62470101344934,25.736357652895197,-0.11165663944585802,False
0010,chamfer-L1,51.24940202689868,51.472715305790395,-0.22331327889171604,False
0010,chamfer-L2,2158.955502050578,2199.074967814827,-40.119465764248616,False
0010,P_5,0.13069106374841305,0.14024013442711772,0.009549070678704669,True
0010,R_5,0.1471705319619715,0.13883889451398154,-0.008331637447989954,False
0010,F_5,0.13844211414215993,0.13953599669764205,0.001093882555482123,True
0010,P_10,0.2517586898667946,0.2684062631138151,0.016647573247020486,True
0010,R_10,0.27569705066386074,0.26402490214358515,-0.011672148520275594,False
0010,F_10,0.2631846539595633,0.2661975555810702,0.0030129016215069138,True
0010,P_20,0.47687453409990316,0.5068284797093314,0.029953945609428267,True
0010,R_20,0.4680568329832218,0.4521286042438782,-0.01592822873934363,False
0010,F_20,0.47242454200700684,0.4779184740517705,0.005493932044763672,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,25.995071023990196,1.4645029445622662,True
0020,CD_Comp,27.123948322714178,28.119182562613048,-0.9952342398988705,False
0020,chamferL2_old,27.29176114563332,27.05712679330162,0.2346343523316996,True
0020,chamfer-L1,54.58352229126664,54.11425358660324,0.4692687046633992,True
0020,chamfer-L2,2378.607453328108,2335.4843181947954,43.123135133312644,True
0020,P_5,0.1152224977838179,0.12462014466408888,0.009397646880270977,True
0020,R_5,0.13822788838150532,0.1315702571110239,-0.006657631270481412,False
0020,F_5,0.12568110708902866,0.12800092713122058,0.002319820042191917,True
0020,P_10,0.21604412358190217,0.23077440473521366,0.014730281153311486,True
0020,R_10,0.26252066007836844,0.2505955116096278,-0.011925148468740654,False
0020,F_10,0.23702557256714418,0.2402768767111714,0.0032513041440272172,True
0020,P_20,0.4040763953323928,0.43408367337787546,0.030007278045482644,True
0020,R_20,0.4624890872937773,0.44527984798657205,-0.01720923930720525,False
0020,F_20,0.43131402535878965,0.43961048508184747,0.008296459723057814,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,24.207718000694054,1.2711152667316306,True
0030,CD_Comp,28.288345625250475,29.505374056500855,-1.2170284312503803,False
0030,chamferL2_old,26.88358944633808,26.856546028597457,0.027043417740621578,True
0030,chamfer-L1,53.76717889267616,53.71309205719491,0.054086835481243156,True
0030,chamfer-L2,2324.984719629893,2343.736311454034,-18.751591824141087,False
0030,P_5,0.11335397440343024,0.12465434421771342,0.011300369814283173,True
0030,R_5,0.13338799271839993,0.12743678144580067,-0.0059512112725992605,False
0030,F_5,0.12255766044744903,0.1260302073587949,0.003472546911345853,True
0030,P_10,0.21653937615621968,0.23854693437864688,0.022007558222427198,True
0030,R_10,0.2512871156317758,0.24266718287870717,-0.008619932753068632,False
0030,F_10,0.2326228044377577,0.2405894194457297,0.007966615007971994,True
0030,P_20,0.4288789575496855,0.46347181860266173,0.03459286105297621,True
0030,R_20,0.4526779614530087,0.43929797949813154,-0.013379981954877163,False
0030,F_20,0.4404572138877167,0.4510612426219909,0.010604028734274185,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,22.72933858264349,0.8230960591528422,True
0040,CD_Comp,26.352273215747406,28.163865498488367,-1.8115922827409605,False
0040,chamferL2_old,24.95235392877187,25.446602040565928,-0.49424811179405737,False
0040,chamfer-L1,49.90470785754374,50.893204081131856,-0.9884962235881147,False
0040,chamfer-L2,2073.5311704947126,2173.4627825417956,-99.93161204708304,False
0040,P_5,0.13154029551734292,0.13983706591083458,0.008296770393491665,True
0040,R_5,0.14466363027967347,0.13590817831465837,-0.008755451965015093,False
0040,F_5,0.13779019702699274,0.13784463222340726,5.443519641451511e-05,True
0040,P_10,0.2550107953682149,0.2711335042834445,0.0161227089152296,True
0040,R_10,0.2812834224598931,0.26660932356822326,-0.014674098891669818,False
0040,F_10,0.2675035713638136,0.26885238232737835,0.0013488109635647616,True
0040,P_20,0.47673321465618956,0.5051163104789167,0.028383095822727133,True
0040,R_20,0.49730774152808166,0.47094068555772106,-0.026367055970360598,False
0040,F_20,0.48680318170777176,0.4874301859609816,0.0006270042532098286,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,25.26639792591312,1.4730612263161085,True
0050,CD_Comp,26.700826260374676,27.650963556604946,-0.9501372962302703,False
0050,chamferL2_old,26.720142706301953,26.458680741259034,0.2614619650429191,True
0050,chamfer-L1,53.440285412603906,52.91736148251807,0.5229239300858382,True
0050,chamfer-L2,2280.1556313208107,2269.6045961828813,10.551035137929375,True
0050,P_5,0.11424836557038673,0.12135671627385607,0.007108350703469338,True
0050,R_5,0.13701728274089003,0.12956055145416775,-0.007456731286722279,False
0050,F_5,0.12460119967254353,0.12532452011354125,0.000723320440997724,True
0050,P_10,0.22192345400145283,0.23406759198270155,0.01214413798124872,True
0050,R_10,0.26601819787206227,0.2558606130265355,-0.010157584845526757,False
0050,F_10,0.24197842947956938,0.2444794031534064,0.0025009736738370314,True
0050,P_20,0.4191945788242944,0.4471674119880184,0.02797283316372401,True
0050,R_20,0.4789822949543239,0.4636650859105679,-0.015317209043755997,False
0050,F_20,0.44709853317190057,0.4552668398946741,0.008168306722773522,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,25.578673125780746,1.683679039243188,True
0060,CD_Comp,29.178067226868468,30.998174723914627,-1.820107497046159,False
0060,chamferL2_old,28.220209695946203,28.288423924847685,-0.06821422890148199,False
0060,chamfer-L1,56.440419391892405,56.57684784969537,-0.13642845780296398,False
0060,chamfer-L2,2529.5578434992453,2566.4210438446235,-36.86320034537812,False
0060,P_5,0.1111009192672546,0.12194633827433923,0.010845419007084633,True
