frame,metric,baseline,pointcleannet,delta_for_better,pointcleannet_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.557575800291904,0.06018341274160122,True
0000,CD_Comp,26.488399366804423,26.20775142045054,0.28064794635388424,True
0000,chamferL2_old,25.053079289918962,24.88266361037122,0.17041567954774095,True
0000,chamfer-L1,50.106158579837924,49.76532722074244,0.3408313590954819,True
0000,chamfer-L2,2098.367986300955,2051.3024936674674,47.06549263348779,True
0000,P_5,0.12523735388445165,0.12499875730950549,-0.00023859657494615383,False
0000,R_5,0.14140646620888223,0.1539441339897247,0.012537667780842476,True
0000,F_5,0.1328316676827739,0.13796964213123647,0.005137974448462562,True
0000,P_10,0.2417838275264892,0.24357529014337667,0.0017914626168874792,True
0000,R_10,0.27432219993479495,0.28214284300064546,0.007820643065850508,True
0000,F_10,0.25702730813659047,0.26144437679851723,0.00441706866192676,True
0000,P_20,0.47341338248422776,0.47693467026947495,0.0035212877852471847,True
0000,R_20,0.5004960773590293,0.49868687993079996,-0.001809197428229381,False
0000,F_20,0.4865781690646267,0.4875682842362091,0.0009901151715824286,True
