frame,metric,baseline,upsample_clean_ounet,delta_for_better,upsample_clean_ounet_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,21.64989096837974,1.967868244653765,True
0000,CD_Comp,26.488399366804423,25.993394185322593,0.4950051814818295,True
0000,chamferL2_old,25.053079289918962,23.82164257685117,1.2314367130677937,True
0000,chamfer-L1,50.106158579837924,47.64328515370234,2.4628734261355874,True
0000,chamfer-L2,2098.367986300955,1970.7031475107765,127.66483879017869,True
0000,P_5,0.12523735388445165,0.14091727864763753,0.015679924763185887,True
0000,R_5,0.14140646620888223,0.14686529706784182,0.005458830858959596,True
0000,F_5,0.1328316676827739,0.14382981971110304,0.010998152028329128,True
0000,P_10,0.2417838275264892,0.26896811100773965,0.02718428348125046,True
0000,R_10,0.27432219993479495,0.31543832339492023,0.041116123460125276,True
0000,F_10,0.25702730813659047,0.29035563261619707,0.0333283244796066,True
0000,P_20,0.47341338248422776,0.5214869653001841,0.04807358281595636,True
0000,R_20,0.5004960773590293,0.5177582495134923,0.017262172154462907,True
0000,F_20,0.4865781690646267,0.5196159182630155,0.033037749198388755,True
