frame,metric,baseline,pointfilter,delta_for_better,pointfilter_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,22.977907995615872,0.6398512174176325,True
0000,CD_Comp,26.488399366804423,34.98453924421236,-8.496139877407934,False
0000,chamferL2_old,25.053079289918962,28.981223619914115,-3.9281443299951526,False
0000,chamfer-L1,50.106158579837924,57.96244723982823,-7.856288659990305,False
0000,chamfer-L2,2098.367986300955,2745.1612735814538,-646.7932872804986,False
0000,P_5,0.12523735388445165,0.12374462907032463,-0.0014927248141270166,False
0000,R_5,0.14140646620888223,0.08999789249618648,-0.05140857371269575,False
0000,F_5,0.1328316676827739,0.10420720914519649,-0.02862445853757742,False
0000,P_10,0.2417838275264892,0.24181660201336544,3.2774486876246955e-05,True
0000,R_10,0.27432219993479495,0.1799143887072994,-0.09440781122749556,False
0000,F_10,0.25702730813659047,0.20632245240581576,-0.05070485573077471,False
0000,P_20,0.47341338248422776,0.4945152394226735,0.02110185693844574,True
0000,R_20,0.5004960773590293,0.361269271670441,-0.13922680568858836,False
0000,F_20,0.4865781690646267,0.4175190320936399,-0.06905913697098681,False
