frame,metric,baseline,crcir_aftercomp_4x_selected10,delta_for_better,crcir_aftercomp_4x_selected10_improved
0000,N_Acc,nan,nan,nan,False
0000,N_Comp,nan,nan,nan,False
0000,normals,nan,nan,nan,False
0000,CD_Acc,23.617759213033505,23.347192573211885,0.2705666398216202,True
0000,CD_Comp,26.488399366804423,26.13118384977099,0.35721551703343124,True
0000,chamferL2_old,25.053079289918962,24.739188211491438,0.31389107842752395,True
0000,chamfer-L1,50.106158579837924,49.478376422982876,0.6277821568550479,True
0000,chamfer-L2,2098.367986300955,2064.157285358679,34.21070094227616,True
0000,P_5,0.12523735388445165,0.12728953751938601,0.002052183634934368,True
0000,R_5,0.14140646620888223,0.15078727806862896,0.009380811859746735,True
0000,F_5,0.1328316676827739,0.13804561770873555,0.0052139500259616445,True
0000,P_10,0.2417838275264892,0.24473495844434723,0.002951130917858036,True
0000,R_10,0.27432219993479495,0.2832489525178071,0.00892675258301212,True
0000,F_10,0.25702730813659047,0.26258724625727964,0.005559938120689167,True
0000,P_20,0.47341338248422776,0.4805911241897642,0.007177741705536422,True
0000,R_20,0.5004960773590293,0.5073012467710973,0.006805169412067991,True
0000,F_20,0.4865781690646267,0.49358509824599045,0.007006929181363752,True
0010,N_Acc,nan,nan,nan,False
0010,N_Comp,nan,nan,nan,False
0010,normals,nan,nan,nan,False
0010,CD_Acc,23.94215055900293,23.442411174629154,0.4997393843737754,True
0010,CD_Comp,27.307251467895746,26.948196650532083,0.3590548173636634,True
0010,chamferL2_old,25.62470101344934,25.19530391258062,0.4293971008687194,True
0010,chamfer-L1,51.24940202689868,50.39060782516124,0.8587942017374388,True
0010,chamfer-L2,2158.955502050578,2117.884975768636,41.070526281941966,True
0010,P_5,0.13069106374841305,0.13547380685097898,0.004782743102565934,True
0010,R_5,0.1471705319619715,0.1559864891913949,0.00881595722942341,True
0010,F_5,0.13844211414215993,0.14500831705053283,0.006566202908372898,True
0010,P_10,0.2517586898667946,0.259895248651654,0.00813655878485936,True
0010,R_10,0.27569705066386074,0.28325310785789,0.007556057194029242,True
0010,F_10,0.2631846539595633,0.2710719309588357,0.007887276999272386,True
0010,P_20,0.47687453409990316,0.48908308927945376,0.012208555179550606,True
0010,R_20,0.4680568329832218,0.47518498383023816,0.007128150847016346,True
0010,F_20,0.47242454200700684,0.4820338790672841,0.009609337060277279,True
0020,N_Acc,nan,nan,nan,False
0020,N_Comp,nan,nan,nan,False
0020,normals,nan,nan,nan,False
0020,CD_Acc,27.459573968552462,27.19541230344476,0.26416166510770367,True
0020,CD_Comp,27.123948322714178,26.80288004668962,0.32106827602455823,True
0020,chamferL2_old,27.29176114563332,26.99914617506719,0.29261497056613095,True
0020,chamfer-L1,54.58352229126664,53.99829235013438,0.5852299411322619,True
0020,chamfer-L2,2378.607453328108,2378.466671077119,0.1407822509891048,True
0020,P_5,0.1152224977838179,0.11750852842059514,0.0022860306367772365,True
0020,R_5,0.13822788838150532,0.14620229536630025,0.00797440698479493,True
0020,F_5,0.12568110708902866,0.13029436056891092,0.004613253479882257,True
0020,P_10,0.21604412358190217,0.2179718570743637,0.0019277334924615308,True
0020,R_10,0.26252066007836844,0.2693978920815705,0.006877232003202061,True
0020,F_10,0.23702557256714418,0.24097170138539342,0.003946128818249239,True
0020,P_20,0.4040763953323928,0.4076278918158206,0.003551496483427785,True
0020,R_20,0.4624890872937773,0.4690207588986982,0.006531671604920908,True
0020,F_20,0.43131402535878965,0.4361746134255842,0.004860588066794569,True
0030,N_Acc,nan,nan,nan,False
0030,N_Comp,nan,nan,nan,False
0030,normals,nan,nan,nan,False
0030,CD_Acc,25.478833267425685,25.176330887865614,0.302502379560071,True
0030,CD_Comp,28.288345625250475,27.764536802547667,0.5238088227028079,True
0030,chamferL2_old,26.88358944633808,26.470433845206642,0.4131556011314359,True
0030,chamfer-L1,53.76717889267616,52.940867690413285,0.8263112022628718,True
0030,chamfer-L2,2324.984719629893,2295.20589704541,29.778822584482896,True
0030,P_5,0.11335397440343024,0.11654274962068006,0.00318877521724982,True
0030,R_5,0.13338799271839993,0.14153338389535502,0.008145391176955091,True
0030,F_5,0.12255766044744903,0.12782809086264527,0.005270430415196231,True
0030,P_10,0.21653937615621968,0.22322186079750475,0.006682484641285069,True
0030,R_10,0.2512871156317758,0.25841485553449267,0.0071277399027168675,True
0030,F_10,0.2326228044377577,0.23953258941482244,0.006909784977064737,True
0030,P_20,0.4288789575496855,0.43929868936601646,0.010419731816330935,True
0030,R_20,0.4526779614530087,0.4614015825857039,0.008723621132695203,True
0030,F_20,0.4404572138877167,0.4500789370521482,0.009621723164431495,True
0040,N_Acc,nan,nan,nan,False
0040,N_Comp,nan,nan,nan,False
0040,normals,nan,nan,nan,False
0040,CD_Acc,23.55243464179633,23.335378475365047,0.21705616643128423,True
0040,CD_Comp,26.352273215747406,26.001884874398485,0.3503883413489213,True
0040,chamferL2_old,24.95235392877187,24.668631674881766,0.2837222538901045,True
0040,chamfer-L1,49.90470785754374,49.33726334976353,0.567444507780209,True
0040,chamfer-L2,2073.5311704947126,2051.1277606439953,22.403409850717253,True
0040,P_5,0.13154029551734292,0.13395098087030902,0.0024106853529660965,True
0040,R_5,0.14466363027967347,0.15337964138185678,0.008716011102183313,True
0040,F_5,0.13779019702699274,0.14300844962222672,0.00521825259523398,True
0040,P_10,0.2550107953682149,0.25777343002599895,0.0027626346577840355,True
0040,R_10,0.2812834224598931,0.28899914614727806,0.00771572368738499,True
0040,F_10,0.2675035713638136,0.27249465106077414,0.004991079696960554,True
0040,P_20,0.47673321465618956,0.48355133577691156,0.006818121120721998,True
0040,R_20,0.49730774152808166,0.504415908094398,0.0071081665663162985,True
0040,F_20,0.48680318170777176,0.49376330573555194,0.006960124027780179,True
0050,N_Acc,nan,nan,nan,False
0050,N_Comp,nan,nan,nan,False
0050,normals,nan,nan,nan,False
0050,CD_Acc,26.73945915222923,26.27343035128486,0.4660288009443718,True
0050,CD_Comp,26.700826260374676,26.354184805062115,0.34664145531256096,True
0050,chamferL2_old,26.720142706301953,26.31380757817349,0.4063351281284646,True
0050,chamfer-L1,53.440285412603906,52.62761515634698,0.8126702562569292,True
0050,chamfer-L2,2280.1556313208107,2234.488797310998,45.666834009812646,True
0050,P_5,0.11424836557038673,0.11844110455626071,0.004192738985873981,True
0050,R_5,0.13701728274089003,0.14604281032287758,0.009025527581987547,True
0050,F_5,0.12460119967254353,0.13080169185371104,0.0062004921811675134,True
0050,P_10,0.22192345400145283,0.22758486687482643,0.0056614128733736,True
0050,R_10,0.26601819787206227,0.27356607110969244,0.007547873237630176,True
0050,F_10,0.24197842947956938,0.24846605346228812,0.006487623982718738,True
0050,P_20,0.4191945788242944,0.42580879215404727,0.006614213329752872,True
0050,R_20,0.4789822949543239,0.48570865341272995,0.006726358458406079,True
0050,F_20,0.44709853317190057,0.45379057977292847,0.006692046601027901,True
0060,N_Acc,nan,nan,nan,False
0060,N_Comp,nan,nan,nan,False
0060,normals,nan,nan,nan,False
0060,CD_Acc,27.262352165023934,26.815643228600784,0.4467089364231498,True
0060,CD_Comp,29.178067226868468,28.823087350665357,0.3549798762031102,True
0060,chamferL2_old,28.220209695946203,27.81936528963307,0.40084440631313356,True
0060,chamfer-L1,56.440419391892405,55.63873057926614,0.8016888126262671,True
0060,chamfer-L2,2529.5578434992453,2494.548088092879,35.00975540636637,True
0060,P_5,0.1111009192672546,0.11263859054582327,0.0015376712785686725,True
0060,R_5,0.1317061193835844,0.13930010543190977,0.0075939860483253685,True
